bill_id,term,session,title,summary,commem
A0141,2024_2025,2024_2025,Freshwater fishing/hunting/trapping-Fish/Game Council sole authority to regulate,"Clarifies that Fish and Game Council has sole authority to regulate freshwater fishing, hunting, and trapping.",0
A0142,2024_2025,2024_2025,School district's budget proposal-restricts Ed. Commissioner authority to reject,Restricts Commissioner of Education's authority to reject school district's budget proposal.,0
A0143,2024_2025,2024_2025,Milk dealer license application-Agriculture Department prov electronic submittal,Requires Dept. of Agriculture to provide for electronic submittal of milk dealer license applications.,0
A0144,2024_2025,2024_2025,Water quality management structures-exempts from real property taxation,"Exempts certain water quality management structures, funded by certain federal and State grants, from real property taxation.",0
A0146,2024_2025,2024_2025,Highlands planning area-prohibits State departments from considering compliance,Prohibits State departments and agencies from considering or requiring compliance by Highlands planning area municipalities with Highlands regional master plan in certain circumstances.,0
A0147,2024_2025,2024_2025,Highlands Property Tax Stabilization Fund-provides direct property tax relief,Provides for direct property tax relief from Highlands Property Tax Stabilization Fund.,0
A0148,2024_2025,2024_2025,Farm income averaging credit-permits under the NJ gross income tax,Permits farm income averaging credit under the New Jersey gross income tax.,0
A0150,2024_2025,2024_2025,Public officers and employees w/limited historic exceptions-elim State resid req,Eliminates requirement for State residency for public officers and employees with limited historic exceptions.,0
A0151,2024_2025,2024_2025,School districts in all counties-requires miminum geographic cost adjustment,Requires minimum geographic cost adjustment for school districts in all counties.,0
A0152,2024_2025,2024_2025,Emissions-prohibits State's participation in multi-state cap-and-trade prog.,Prohibits State's participation in multi-state cap-and-trade program to reduce carbon emissions from transportation sector.,0
A0153,2024_2025,2024_2025,Volunteer emergency service org.-exempts from charitable contrib filing fees,Exempts certain volunteer emergency service organizations from charitable contribution filing fees.,0
A0155,2024_2025,2024_2025,State school aid calculation-incl. value of tax exempt prop. from tax valuation,Includes value of certain properties exempt from taxation in valuation used to calculate State school aid in SDA districts.,0
A0156,2024_2025,2024_2025,Civil Service-eliminates seniority for reductions in force,Eliminates seniority in Civil Service and other jurisdictions for reductions in force in certain circumstances.,0
A0157,2024_2025,2024_2025,School purposes property taxes-prohibits exemption,"Prohibits exemption of school purposes property taxes under ""Long Term Tax Exemption Law.""",0
A0158,2024_2025,2024_2025,Overcrowding-authorize additional fines having violated occupancy requirements,Authorizes imposition of additional fines for overcrowding.,0
A0159,2024_2025,2024_2025,Sanctuary city-prohibits municipal ordinance to create,Prohibits municipal ordinance to create sanctuary city; establishes State and local employee ethics violation upon noncompliance with federal immigration enforcement request.,0
A0160,2024_2025,2024_2025,Honeybee hives-proh. Dept. of Agriculture from regulating min prop size required,Prohibits Dept. of Agriculture from regulating minimum property size required per number of honeybee hives.,0
A0161,2024_2025,2024_2025,Sport & recreational activity-add rock climbing in law concerning landowner liab,"Adds rock climbing, bouldering, and ice climbing to definition of ""sport and recreational activities"" in law concerning landowner liability.",0
A0162,2024_2025,2024_2025,Bear spray-allows possession under certain conditions,Allows possession of bear spray under certain conditions.,0
A0163,2024_2025,2024_2025,Motor vehicle registration fees-exempts public higher education institutions,Exempts public institutions of higher education from motor vehicle registration fee.,0
A0164,2024_2025,2024_2025,Jobs Protection Act-verification of employment required,"""New Jersey Jobs Protection Act""; requires verification of employment.",0
A0165,2024_2025,2024_2025,"Plant species, endangered in NJ-concerns",Concerns endangered plant species in NJ.,0
A0166,2024_2025,2024_2025,Farmer mentoring program-Department of Agricultural develop & implement,Directs Dept. of Agriculture to develop and implement beginning farmer mentoring program in cooperation with certain agricultural and educational organizations and entities.,0
A0168,2024_2025,2024_2025,COVID-19 response in NJ-establish bipartisan task force to study,Establishes bipartisan task force to study response to COVID-19 in New Jersey.,0
A0169,2024_2025,2024_2025,Incarcerated individual-prohibits payment of temporary disability benefits,Prohibits payment of temporary disability benefits to incarcerated individuals.,0
A0170,2024_2025,2024_2025,Emerg. mgmt. depts-expands authority requesting asst outside normal jurisdiction,Expands authority of emergency management departments in requesting assistance outside normal territorial jurisdictions.,0
A0172,2024_2025,2024_2025,School Safety & Security Act-establishes penalties for criminal acts on sch prop,"The ""School Safety and Security Act""; establishes penalties for certain criminal acts committed on school property.",0
A0173,2024_2025,2024_2025,Work First NJ program benefits-provide drug testing of adult recipients,Provides for drug testing of adult recipients of Work First New Jersey program benefits.,0
A0175,2024_2025,2024_2025,"First responders-medical testing required, when exposed to bloodborne pathogens",Requires medical testing for certain persons in circumstances when first responders may be exposed to bloodborne pathogens.,0
A0176,2024_2025,2024_2025,Firearm display-clarifies licensed dealers provide at fund raising events,Clarifies that licensed dealers may provide firearms for display at fund raising events sponsored by certain tax exempt organizations.,0
A0177,2024_2025,2024_2025,"Anti-choking devices, portable-require in schools",Requires portable anti-choking devices be placed in schools.,0
A0180,2024_2025,2024_2025,Social media websites-proh. selectively suspending candidate for elective office,Prohibits social media websites from selectively suspending candidates for elective office and creates private right of action for users whose political or religious speech has been deleted.,0
A0181,2024_2025,2024_2025,Cemetery companies-estab minimum dollar amount required in Maintenance/Preserv,"Establishes minimum dollar amount required in Maintenance and Preservation Funds of cemetery companies established before December 1, 1971.",0
A0182,2024_2025,2024_2025,Horseback riding permit-prohibits DEP from requiring person under 16 to obtain,Prohibits DEP from requiring person under 16 years of age to obtain horseback riding permit to ride in State wildlife management areas.,0
A0183,2024_2025,2024_2025,Fossil fuel-powered kitchen appliances-prohibit rules and regulations of use,Prohibits adoption of State and local rules that prohibit use of fossil fuel-powered kitchen appliances.,0
A0184,2024_2025,2024_2025,Deer-authorizes Sunday firearm and bow hunting on certain lands,Authorizes Sunday firearm and bow hunting for deer on certain lands.,0
A0185,2024_2025,2024_2025,"Lake Hopatcong-DEP evaluate sewer svc; tax deduction, septic system maintenance",Requires DEP to evaluate extending sewer service in Lake Hopatcong region; allows gross income tax deduction for septic system maintenance under certain circumstances.,0
A0186,2024_2025,2024_2025,Local Governmental Process Activities Disclosure Act-establishes,"Establishes ""Local Governmental Process Activities Disclosure Act.""",0
A0187,2024_2025,2024_2025,Core curriculum content standard and Statewide assessment-leg. approval req.,Requires legislative approval of changes to core curriculum content standards and Statewide assessments.,0
A0188,2024_2025,2024_2025,School bus fuel-exempts petroleum product gross receipts tax and motor fuel tax,Exempts fuel used for operation of certain school buses from petroleum products gross receipts tax and motor fuel tax; clarifies tax treatment of certain dyed fuel thereunder; clarifies determination of taxable estates of certain decedents.,0
A0189,2024_2025,2024_2025,School aid-provide that cert districts will not receive reductions in school yr,Provides that certain school districts will not receive State school aid reductions in 2023-2024 school year.,0
A0190,2024_2025,2024_2025,Local utilities-exempt from certain reporting requirements,Exempts local utilities from certain reporting requirements.,0
A0191,2024_2025,2024_2025,Agricultural or horticultural land and woodlands-ban foreign ownership,Bans foreign ownership of agricultural or horticultural land and agricultural woodlands in State.,0
A0192,2024_2025,2024_2025,"Election admin expenses-proh use of private funds; estab crime/penal, violations",Prohibits use of private funds and personnel in governmental offices and procedures pertaining to administration of elections; establishes crimes and penalties for violations.,0
A0193,2024_2025,2024_2025,Main Street Economic Growth Program-establish to encourage business devel,Establishes Main Street Economic Growth Program to encourage business development in certain small municipalities.,0
A0195,2024_2025,2024_2025,"Firearm-related background check, cert-concerns; domestic viol restraining order",Establishes priority for certain firearm-related background checks when applicant has obtained domestic violence restraining order.,0
A0196,2024_2025,2024_2025,"Baby products, certain-exempts sales from sales and use tax",Exempts sales of certain baby products from sales and use tax.,0
A0197,2024_2025,2024_2025,"Real property interests, conservation purposes-prov gross income tax deduction",Provides gross income tax deduction for amounts paid to taxpayers for sale of certain real property interests for conservation purposes.,0
A0198,2024_2025,2024_2025,Human trafficking-expands crime to include individuals who benefit financially,Enhances criminal penalties for persons involved in certain human trafficking activities.*,0
A0199,2024_2025,2024_2025,Pension and Health Benefits Review Commission-expands scope of review,Expands scope of review of Pension and Health Benefits Review Commission.,0
A0200,2024_2025,2024_2025,"Realty transfer fee, supplemental-eliminates transfers on commercial real estate",Eliminates supplemental realty transfer fee and one percent fee on transfers of certain commercial real estate and tax on sale of controlling interests in certain commercial real property.,0
A0201,2024_2025,2024_2025,"DEP lands for fishing, hunting and trapping purposes-provide for no net loss","Provides for no net loss of DEP lands for fishing, hunting, and trapping purposes.",0
A0202,2024_2025,2024_2025,"Judge, municipal court-provides appointment at local or county level",Provides for appointment of certain municipal court judges at the local or county level.,0
A0203,2024_2025,2024_2025,"Firearm or weapon, legally transported-clarify definition, necessary deviation",Clarifies definition of reasonably necessary deviation when legally transporting firearm or weapon in motor vehicle.,0
A0206,2024_2025,2024_2025,Farming operations-prohibits harassment of farmers engaged,Prohibits harassment of farmers engaged in farming operations.,0
A0207,2024_2025,2024_2025,Driver's licenses and non-driver ID card applicants-conduct wanted person check,"Requires Chief Administrator of MVC to conduct wanted person check of all applicants for licenses, permits, and identification cards.",0
A0208,2024_2025,2024_2025,Mandated Health Benefits Advisory Commission-study finan impact of mandated benf,Requires Mandated Health Benefits Advisory Commission to study financial impact of all enacted mandated health benefits.,0
A0209,2024_2025,2024_2025,Pub. util. & cable television companies-relocate facilities for trans infra proj,Requires public utilities and cable television companies to accommodate and relocate facilities when necessary for transportation infrastructure projects at direction of DOT.,0
A0210,2024_2025,2024_2025,Law enforcement officer impersonation-crime and guilty of third degree crime,Provides that person who impersonates law enforcement officer and commits crime is guilty of third degree crime.,0
A0211,2024_2025,2024_2025,Municipal long term tax exemption-limits w/school districts receiving St sch aid,Limits long term tax exemptions in municipalities with school districts receiving certain State school aid.,0
A0212,2024_2025,2024_2025,Military installations preservation-in case of closure;$350K,"Makes General Fund supplemental appropriation of $350,000 to DMVA for Council on Armed Forces and Veterans' Affairs for preservation of military installations in case of base realignment and closure.",0
A0213,2024_2025,2024_2025,Affordable housing rules-exempts contaminated and industrially-zoned sites,Exempts contaminated and industrially-zoned sites from affordable housing rules.,0
A0214,2024_2025,2024_2025,Local unit insurance funds-expands eligibility to join,Expands range of local units eligible to join an insurance fund established by a municipality or county under certain circumstances.,0
A0215,2024_2025,2024_2025,"Affordable housing units-make available, preferential basis to cert elig persons","Authorizes municipalities that petition for or receive substantive certification pursuant to the ""Fair Housing Act"" to make certain affordable housing units available on a preferential basis to certain eligible persons.",0
A0216,2024_2025,2024_2025,Share housing obligation w/affordable housing credit-transfer fund to Trust Fund,"Provides municipality with affordable housing credit toward its municipal fair share housing obligation for funds transferred to the New Jersey Affordable Housing Trust Fund pursuant to P.L.2008, c.46.",0
A0217,2024_2025,2024_2025,Property Assessment Appeal Transparency Act-revises content,"""Property Assessment Appeal Transparency Act""; revises content of required annual notification of real property assessment.",0
A0218,2024_2025,2024_2025,Civil Service Commission Chair-clarify duties & responsibilities of chairperson,Replaces references to Civil Service Commission with chairperson of commission to clarify duties and responsibilities of chairperson.,0
A0220,2024_2025,2024_2025,Rock fall mitigation projects-prohibit DOT from taking certain action,Prohibits DOT from taking certain action on certain rock fall mitigation projects and requires DOT to conduct analysis on project alternatives.,0
A0221,2024_2025,2024_2025,Property tax relief programs-include notice in St. personal income tax materials,Requires State personal income tax materials to include notice of certain property tax relief programs.,0
A0222,2024_2025,2024_2025,"Law enforcement officer, retired-eliminates age restriction to carry handguns",Eliminates age restriction for issuing special permits to carry handgun to retired law enforcement officers.,0
A0223,2024_2025,2024_2025,Division of Elections-transfer to Department of Law & Public Safety,Transfers Division of Elections from Department of State to Department of Law and Public Safety; designates Attorney General as chief election official and requires two bipartisan co-directors.,0
A0224,2024_2025,2024_2025,"Immigrants, detention or deportation-prohibits State funding to assist",Prohibits State funding to assist immigrants facing detention or deportation.,0
A0225,2024_2025,2024_2025,Hunting licenses-reduces residency requirement from 6 months to 60 days,Reduces residency requirement for resident hunting licenses from six months to 60 days.,0
A0226,2024_2025,2024_2025,"Sch dist, Type II-hold Nov sch election to receive voter approval of base budget",Requires Type II school district without board of school estimate holding its school election in November to receive voter approval of base budget.,0
A0228,2024_2025,2024_2025,Idling motor vehicles-permitted on residential property,Permits idling of motor vehicles on residential property.,0
A0229,2024_2025,2024_2025,"Farmland assess, forested lands/woodlands-production USDA desig specialty crops",Authorizes farmland assessment for forested lands and woodlands devoted to the production of USDA designated specialty crops; exempts such lands from woodland management plan requirement.,0
A0231,2024_2025,2024_2025,Marine Corps Scholarship Foundation-authorizes creation of license plates,Authorizes creation of Marine Corps Scholarship Foundation license plates.,0
A0232,2024_2025,2024_2025,Admin. Procedure Act-concerns socio-economic impact statements for rule-making,"Revises ""Administrative Procedure Act"" concerning socio-economic impact statements for proposed rule-making.",0
A0234,2024_2025,2024_2025,Epinephrine auto-injector device-permit correction/firefighter/police administer,"Permits corrections officers, firefighters, and police officers to administer epinephrine auto-injector device.",0
A0235,2024_2025,2024_2025,"Electric public utilities-establish toll-free number, report damaged equipment",Requires electric public utilities to establish toll-free telephone number to be used by public for reporting damaged equipment and dangerous vegetation.,0
A0236,2024_2025,2024_2025,School busing-extends limit for nonpublic school to 30 miles,"Extends limit for nonpublic school busing to 30 miles in Atlantic, Burlington, Cape May, Cumberland, Gloucester, Hunterdon, Ocean, Salem, Sussex, and Warren Counties, and requires existing bus stops to be used.",0
A0237,2024_2025,2024_2025,Electronic benefit cards-restrict use by cash assistance recipients,Restricts use of electronic benefit cards by cash assistance recipients.,0
A0238,2024_2025,2024_2025,Municipal courts-grants discretion to assess court costs for certain dismissals,Grants municipal courts discretion to assess court costs for certain dismissals.,0
A0239,2024_2025,2024_2025,Labor organization work-specifies conditions grant paid leave to public employee,"Specifies conditions under which State, county, municipality, independent authority, school district, or higher education institution can grant unpaid or paid leave of absence to public employee to perform work for labor organization.",0
A0241,2024_2025,2024_2025,"Appointment of challengers-allow to any election dist, where challenger resides",Allows appointment of challengers to any election district within congressional or legislative district where challenger resides.,0
A0242,2024_2025,2024_2025,Farm brewery & winery-brewery beverage lic.-permitted to produce hard cider,Establishes farm brewery and winery-brewery beverage license.,0
A0245,2024_2025,2024_2025,School district cap banking-limits and clarifies use,Limits and clarifies use of cap banking by school districts.,0
A0249,2024_2025,2024_2025,"Fiscal Yr 2023 approp act-amends, proh moneys for climate change litigation","Amends Fiscal Year 2023 annual appropriations act to prohibit use of appropriated moneys for, or to support, certain State litigation related to climate change and greenhouse gas emissions.",0
A0250,2024_2025,2024_2025,"Prop tax exemp, long term-cost-benf analyses/financial impact findings approval",Requires cost-benefit analyses and local government financial impact findings for approval of long term property tax exemption; requires DCA to post Statewide database of these exemptions on its Internet website.,0
A0251,2024_2025,2024_2025,Affordable fair share housing-incr max mun percentage by age-restricted units,Increases maximum municipal percentage of affordable fair share housing satisfied by age-restricted units to 50 percent.,0
A0252,2024_2025,2024_2025,Electronic document transmission-req creditors accept for certain documents,Requires creditors to accept electronic document transmission for certain documents.,0
A0253,2024_2025,2024_2025,Technology-prohibit State contracts with Chinese government-owned companies,Prohibits State contracts for technology with Chinese government-owned or affiliated companies.,0
A0254,2024_2025,2024_2025,Slingshots-decriminalizes manufacture and certain possession,Decriminalizes manufacture and certain possession of slingshots.,0
A0258,2024_2025,2024_2025,Firearms & ammunitions-concerns credit card companies for purchases,Prohibits use of new merchant category code by credit card companies for purchases of firearms and ammunitions.,0
A0259,2024_2025,2024_2025,Farm worker housing-provides credit towards mun. fair share housing obligation,Provides procedures for crediting certain dwellings used by agricultural workers in determination of municipality's fair share housing obligation.,0
A0260,2024_2025,2024_2025,Armed forces-exclude bonuses for reenlistment or vol extension from gross income,Excludes bonuses for reenlistment or voluntary extension of enlistment in armed forces from gross income.,0
A0261,2024_2025,2024_2025,Veterans affordable housing preference-establish; auth. bonus fair share credit,Establishing veterans' affordable housing preference; authorizing bonus fair share credit for veterans' affordable housing.,0
A0262,2024_2025,2024_2025,"Firefighters, volunteer-allows gross income tax credit",Allows gross income tax credit for volunteer firefighters.,0
A0263,2024_2025,2024_2025,Law enforcement officer retired due to disability-tuition assistance eligible,Provides that former law enforcement officers who retired due to disability are eligible to receive tuition assistance to attend public institution of higher education or proprietary institution licensed to confer academic degrees.,0
A0264,2024_2025,2024_2025,Wheelchair trailers-eliminates registration fee,Eliminates registration fee for wheelchair trailers.,0
A0265,2024_2025,2024_2025,"Accessibility signage-revises requirement, indicate for people with disabilities",Revises requirements for signage indicating accessible facilities for people with disabilities.,0
A0266,2024_2025,2024_2025,"Custody or visitation rights-proh. awarding, person convicted of minor sex crime",Prohibits award of custody or visitation rights to persons convicted of certain sex crimes against minors.,0
A0267,2024_2025,2024_2025,Nursing home-permit use of electronic monitoring devices at resident's request,Requires nursing homes to permit use of electronic monitoring devices at request of resident.,0
A0268,2024_2025,2024_2025,Human trafficking-commercial driver license applicants complete training course,Requires applicants for commercial driver license to complete training course on handling and responding to suspected human trafficking.,0
A0269,2024_2025,2024_2025,"Student, commits sexual offense-prohibits student from attending same school/bus",Prohibits student who commits certain sexual offenses from attending same school building or using same school bus as victim of offense.,0
A0270,2024_2025,2024_2025,"Dyslexia-DOE establish pilot program, provide assistive technology to students",Establishes pilot program in DOE to provide assistive technology to elementary and middle school students with dyslexia and related conditions.,0
A0271,2024_2025,2024_2025,Victims and witnesses testify-permits via close circuit television,Permits victims and witnesses of human trafficking to testify in criminal proceedings via closed circuit television; permits judge to make motion to seek closed circuit testimony.,0
A0272,2024_2025,2024_2025,Human trafficking crime-eliminates statute of limitations for prosecution,Eliminates statute of limitations for prosecution of human trafficking crimes.,0
A0273,2024_2025,2024_2025,STEM graduate retention tax credit-employers pay cert. employees' ed. loan debt,Provides STEM graduate retention tax credit for certain employers who pay certain employees' education loan debt.,0
A0274,2024_2025,2024_2025,Defibrillators-NJT required to equip trains,Requires NJT to equip trains with defibrillators.,0
A0275,2024_2025,2024_2025,"Driver license renewal-allow by online/mail, undergone certain background checks","Allows individuals that have undergone certain background checks, including individuals with certain commercial driver license endorsements, to renew license online or by mail.",0
A0276,2024_2025,2024_2025,Student Mental Health Task Force-establishes,"Establishes ""Student Mental Health Task Force.""",0
A0277,2024_2025,2024_2025,"Voting machines, new-req. to produce voter-verifiable paper record of each vote",Requires new voting machines purchased or leased for use in elections in this State to produce voter-verifiable paper record of each vote cast.,0
A0278,2024_2025,2024_2025,"Special ed.-estab. grant program, sch. dist develop in-dist & collaborative prog",Establishes grant program for school districts to develop in-district and collaborative special education programs and services to reduce need to place classified students out-of-district.,0
A0279,2024_2025,2024_2025,Sex offenders-required to report internet identifiers and name changes,Requires sex offenders to report Internet identifiers and name changes.,0
A0280,2024_2025,2024_2025,"Sex offender-prohibits residing w/in 1,000 feet of victim's home or workplace","Prohibits sex offenders from residing within 1,000 feet of victim's home or workplace.",0
A0281,2024_2025,2024_2025,Handicapped spots-exempt fees,Exempts parking spaces reserved for persons with a disability from meters or fees.,0
A0282,2024_2025,2024_2025,Construction workforce recruitment and training program in DOLWD-establish,Establishes construction workforce recruitment and training program in DOLWD.,0
A0283,2024_2025,2024_2025,Veterinarian expenses-provides income tax deduction for,Provides a gross income tax deduction for veterinarian expenses.,0
A0284,2024_2025,2024_2025,"Opioid Antidote Coordinator, Statewide-establishes position",Establishes position of Statewide Opioid Antidote Coordinator.,0
A0285,2024_2025,2024_2025,Veteran-creates permanent commission to study various statutory definitions,"Creates permanent commission to study various statutory definitions of veteran, disabled veteran, and service-disabled veteran.",0
A0286,2024_2025,2024_2025,"Service memb, cert-req DMVA assist with petition to change discharge designation",Requires DMVA assist discharged service members who have diagnosed service-connected mental health condition with petitions to change discharge designation.,0
A0287,2024_2025,2024_2025,Electric heating & water heating sys.-proh St rule mandating prior to DCA report,Prohibits adoption of any State rule or regulation mandating electric heating or water heating systems in buildings prior to issuance of DCA report.,0
A0288,2024_2025,2024_2025,"State Office of Consumer, independent-establishes",Establishes independent State Office of Consumer.,0
A0289,2024_2025,2024_2025,Smarter Lunchroom Act-promotes healthy food choices in school cafeterias,"""The Smarter Lunchroom Act;"" promotes healthy food choices in school cafeterias.",0
A0290,2024_2025,2024_2025,Parking in disab. persons spots-allow holder of disab vet/Purple Heart lic plate,Allows holder of disabled veteran or Purple Heart license plate or placard to park in parking spots for persons with disability.,0
A0291,2024_2025,2024_2025,Animal cruelty against victim's animal-include in definition of domestic viol.,Includes animal cruelty against victim's animal within definition of domestic violence and other types of abuse; establishes immunity for reporting animal cruelty; mandates reporting of animal cruelty in certain circumstances.,0
A0292,2024_2025,2024_2025,"Veterans professional licenses-req boards issue, credentials in good standing",Requires professional boards to issue licenses under certain circumstances to veterans with credentials in good standing from another jurisdiction.,0
A0293,2024_2025,2024_2025,"Small business, first-time paperwork violations-suspends fines",Suspends fines for certain first-time paperwork violations committed by small businesses.,0
A0294,2024_2025,2024_2025,Commission on People with Disabilities-establishes,"Establishes ""Commission on People with Disabilities.""",0
A0295,2024_2025,2024_2025,"Devel disab persons, 21 yr & older-allow to attend spec ed, adult day & emp prog",Allows certain persons with developmental disabilities 21 years of age and older to attend special education programs and to simultaneously participate in adult day and employment programs.,0
A0296,2024_2025,2024_2025,Shyanne's Law-mental health evaluation required for all animal cruelty offenders,"Requires mental health evaluation for all animal cruelty offenders; designated as ""Shyanne's Law.""",0
