bill_id,term,session,title,summary,commem
HB0510,2023_2024,2023-RS,AN ACT relating to tax incentives for continuous film production projects.,"Amend KRS 154.61-010, 154.61-020, and 141.383 to establish a continuous film production aspect of the film industry and motion picture tax credit; cap continuous film production tax incentives at $25 million for calendar year 2024 and each calendar year thereafter; require credit amount to be equal to 35% of approved company's qualifying expenditures and qualifying payroll expenditures that are paid to production crew that are not residents increase credit to 40% if qualifying payroll expenditures are paid to residents; create new section of Subchapter 61 of KRS Chapter 154 to allow recapture of the enhanced film production incentives if the approved company fails to meet the biennial budget requirement of $20 million on all film productions in the Commonwealth.",0
HB0511,2023_2024,2023-RS,AN ACT relating to assisted living communities.,Amend KRS 194A.703 to require that each assisted living facility that provides basic health and health-related services and dementia care services be classified as an institutional building and require that any assisted living facility that does not provide basic health and health-related services and dementia care services be classified as a residential building; amend KRS 194A.705 to allow a certified medication aide or an unlicensed staff person who has successfully completed a medication aide training program approved by the Kentucky Board of Nursing to administer preloaded injectable insulin or oral or topical medication; amend KRS 194A.710 to establish multiple categories for assisted living community licensure and allow the Office of Inspector General to promulgate administrative regulations and issue license classifications within the bounds of the categories listed in statute; and amend KRS 194A.717 to require a licensed nurse to be available to communicate with unlicensed staff when the staff is providing delegated nursing tasks and revise the staffing on site requirements.,0
HB0512,2023_2024,2023-RS,AN ACT relating to expungement.,Amend KRS 431.076 to make technical corrections.,0
HB0513,2023_2024,2023-RS,AN ACT relating to ophthalmic dispensers.,Amend KRS 326.080 to require the license renewal fee for practicing ophthalmic dispensing to be established by the Kentucky Board of Ophthalmic Dispensers through promulgation of administrative regulation.,0
HB0514,2023_2024,2023-RS,AN ACT relating to housing appropriations.,Amend KRS 198A.705 to make technical corrections.,0
HB0515,2023_2024,2023-RS,AN ACT relating to custody.,Amend KRS 405.020 to allow people other than parents to petition for custody of child if the parents are claimed to be unfit or have waived their superior rights to custody.,0
HB0516,2023_2024,2023-RS,AN ACT relating to the 988 suicide and crisis lifeline fund and making an appropriation therefor.,Create a new section of KRS Chapter 210 to create the 988 suicide and crisis lifeline fund; establish authorized uses for moneys in the fund; amend KRS 186.162 to add a specialized license plate for the national 988 suicide and crisis lifeline fund; APPROPRIATION.,0
HB0517,2023_2024,2023-RS,AN ACT relating to Tax Increment Financing District Funding.,Amend KRS 154.30-090 to make technical correction.,0
HB0518,2023_2024,2023-RS,AN ACT relating to reproductive privacy.,"Create new sections of KRS Chapter 311 to establish reproductive rights and define terms; amend KRS 18A.225 to remove the prohibition of insurance coverage for abortion; amend KRS 39A.180 to allow the Governor to suspend statutes related to abortion during a declared emergency;  amend KRS 156.496 to allow a school district to operate a family resource center that provides abortion counseling; amend KRS 205.010 to permit financial aid for an abortion; amend KRS 205.510 to include abortions or induced miscarriages as medical care; amend KRS 205.560 to allow medical aid payments for abortion; amend KRS 211.603 to allow money in the rape crisis trust fund to be used for abortion services or education; amend KRS 212.275 to allow health departments to dispense medication for an abortion; amend KRS 213.101 to remove various reporting requirements; amend various sections to remove penalties associated with performing abortions; amend various sections to conform; repeal, reenact, and amend or repeal and reenact KRS 311.783, 311.7710, 311.820, 311.990, 311.780, 311.810, 311.572, 311.591, 311.686, and 311.852 to conform; repeal KRS 15.241, 213.098, 213.172, 213.174, 213.176, 216B.0435, 216B.200, 216B.202, 216B.204, 216B.206, 216B.208, 216B.210, 304.5-160, 311.710, 311.715, 311.720, 311.723, 311.724, 311.725, 311.727, 311.728, 311.731, 311.732, 311.733, 311.735, 311.750, 311.760, 311.765, 311.770, 311.7701, 311.7702, 311.7703, 311.7704, 311.7705, 311.7706, 311.7707, 311.7708, 311.7709,, 311.7711, 311.772, 311.7731, 311.7733, 311.7734, 311.7735, 311.7737, 311.7739, 311.774, 311.7741, 311.7743, 311.781, 311.7811, 311.782, 311.784, 311.7841, 311.785, 311.786, 311.787, 311.790, 311.800, 311.821, 311.822, 311.823, 311.824, 311.825, 311.826, 311.827, 311.830, 311.992, 315.315.",0
HB0519,2023_2024,2023-RS,AN ACT relating to tourist and convention commissions in counties containing a city of the first class or a consolidated local government and declaring an emergency.,Amend KRS 91A.370 to add the president and chief executive officer of the Kentucky State Fair Board to the tourist and convention commission in counties containing a city of the first class or consolidated local government; EMERGENCY.,0
HB0520,2023_2024,2023-RS,AN ACT relating to reemployment after retirement and declaring an emergency.,"Provide that any retiree of the Kentucky Employees Retirement System (KERS), County Employees Retirement System (CERS), or State Police Retirement System (SPRS), who returned to work with a KERS, CERS, or SPRS employer on or after March 6, 2020, but prior to January 1, 2023, shall only be required to observe a one month break in employment; provide that the one month break shall be retroactive to March 6, 2020, and that any KERS, CERS, or SPRS retiree whose retirement was voided but who observed the one month break during this time period shall not be required to repay any benefits the systems has determined were paid in error; EMERGENCY.",0
HB0521,2023_2024,2023-RS,AN ACT relating to assault in the third degree.,"Amend KRS 508.025 to include an employee, independent contractor, volunteer, affiliated physician, or other medical professional of a licensed hospital to persons protected by enhanced penalties if assaulted while performing duties.",0
HB0522,2023_2024,2023-RS,AN ACT relating to procurement.,"Amend KRS 424.260, relating to local government contracts, to increase amount at which advertisement of bids is required from $30,000 to $40,000.",0
HB0523,2023_2024,2023-RS,AN ACT relating to adoption.,Amend KRS 199.575 to add gender-neutral language.,0
HB0524,2023_2024,2023-RS,AN ACT relating to medical procedures.,"Amend KRS 311.625  relating to medical procedures, to add gender-neutral language.",0
HB0525,2023_2024,2023-RS,AN ACT relating to the regulation of skill games and making an appropriation therefor.,"Establish KRS Chapter 239 and create new sections to define terms; create the Kentucky Gaming Commission and attach it to the Public Protection Cabinet for administrative purposes; establish requirements for the commissioner and members on the commission; authorize the commission to establish and maintain an office in Frankfort; require the Auditor of Public Accountants to perform an annual audit of the commission; require the commission to promulgate administrative regulations to establish standard forms for the reporting of financial conditions, operational results, gross gaming receipts and adjusted gaming receipts, the amount of prizes paid during specific reporting periods, require periodic financial reports, require annual audits of the financial statements of all licensees regulated under this chapter; authorize the Governor to appoint an executive director; establish qualifications for an executive director of the commission; establish certification requirements for skill games; establish application requirements; authorize the commission to promulgate administrative regulations to establish criminal history checks for applicants; establish fees for initial and renewal license application fees; require decals to appear on every licensed skill game; allow the commission to grant, deny, suspend or revoke a license; allow a license to be transferable subject to the transferee's ability to satisfy all requirements; prohibit the distributor, operator, and establishment from holding multiple licenses; limit an establishment to two terminals per five hundred square feet of public floor common space; limit an establishment to five terminals overall; limit a truck stop to 10 terminals; require terminals to be placed in public floor space visible to patrons and employees; prohibit anyone under the age of 18 from playing a skill game; require an establishment to post problem gaming signage; require all gross profits from a skill game to be subject to a 6% tax; provide penalties for regulated; establish requirements for initial licensure of members on the commission; APPROPRIATION.",0
HB0526,2023_2024,2023-RS,AN ACT relating to licensing.,Amend KRS 312.021 to create gender-neutral language.,0
HB0527,2023_2024,2023-RS,AN ACT relating to licensing.,Amend KRS 309.081 to create gender-neutral language.,0
HB0528,2023_2024,2023-RS,AN ACT relating to coverage for substance use disorder.,"Create a new section of Subtitle 17A of KRS Chapter 304 to require certain health insurance policies, plans, certificates, and contracts to provide coverage for the treatment of substance use disorder by an inpatient facility and an in-home program; create new sections of Subtitles 17C and 38A of KRS Chapter 304 and amend KRS 205.522, 205.6485, 164.2871, and 18A.225 to require limited health service benefit plans, limited health service organizations, Medicaid, the Kentucky Children's Health Insurance Program, state postsecondary institution self-insured employer group health plans, and the state employee health plan to comply with the substance use disorder treatment coverage requirement; apply provisions to policies, plans. certificates, and contracts issued or renewed on or after the effective date of the section; require the Cabinet for Health and Family Services to seek federal approval if deemed necessary; EFFECTIVE, in part, January 1, 2024.",0
HB0529,2023_2024,2023-RS,AN ACT relating to school personnel.,"Amend KRS 161.155 to require school districts to provide a teacher or employee leave with no loss of income or benefits for 60 school days following an assault against the teacher or employee that results in a physical injury; define the terms of the leave; require the school district to pay for mental health services of the teacher or employee's choosing during the leave period; amend KRS 158.150 to require a local board of education to adopt a policy requiring expulsion when a student physically assaults or batters school personnel; provide that the policy may permit case-by-case exceptions with the consent of the victim; permit the safety of school personnel to be a factor in issuing suspensions and expulsions of primary school students; amend KRS 158.154 to remove the requirement that a physical injury be serious to require a principal to report an assault to law enforcement; amend KRS 158.155 to require mandatory reporters to report assault, batteries, and abuse of school personnel and students on school property.",0
HB0530,2023_2024,2023-RS,AN ACT relating to workers' compensation for educators.,"Create a new section of KRS Chapter 342 to set out when the psychological injuries are valid workers' compensation claims when no physical injury exists; amend KRS 342.0011 to clarify definition of ""injury"" to include psychological injuries experienced by educators.",0
HB0531,2023_2024,2023-RS,AN ACT relating to city meetings.,"Amend KRS 83A.130, 83.140, and 83A.150 to require a city's legislative body to create an agenda prior to every meeting that is distributed to members of the body at least 72 hours prior to the meeting and made available to the public at the time of the meeting.",0
HB0532,2023_2024,2023-RS,AN ACT relating to electric utilities.,"Create a new section of KRS Chapter 96 to require electric utilities that own and operate a municipal electric utility to establish a utility board to administer the functions of the utility; require utility rates, terms of service and customer service to be administered through rules of the board; require rates be fair, just, and reasonable and predicated on the utility cost of service; prohibit commingling of funds between the utility and other local government functions; prohibit the expenditure of utility revenues on any function other than the running of the electric utility; require anyone serving on a utility board to wait one year before serving on the municipal legislative body; require the Kentucky Public Service Commission to provide technical assistance to municipal electric utilities regarding rate setting and provide training for board members in the same manner as is provided to water district commissioners; amend KRS 42.4588 to link eligibility to funds under the Local Government Economic Development Program to compliance with establishing a board and delinking ratemaking and municipal revenue use from the political arena of the city legislative function; amend KRS 96.170 to prohibit a legislative body of a city to set rates for the electric utility; amend KRS 96.200 to prohibit the legislative body of a city from using the revenue from an electric utility for anything other than running the electric utility.",0
HB0533,2023_2024,2023-RS,AN ACT relating to state dealings with companies that engage in politically sensitive company boycotts.,"Amend KRS 41.472 to add definitions for ""agricultural commodities associated company,"" ""firearms goods or services associated company,"" ""petrochemical commodities associated company,"" ""politically sensitive company boycott,"" and ""social media information company""; amend KRS 41.474 to require the Treasurer to maintain and publish lists of all financial companies that engage in any politically sensitive company boycotts; require state governmental entity divestment in financial companies that engage in politically sensitive company boycotts; amend KRS 41.480 to add definitions for ""agricultural commodities associated company,"" ""firearms goods or services associated company,"" ""petrochemical commodities associated company,"" ""politically sensitive company boycott,"" and ""social media information company""; prohibit a governmental entity from entering into a contract for goods or services with a company unless the contract has a written verification that the company does not and will not engage in any politically sensitive company boycotts; allow a company to provide written verification to the Treasurer that not engaging in a politically sensitive company boycott would violate its religious beliefs; provide that a company that has provided verified documentation of its religious beliefs shall not be advantaged or disadvantaged in the contracting process.",0
HB0534,2023_2024,2023-RS,AN ACT relating to required publications.,Amend KRS 424.120 to allow legally required notices in a publication area to be published on a digital newspapers website if that digital newspaper meets certain qualifications; amend KRS 424.145 to allow a local government to publish an advertisement directing the public to its notice website on a digital newspaper website.,0
HB0535,2023_2024,2023-RS,AN ACT relating to criminal justice and making an appropriation therefor.,"Amend KRS 15.280 to define ""criminal justice agency""; to require the Criminal Justice Statistical Analysis Center to collect any criminal justice data within the possession of any federal agency of the federal, state, or local government, or private entity; require the center to design a records information system; provide authorization to the center to expend any general, restricted, or federal funds to carry out its functions; APPROPRIATION.",0
HB0536,2023_2024,2023-RS,AN ACT relating to domestic violence.,Amend KRS Chapter 209A.122 to remove requirement the the Kentucky State Police report the number of domestic violence and dating violence calls and the number of arrests in response to domestic violence calls;  require the Department of Kentucky State Police to provide the number of orders of protection served and received by law enforcement agencies and number of orders of protection in LINK  to the center; remove the requirement that LINK provide the center with information; remove the requirement that the Division of Kentucky State Medical Examiner's Office provide the center with information; remove the requirement that coroners provide the center with information; amend KRS 15A.190 to identify the uniform reporting form as the JC-3 form; require the Justice and Public Safety Cabinet to promulgate regulations.,0
HB0537,2023_2024,2023-RS,AN ACT relating to nonprofit corporations.,Amend KRS 273.303 to permit a dissolving corporation to transfer its assets to any entity engaged in for-profit activities that are substantially similar to those of the dissolving corporation subject to two certain conditions.,0
HB0538,2023_2024,2023-RS,AN ACT relating to discipline of students.,"Amend KRS 158.150 to require a local board of education to expel a student for at least 12 months if the student makes threats that pose a danger to other students or staff; require a local board of education to adopt a policy requiring disciplinary actions for a student who assaults other students or staff off campus property; allow a local school board to place a student in an alternative education setting in lieu of expulsion, or at the end of an expulsion; allow a teacher to remove a disruptive student from the classroom; provide that a student who is removed from a classroom three times in 30 days shall be considered chronically disruptive and may be suspended; provide that a principal may permanently remove a disruptive student from a classroom and determine the placement of the student, subject to an appeal process; require a local board of education to conduct an expulsion review process to determine whether a student's expulsion shall continue or end.",0
HB0539,2023_2024,2023-RS,AN ACT relating to the regulation of game machines and declaring an emergency.,Amend KRS 528.010 to make technical corrections; EMERGENCY.,0
HB0540,2023_2024,2023-RS,AN ACT relating to school safety.,Amend KRS 158.441 to include private and parochial schools; amend KRS 158.4414 to specify that private and parochial schools can enter memorandums of understanding with local law enforcement agencies or the Department of Kentucky State Police to provide school resource officers.,0
HB0541,2023_2024,2023-RS,AN ACT relating to workforce development.,Amend KRS 341.125 to add gender-neutral language.,0
HB0542,2023_2024,2023-RS,AN ACT relating to workforce development.,Amend KRS. 343.090 to make technical corrections.,0
HB0543,2023_2024,2023-RS,AN ACT relating to patient medical records.,Create a new section of KRS Chapter 422 to establish standards and procedures for access to copies of patient medical records for a patient who is under the age of eighteen.,0
HB0544,2023_2024,2023-RS,AN ACT relating to the regulation of hemp-derived products.,"Amend KRS 199.900 relating to the Cabinet for Health and Family Services, to add gender-neutral language.",0
HB0545,2023_2024,2023-RS,AN ACT relating to construction of statutes.,Amend KRS 446.080 to remove provision relating to the construction of statutes.,0
HB0546,2023_2024,2023-RS,AN ACT relating to the General Assembly and declaring an emergency.,"Create a new section of KRS Chapter 6 to authorize intervention by the President of the Senate and the Speaker of the House of Representatives in actions challenging any legislative act, executive or state agency order, or administrative regulation; establish that any intervention shall be filled within 90 days; reaffirm legislative or other privilege and immunity for the members or staff of the General Assembly or Legislative Research Commission; establish that legislative immunity and legislative privilege shall be applied broadly and shall remain inviolate; require legislative immunity and legislative privilege be preserved for members and staff of the General Assembly; establish that an individual legislator's immunity is personal and may not be waived or abrogated except by the member.",0
HB0547,2023_2024,2023-RS,AN ACT relating to First Amendment rights in public schools.,Create a new section of KRS Chapter 158 to prohibit a school district from punishing an employee for engaging in private religious expression otherwise protected by the First Amendment absent a showing of engaging in actual coercion; provide specific examples of protected activity; establish limits of applicability.,0
HB0548,2023_2024,2023-RS,AN ACT relating to the judiciary.,Amend KRS 30A.010 to include gender-neutral language.,0
HB0549,2023_2024,2023-RS,AN ACT relating to small business.,Amend 154.12-330 to make technical corrections.,0
HB0550,2023_2024,2023-RS,AN ACT relating to the commissioner of education.,Amend KRS 156.148 to require the appointment of the commissioner of education to be subject to Senate confirmation in accordance with KRS 11.160.,0
HB0551,2023_2024,2023-RS,AN ACT relating to wagering and making an appropriation therefor.,"Create a new section of KRS Chapter 230 to establish the wagering administration fund from sports wagering taxes and fees; direct use of that fund toward related administrative expenses of the Public Protection Cabinet; deposit all remaining funds in the Kentucky permanent pension fund; create new sections of KRS Chapter 230 to require the racing commission to institute a system of sports wagering at tracks; limit the types of events upon which wagers may be placed; establish sports wagering licensure requirements; prohibit participants from wagering on events in which they participate and from tampering with the outcome of a sporting event; amend KRS 230.210 to define ""interactive sports wagering technology and service provider,"" ""sporting event,"" and ""sports wagering""; amend KRS 230.215 to declare the intent to allow citizens to enjoy sports wagering and allow the racing commission to promulgate administrative regulations prescribing conditions under which sports wagering is to be conducted; amend KRS 230.990 to penalize participants or licensee employees who wager on sporting events or any person who tampers with the outcome of a sporting event; create a new section of KRS Chapter 138 to define “adjusted gross income” and impose a tax on sports wagering; amend KRS 243.500, 525.090, 528.010, 528.020, 528.070, and 528.080 to exempt sports wagering; amend KRS 68.182, 91.202, 92.282, 230.225, 230.240, 230.260, 230.310, and 230.361 to conform; add severability clause; APPROPRIATION.",0
HB0552,2023_2024,2023-RS,AN ACT relating to geoengineering.,"Create a new section of Subchapter 1 of KRS Chapter 224 to define ""solar geoengineering"" and ""weather modification""; prohibit any agency or instrumentality of state or local government from engaging in solar geoengineering or weather modification.",0
HB0553,2023_2024,2023-RS,"AN ACT relating to fiscal matters, making an appropriation therefor, and declaring an emergency.",Amend the 2022-2024 Executive Branch biennial budget to remove excess General Fund support for the actuarial cost of sick leave benefits for new retirees under the Teachers' Retirement System; APPROPRIATION; EMERGENCY.,0
HB0554,2023_2024,2023-RS,AN ACT relating to revenue.,Amend KRS 139.785 to make technical corrections.,0
HB0555,2023_2024,2023-RS,AN ACT relating to budget accounts.,Amend KRS 45.151 make technical corrections.,0
HB0556,2023_2024,2023-RS,AN ACT relating to trade practices.,"Create a new section of KRS Chapter 365 to define terms; prohibit a person from soliciting residential property owners with a prohibited advertisement, offering value in exchange for inspecting residential property owners' roof, or making an insurance claim for damage to the residential property owners' roof, interpreting the residential property owners' insurance policy without a license, and failing to provide a good faith estimate agreeing to repairing a residential property owners' roof pursuant to a property insurance claim; create an exemption when Kentucky is declared to be in a state of emergency.",0
HB0557,2023_2024,2023-RS,AN ACT relating to the Kentucky Commission on Antisemitism.,"Create a new section of KRS Chapter 344 to establish the Kentucky Commission on Antisemitism; set forth the duties and functions of the commission; authorize the commission to hold monthly meetings, seek comment and testimony, and provide research driven proposals; require the commission to submit an annual report.",0
HB0558,2023_2024,2023-RS,AN ACT relating to campaign finance.,"Amend KRS 121.015 to define ""expenditure""; amend KRS 121.150 to prohibit candidates, slates of candidates, committees, contributing organizations, or anyone on their behalf from making an expenditure to an intermediary, including subcontractors, for the purpose of making a payment to another person; require that expenditures are made directly to the provider of goods or services.",0
HB0559,2023_2024,2023-RS,AN ACT relating to the judiciary.,Amend KRS 30A.010 to include gender-neutral language.,0
HB0560,2023_2024,2023-RS,AN ACT relating to revenue.,Amend KRS 131.580 to make technical corrections.,0
HB0561,2023_2024,2023-RS,AN ACT relating to economic development.,Amend KRS 154.50-323 to include gender-neutral language.,0
HB0562,2023_2024,2023-RS,AN ACT relating to branch budget bills.,"Amend KRS 48.310, relating to branch budget bills, to make technical corrections.",0
HB0563,2023_2024,2023-RS,AN ACT relating to consumer protection of financial interests.,"Create a new section of KRS Chapter 371 to provide that a person is not liable on loans secured by a deed of trust or mortgage unless certain requirements are met; provide that a deed or trust or mortgage is not enforceable against a spouse unless certain requirements are met; amend KRS 65.154 to require state-administered retirement systems and pension plans of local governments obtain spousal acknowledgement on beneficiary forms and forms where an employee selects a payment option that may include a joint and survivor annuity; amend KRS 21.540, 61.542, 61.590, 61.705, 78.5538, 161.480, 161.630, and 161.655 to conform.",0
HB0564,2023_2024,2023-RS,AN ACT relating to public schools.,Amend KRS 158.297 to make a technical correction.,0
HB0565,2023_2024,2023-RS,AN ACT relating to education.,Amend KRS 156.690 to insert gender-neutral language.,0
HB0566,2023_2024,2023-RS,AN ACT relating to economic development.,Amend KRS 154.10-040 to add gender-neutral language.,0
HB0567,2023_2024,2023-RS,AN ACT relating to transportation.,Amend KRS 186.230 and 186.120 to conform to gender-neutral language.,0
HB0568,2023_2024,2023-RS,AN ACT relating to the public defender system.,"Amend KRS 31.030 to remove references to local plans and local counsel; amend KRS 31.211 to remove references to public advocate fees being held in a local public advocate fund; require that the funds be deposited with the Department of Public Advocacy; amend KRS 31.215 to remove references to attorneys participating in a public advocacy plan; amend KRS 31.219 to remove reference to public advocacy plans; amend KRS 31.235 to remove references to district plans; repeal KRS 31.050, 31.060, 31.065, 31.071, and 31.085; EFFECTIVE July 1, 2024.",0
HB0569,2023_2024,2023-RS,AN ACT relating to unborn human individuals.,"Amend KRS 311.723, 311.727, 311.735, 311.7704, and 311.782 to allow an abortion when two physicians determine the unborn child has an abnormality that is incompatible with life outside the womb; allow an abortion when the pregnancy is the result of rape or incest and the gestational age of the unborn child is less than 15 weeks; establish recording requirements; amend KRS 211.603, 216B.400, 311.725, 311.7706, 311.7707, 311.772, 311.7735, and 311.787 to conform.",0
HB0570,2023_2024,2023-RS,AN ACT relating to disposition of property.,Amend KRS 403.190 to state that criminal misconduct against the other spouse may be considered in the disposition of marital property and to exclude retirement or life insurance as marital property in instances of attempted homicide.,0
HB0571,2023_2024,2023-RS,AN ACT relating to wrongful conviction compensation.,Create a new section of KRS Chapter 411 to establish a cause of action for a person who was wrongfully convicted of a felony in the Commonwealth.,0
HB0572,2023_2024,2023-RS,AN ACT relating to the public advocate.,"Amend KRS 31.020 to require the appointment of the public advocate by the Public Advocacy Commission, instead of the Governor; amend KRS 31.015 to conform.",0
HB0573,2023_2024,2023-RS,AN ACT relating to Medicaid.,Amend KRS 205.170 to include gender neutral language and make technical corrections.,0
HB0574,2023_2024,2023-RS,AN ACT relating to local government.,Amend KRS 67.160 to make technical change.,0
HB0575,2023_2024,2023-RS,AN ACT relating to insurance.,"Amend KRS 304.5-150, relating to reinsurance treaties and contracts, to include gender-neutral language.",0
HB0576,2023_2024,2023-RS,AN ACT relating to judicial supervision of a custody decree or agreement.,"Amend KRS 403.330 to allow the court to issue orders in the child's best interest if joint custodians cannot agree on education, health care, or religious training.",0
HB0577,2023_2024,2023-RS,AN ACT relating to unemployment insurance.,Amend KRS 341.020 to include gender neutral-language.,0
