bill_number,term,action_date,action,chamber,order
SB5656,2023-2024,2023-02-01,"First reading, referred to Early Learning & K-12 Education.",S,1
SB5656,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,2
SB5657,2023-2024,2023-02-01,"First reading, referred to State Government & Elections.",S,1
SB5657,2023-2024,2023-02-14,Public hearing in the Senate Committee on State Government & Elections at 1:30 PM.,S,2
SB5657,2023-2024,2023-02-17,Executive action taken in the Senate Committee on State Government & Elections at 8:00 AM.,S,3
SB5657,2023-2024,2023-02-17,"SGE - Majority; 1st substitute bill be substituted, do pass.",S,4
SB5657,2023-2024,2023-02-17,Minority; without recommendation.,S,5
SB5657,2023-2024,2023-02-17,Passed to Rules Committee for second reading.,S,6
SB5657,2023-2024,2023-03-03,Placed on second reading by Rules Committee.,S,7
SB5657,2023-2024,2023-03-10,"Senate Rules ""X"" file.",S,8
SB5657,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,9
SB5657,2023-2024,2024-01-08,"On motion, referred to Rules.",S,10
SB5657,2023-2024,2024-01-24,Placed on second reading by Rules Committee.,S,11
SB5657,2023-2024,2024-02-13,1st substitute bill substituted .,S,12
SB5657,2023-2024,2024-02-13,Floor amendment adopted.,S,13
SB5657,2023-2024,2024-02-13,Rules suspended.  Placed on Third Reading.,S,14
SB5657,2023-2024,2024-02-13,"Third reading, passed; yeas, 49; nays, 0; absent, 0; excused, 0.",S,15
SB5657,2023-2024,2024-02-15,"First reading, referred to Housing.",H,16
SB5657,2023-2024,2024-02-19,Public hearing in the House Committee on Housing at 1:30 PM.,H,17
SB5657,2023-2024,2024-02-20,"Executive session scheduled, but no action was taken in the House Committee on Housing at 4:00 PM.",H,18
SB5657,2023-2024,2024-03-07,"By resolution, returned to Senate Rules Committee for third reading.",H,19
SB5658,2023-2024,2023-02-01,"First reading, referred to Higher Education & Workforce Development.",S,1
SB5658,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,2
SB5659,2023-2024,2023-02-01,"First reading, referred to Environment, Energy & Technology.",S,1
SB5659,2023-2024,2023-02-14,"Public hearing in the Senate Committee on Environment, Energy & Technology at 1:30 PM.",S,2
SB5659,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,3
SB5660,2023-2024,2023-02-01,"First reading, referred to Health & Long Term Care.",S,1
SB5660,2023-2024,2023-02-14,Public hearing in the Senate Committee on Health & Long Term Care at 8:00 AM.,S,2
SB5660,2023-2024,2023-02-16,Executive action taken in the Senate Committee on Health & Long Term Care at 10:30 AM.,S,3
SB5660,2023-2024,2023-02-16,"HLTC - Majority; 1st substitute bill be substituted, do pass.",S,4
SB5660,2023-2024,2023-02-16,And refer to Ways & Means.,S,5
SB5660,2023-2024,2023-02-16,Minority; without recommendation.,S,6
SB5660,2023-2024,2023-02-17,Referred to Ways & Means.,S,7
SB5660,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,8
SB5660,2023-2024,2024-01-23,Public hearing in the Senate Committee on Ways & Means at 4:00 PM.,S,9
SB5660,2023-2024,2024-02-02,Executive action taken in the Senate Committee on Ways & Means at 1:30 PM.,S,10
SB5660,2023-2024,2024-02-02,"WM - Majority; 2nd substitute bill be substituted, do pass.",S,11
SB5660,2023-2024,2024-02-05,Passed to Rules Committee for second reading.,S,12
SB5660,2023-2024,2024-02-07,Placed on second reading by Rules Committee.,S,13
SB5660,2023-2024,2024-02-08,2nd substitute bill substituted .,S,14
SB5660,2023-2024,2024-02-08,Rules suspended.  Placed on Third Reading.,S,15
SB5660,2023-2024,2024-02-08,"Third reading, passed; yeas, 48; nays, 1; absent, 0; excused, 0.",S,16
SB5660,2023-2024,2024-02-10,"First reading, referred to Health Care & Wellness.",H,17
SB5660,2023-2024,2024-02-12,Committee relieved of further consideration.,H,18
SB5660,2023-2024,2024-02-12,Referred to Civil Rights & Judiciary.,H,19
SB5660,2023-2024,2024-02-20,Public hearing in the House Committee on Civil Rights & Judiciary at 10:30 AM.,H,20
SB5660,2023-2024,2024-02-21,Executive action taken in the House Committee on Civil Rights & Judiciary at 8:00 AM.,H,21
SB5660,2023-2024,2024-02-21,CRJ - Majority; do pass.,H,22
SB5660,2023-2024,2024-02-21,Referred to Appropriations.,H,23
SB5660,2023-2024,2024-02-23,Public hearing in the House Committee on Appropriations at 1:30 PM.,H,24
SB5660,2023-2024,2024-02-26,Executive action taken in the House Committee on Appropriations at 10:30 AM.,H,25
SB5660,2023-2024,2024-02-26,APP - Majority; do pass.,H,26
SB5660,2023-2024,2024-02-26,Referred to Rules 2 Review.,H,27
SB5660,2023-2024,2024-02-28,Rules Committee relieved of further consideration.  Placed on second reading.,H,28
SB5660,2023-2024,2024-02-29,Rules suspended.  Placed on Third Reading.,H,29
SB5660,2023-2024,2024-02-29,"Third reading, passed; yeas, 96; nays, 0; absent, 0; excused, 2.",H,30
SB5660,2023-2024,2024-03-05,President signed.,S,31
SB5660,2023-2024,2024-03-06,Speaker signed.,H,32
SB5660,2023-2024,2024-03-08,Delivered to Governor.,O,33
SB5660,2023-2024,2024-03-29,Governor signed.,O,34
SB5660,2023-2024,2024-03-29,"Chapter 374, 2024 Laws.",O,35
SB5660,2023-2024,2024-03-29,Effective date 6/6/2024.,O,36
SB5661,2023-2024,2023-02-01,"First reading, referred to Early Learning & K-12 Education.",S,1
SB5661,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,2
SB5662,2023-2024,2023-02-01,"First reading, referred to Labor & Commerce.",S,1
SB5662,2023-2024,2023-02-06,Public hearing in the Senate Committee on Labor & Commerce at 10:30 AM.,S,2
SB5662,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,3
SB5662,2023-2024,2024-01-30,Executive action taken in the Senate Committee on Labor & Commerce at 10:30 AM.,S,4
SB5662,2023-2024,2024-01-30,LC - Majority; do pass.,S,5
SB5662,2023-2024,2024-01-30,Minority; do not pass.,S,6
SB5662,2023-2024,2024-01-31,Passed to Rules Committee for second reading.,S,7
SB5662,2023-2024,2024-02-15,"Senate Rules ""X"" file.",S,8
SB5663,2023-2024,2023-02-01,"First reading, referred to Ways & Means.",S,1
SB5663,2023-2024,2023-03-09,Public hearing in the Senate Committee on Ways & Means at 4:00 PM.,S,2
SB5663,2023-2024,2023-03-16,Executive action taken in the Senate Committee on Ways & Means at 4:00 PM.,S,3
SB5663,2023-2024,2023-03-16,"WM - Majority; 1st substitute bill be substituted, do pass.",S,4
SB5663,2023-2024,2023-03-16,Minority; without recommendation.,S,5
SB5663,2023-2024,2023-03-20,Passed to Rules Committee for second reading.,S,6
SB5663,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,7
SB5663,2023-2024,2024-01-08,"On motion, referred to Ways & Means.",S,8
SB5663,2023-2024,2024-02-20,Public hearing in the Senate Committee on Ways & Means at 4:00 PM.,S,9
SB5663,2023-2024,2024-02-23,Executive action taken in the Senate Committee on Ways & Means at 1:30 PM.,S,10
SB5663,2023-2024,2024-02-23,"WM - Majority; 2nd substitute bill be substituted, do pass.",S,11
SB5663,2023-2024,2024-02-23,Minority; without recommendation.,S,12
SB5663,2023-2024,2024-02-26,Passed to Rules Committee for second reading.,S,13
SB5664,2023-2024,2023-02-01,"First reading, referred to Agriculture, Water, Natural Resources & Parks.",S,1
SB5664,2023-2024,2023-02-13,"Public hearing in the Senate Committee on Agriculture, Water, Natural Resources & Parks at 1:30 PM.",S,2
SB5664,2023-2024,2023-02-16,"Executive session scheduled, but no action was taken in the Senate Committee on Agriculture, Water, Natural Resources & Parks at 1:30 PM.",S,3
SB5664,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,4
SB5665,2023-2024,2023-02-01,"First reading, referred to Law & Justice.",S,1
SB5665,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,2
SB5666,2023-2024,2023-02-01,"First reading, referred to Higher Education & Workforce Development.",S,1
SB5666,2023-2024,2023-02-10,Public hearing in the Senate Committee on Higher Education & Workforce Development at 10:30 AM.,S,2
SB5666,2023-2024,2023-02-17,Executive action taken in the Senate Committee on Higher Education & Workforce Development at 10:30 AM.,S,3
SB5666,2023-2024,2023-02-17,HEWD - Majority; do pass.,S,4
SB5666,2023-2024,2023-02-17,And refer to Ways & Means.,S,5
SB5666,2023-2024,2023-02-17,Referred to Ways & Means.,S,6
SB5666,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,7
SB5667,2023-2024,2023-02-01,"First reading, referred to Agriculture, Water, Natural Resources & Parks.",S,1
SB5667,2023-2024,2023-02-09,"Public hearing in the Senate Committee on Agriculture, Water, Natural Resources & Parks at 1:30 PM.",S,2
SB5667,2023-2024,2023-02-16,"Executive session scheduled, but no action was taken in the Senate Committee on Agriculture, Water, Natural Resources & Parks at 1:30 PM.",S,3
SB5667,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,4
SB5667,2023-2024,2024-01-11,"Executive action taken in the Senate Committee on Agriculture, Water, Natural Resources & Parks at 1:30 PM.",S,5
SB5667,2023-2024,2024-01-11,"AWNP - Majority; 1st substitute bill be substituted, do pass.",S,6
SB5667,2023-2024,2024-01-11,And refer to Ways & Means.,S,7
SB5667,2023-2024,2024-01-11,Minority; without recommendation.,S,8
SB5667,2023-2024,2024-01-11,And refer to Ways & Means.,S,9
SB5667,2023-2024,2024-01-12,Referred to Ways & Means.,S,10
SB5667,2023-2024,2024-01-22,Public hearing in the Senate Committee on Ways & Means at 4:00 PM.,S,11
SB5667,2023-2024,2024-02-02,Executive action taken in the Senate Committee on Ways & Means at 1:30 PM.,S,12
SB5667,2023-2024,2024-02-02,"WM - Majority; do pass 1st substitute bill proposed by Agriculture, Water, Natural Resources & Parks.",S,13
SB5667,2023-2024,2024-02-05,Passed to Rules Committee for second reading.,S,14
SB5667,2023-2024,2024-02-07,Placed on second reading by Rules Committee.,S,15
SB5667,2023-2024,2024-02-12,1st substitute bill substituted .,S,16
SB5667,2023-2024,2024-02-12,Rules suspended.  Placed on Third Reading.,S,17
SB5667,2023-2024,2024-02-12,"Third reading, passed; yeas, 49; nays, 0; absent, 0; excused, 0.",S,18
SB5667,2023-2024,2024-02-14,"First reading, referred to Agriculture & Natural Resources.",H,19
SB5667,2023-2024,2024-02-20,Public hearing in the House Committee on Agriculture & Natural Resources at 10:30 AM.,H,20
SB5667,2023-2024,2024-02-21,Executive action taken in the House Committee on Agriculture & Natural Resources at 8:00 AM.,H,21
SB5667,2023-2024,2024-02-21,AGNR - Majority; do pass.,H,22
SB5667,2023-2024,2024-02-21,Referred to Capital Budget.,H,23
SB5667,2023-2024,2024-02-23,Public hearing in the House Committee on Capital Budget at 8:00 AM.,H,24
SB5667,2023-2024,2024-02-26,Executive action taken in the House Committee on Capital Budget at 8:00 AM.,H,25
SB5667,2023-2024,2024-02-26,CB - Majority; do pass with amendment.,H,26
SB5667,2023-2024,2024-02-26,Referred to Rules 2 Review.,H,27
SB5667,2023-2024,2024-02-27,Rules Committee relieved of further consideration.  Placed on second reading.,H,28
SB5667,2023-2024,2024-03-01,Committee amendment not adopted.,H,29
SB5667,2023-2024,2024-03-01,Rules suspended.  Placed on Third Reading.,H,30
SB5667,2023-2024,2024-03-01,"Third reading, passed; yeas, 96; nays, 0; absent, 0; excused, 2.",H,31
SB5667,2023-2024,2024-03-04,President signed.,S,32
SB5667,2023-2024,2024-03-04,Speaker signed.,H,33
SB5667,2023-2024,2024-03-06,Delivered to Governor.,O,34
SB5667,2023-2024,2024-03-18,Governor signed.,O,35
SB5667,2023-2024,2024-03-18,"Chapter 158, 2024 Laws.",O,36
SB5667,2023-2024,2024-03-18,Effective date 6/6/2024.,O,37
SB5668,2023-2024,2023-02-01,"First reading, referred to Early Learning & K-12 Education.",S,1
SB5668,2023-2024,2023-02-13,"Public hearing and executive session scheduled, but no action was taken in the Senate Committee on Early Learning & K-12 Education at 1:30 PM.",S,2
SB5668,2023-2024,2023-02-15,Executive action taken in the Senate Committee on Early Learning & K-12 Education at 2:00 PM.,S,3
SB5668,2023-2024,2023-02-15,"EDU - Majority; 1st substitute bill be substituted, do pass.",S,4
SB5668,2023-2024,2023-02-15,And refer to Ways & Means.,S,5
SB5668,2023-2024,2023-02-15,Minority; do not pass.,S,6
SB5668,2023-2024,2023-02-15,Minority; without recommendation.,S,7
SB5668,2023-2024,2023-02-16,Referred to Ways & Means.,S,8
SB5668,2023-2024,2023-02-20,Public hearing in the Senate Committee on Ways & Means at 9:00 AM.,S,9
SB5668,2023-2024,2023-02-22,"Executive session scheduled, but no action was taken in the Senate Committee on Ways & Means at 1:30 PM.",S,10
SB5668,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,11
SB5669,2023-2024,2023-02-02,"First reading, referred to Law & Justice.",S,1
SB5669,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,2
SB5670,2023-2024,2023-02-02,"First reading, referred to Higher Education & Workforce Development.",S,1
SB5670,2023-2024,2023-02-08,Public hearing in the Senate Committee on Higher Education & Workforce Development at 8:00 AM.,S,2
SB5670,2023-2024,2023-02-15,Executive action taken in the Senate Committee on Higher Education & Workforce Development at 8:00 AM.,S,3
SB5670,2023-2024,2023-02-15,"HEWD - Majority; 1st substitute bill be substituted, do pass.",S,4
SB5670,2023-2024,2023-02-15,And refer to Ways & Means.,S,5
SB5670,2023-2024,2023-02-16,Referred to Ways & Means.,S,6
SB5670,2023-2024,2023-02-21,Public hearing in the Senate Committee on Ways & Means at 9:00 AM.,S,7
SB5670,2023-2024,2023-02-24,Executive action taken in the Senate Committee on Ways & Means at 9:00 AM.,S,8
SB5670,2023-2024,2023-02-24,"WM - Majority; 2nd substitute bill be substituted, do pass.",S,9
SB5670,2023-2024,2023-02-24,Minority; without recommendation.,S,10
SB5670,2023-2024,2023-02-24,Passed to Rules Committee for second reading.,S,11
SB5670,2023-2024,2023-03-01,Placed on second reading by Rules Committee.,S,12
SB5670,2023-2024,2023-03-10,"Senate Rules ""X"" file.",S,13
SB5670,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,14
SB5670,2023-2024,2024-01-08,"On motion, referred to Rules.",S,15
SB5670,2023-2024,2024-01-30,Placed on second reading by Rules Committee.,S,16
SB5670,2023-2024,2024-02-02,2nd substitute bill substituted .,S,17
SB5670,2023-2024,2024-02-02,Floor amendment adopted.,S,18
SB5670,2023-2024,2024-02-02,Rules suspended.  Placed on Third Reading.,S,19
SB5670,2023-2024,2024-02-02,"Third reading, passed; yeas, 48; nays, 0; absent, 0; excused, 1.",S,20
SB5670,2023-2024,2024-02-06,"First reading, referred to Education.",H,21
SB5670,2023-2024,2024-02-15,Public hearing in the House Committee on Education at 8:00 AM.,H,22
SB5670,2023-2024,2024-02-19,Executive action taken in the House Committee on Education at 1:30 PM.,H,23
SB5670,2023-2024,2024-02-19,ED - Majority; do pass.,H,24
SB5670,2023-2024,2024-02-21,Referred to Rules 2 Review.,H,25
SB5670,2023-2024,2024-02-24,Rules Committee relieved of further consideration.  Placed on second reading.,H,26
SB5670,2023-2024,2024-02-29,Rules suspended.  Placed on Third Reading.,H,27
SB5670,2023-2024,2024-02-29,"Third reading, passed; yeas, 92; nays, 1; absent, 0; excused, 5.",H,28
SB5670,2023-2024,2024-03-06,President signed.,S,29
SB5670,2023-2024,2024-03-07,Speaker signed.,H,30
SB5670,2023-2024,2024-03-08,Delivered to Governor.,O,31
SB5670,2023-2024,2024-03-18,Governor signed.,O,32
SB5670,2023-2024,2024-03-18,"Chapter 159, 2024 Laws.",O,33
SB5670,2023-2024,2024-03-18,Effective date 6/6/2024.,O,34
SB5671,2023-2024,2023-02-02,"First reading, referred to Early Learning & K-12 Education.",S,1
SB5671,2023-2024,2023-02-13,Public hearing in the Senate Committee on Early Learning & K-12 Education at 1:30 PM.,S,2
SB5671,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,3
SB5672,2023-2024,2023-02-02,"First reading, referred to Ways & Means.",S,1
SB5672,2023-2024,2023-02-13,Public hearing in the Senate Committee on Ways & Means at 4:00 PM.,S,2
SB5672,2023-2024,2023-02-20,Executive action taken in the Senate Committee on Ways & Means at 9:00 AM.,S,3
SB5672,2023-2024,2023-02-20,"WM - Majority; 1st substitute bill be substituted, do pass.",S,4
SB5672,2023-2024,2023-02-21,Passed to Rules Committee for second reading.,S,5
SB5672,2023-2024,2023-03-03,Placed on second reading by Rules Committee.,S,6
SB5672,2023-2024,2023-03-08,1st substitute bill substituted .,S,7
SB5672,2023-2024,2023-03-08,Rules suspended.  Placed on Third Reading.,S,8
SB5672,2023-2024,2023-03-08,"Third reading, passed; yeas, 48; nays, 0; absent, 0; excused, 1.",S,9
SB5672,2023-2024,2023-03-10,"First reading, referred to Appropriations.",H,10
SB5672,2023-2024,2023-03-16,Public hearing in the House Committee on Appropriations at 4:00 PM.,H,11
SB5672,2023-2024,2023-03-22,Executive action taken in the House Committee on Appropriations at 4:00 PM.,H,12
SB5672,2023-2024,2023-03-22,APP - Majority; do pass with amendment.,H,13
SB5672,2023-2024,2023-03-22,Minority; do not pass.,H,14
SB5672,2023-2024,2023-03-27,Referred to Rules 2 Review.,H,15
SB5672,2023-2024,2023-04-03,Placed on second reading by Rules Committee.,H,16
SB5672,2023-2024,2023-04-06,Committee amendment adopted with no other amendments.,H,17
SB5672,2023-2024,2023-04-06,Rules suspended.  Placed on Third Reading.,H,18
SB5672,2023-2024,2023-04-06,"Third reading, passed; yeas, 98; nays, 0; absent, 0; excused, 0.",H,19
SB5672,2023-2024,2023-04-23,Returned to Senate Rules 3.,S,20
SB5672,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,21
SB5672,2023-2024,2024-01-08,"Senate Rules ""X"" file.",S,22
SB5673,2023-2024,2023-02-02,"First reading, referred to Agriculture, Water, Natural Resources & Parks.",S,1
SB5673,2023-2024,2023-02-13,"Public hearing in the Senate Committee on Agriculture, Water, Natural Resources & Parks at 1:30 PM.",S,2
SB5673,2023-2024,2023-02-16,"Executive session scheduled, but no action was taken in the Senate Committee on Agriculture, Water, Natural Resources & Parks at 1:30 PM.",S,3
SB5673,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,4
SB5674,2023-2024,2023-02-02,"First reading, referred to Housing.",S,1
SB5674,2023-2024,2023-02-08,Public hearing in the Senate Committee on Housing at 1:30 PM.,S,2
SB5674,2023-2024,2023-02-15,Executive action taken in the Senate Committee on Housing at 1:30 PM.,S,3
SB5674,2023-2024,2023-02-15,HSG - Majority; do pass.,S,4
SB5674,2023-2024,2023-02-15,Minority; without recommendation.,S,5
SB5674,2023-2024,2023-02-16,Passed to Rules Committee for second reading.,S,6
SB5674,2023-2024,2023-03-10,"Senate Rules ""X"" file.",S,7
SB5674,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,8
SB5675,2023-2024,2023-02-02,"First reading, referred to Agriculture, Water, Natural Resources & Parks.",S,1
SB5675,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,2
SB5676,2023-2024,2023-02-02,"First reading, referred to Health & Long Term Care.",S,1
SB5676,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,2
SB5677,2023-2024,2023-02-02,"First reading, referred to State Government & Elections.",S,1
SB5677,2023-2024,2023-02-14,Public hearing in the Senate Committee on State Government & Elections at 1:30 PM.,S,2
SB5677,2023-2024,2023-02-17,Executive action taken in the Senate Committee on State Government & Elections at 8:00 AM.,S,3
SB5677,2023-2024,2023-02-17,SGE - Majority; do pass.,S,4
SB5677,2023-2024,2023-02-17,Passed to Rules Committee for second reading.,S,5
SB5677,2023-2024,2023-03-07,Placed on second reading by Rules Committee.,S,6
SB5677,2023-2024,2023-03-10,"Senate Rules ""X"" file.",S,7
SB5677,2023-2024,2024-01-08,"On motion, referred to Rules.",S,8
SB5677,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,9
SB5677,2023-2024,2024-02-15,"Senate Rules ""X"" file.",S,10
SB5678,2023-2024,2023-02-02,"First reading, referred to Early Learning & K-12 Education.",S,1
SB5678,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,2
SB5679,2023-2024,2023-02-02,"First reading, referred to Ways & Means.",S,1
SB5679,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,2
SB5680,2023-2024,2023-02-02,"First reading, referred to Early Learning & K-12 Education.",S,1
SB5680,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,2
SB5681,2023-2024,2023-02-02,"First reading, referred to Ways & Means.",S,1
SB5681,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,2
SB5682,2023-2024,2023-02-02,"First reading, referred to Law & Justice.",S,1
SB5682,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,2
SB5683,2023-2024,2023-02-02,"First reading, referred to Human Services.",S,1
SB5683,2023-2024,2023-02-09,Public hearing in the Senate Committee on Human Services at 8:00 AM.,S,2
SB5683,2023-2024,2023-02-14,Executive action taken in the Senate Committee on Human Services at 10:30 AM.,S,3
SB5683,2023-2024,2023-02-14,HS - Majority; do pass.,S,4
SB5683,2023-2024,2023-02-14,And refer to Ways & Means.,S,5
SB5683,2023-2024,2023-02-15,Referred to Ways & Means.,S,6
SB5683,2023-2024,2023-02-21,Public hearing in the Senate Committee on Ways & Means at 9:00 AM.,S,7
SB5683,2023-2024,2023-02-23,Executive action taken in the Senate Committee on Ways & Means at 9:00 AM.,S,8
SB5683,2023-2024,2023-02-23,WM - Majority; do pass.,S,9
SB5683,2023-2024,2023-02-24,Passed to Rules Committee for second reading.,S,10
SB5683,2023-2024,2023-03-03,Placed on second reading by Rules Committee.,S,11
SB5683,2023-2024,2023-03-07,Rules suspended.  Placed on Third Reading.,S,12
SB5683,2023-2024,2023-03-07,"Third reading, passed; yeas, 48; nays, 0; absent, 0; excused, 1.",S,13
SB5683,2023-2024,2023-03-09,"First reading, referred to Human Services, Youth, & Early Learning.",H,14
SB5683,2023-2024,2023-03-21,"Public hearing in the House Committee on Human Services, Youth, & Early Learning at 1:30 PM.",H,15
SB5683,2023-2024,2023-03-24,"Executive action taken in the House Committee on Human Services, Youth, & Early Learning at 8:00 AM.",H,16
SB5683,2023-2024,2023-03-24,HSEL - Majority; do pass.,H,17
SB5683,2023-2024,2023-03-29,Referred to Appropriations.,H,18
SB5683,2023-2024,2023-04-01,Public hearing in the House Committee on Appropriations at 9:00 AM.,H,19
SB5683,2023-2024,2023-04-04,Executive action taken in the House Committee on Appropriations at 9:00 AM.,H,20
SB5683,2023-2024,2023-04-04,APP - Majority; do pass.,H,21
SB5683,2023-2024,2023-04-04,Referred to Rules 2 Review.,H,22
SB5683,2023-2024,2023-04-07,Rules Committee relieved of further consideration.  Placed on second reading.,H,23
SB5683,2023-2024,2023-04-07,Rules suspended.  Placed on Third Reading.,H,24
SB5683,2023-2024,2023-04-07,"Third reading, passed; yeas, 97; nays, 0; absent, 0; excused, 1.",H,25
SB5683,2023-2024,2023-04-08,President signed.,S,26
SB5683,2023-2024,2023-04-10,Speaker signed.,H,27
SB5683,2023-2024,2023-04-14,Delivered to Governor.,O,28
SB5683,2023-2024,2023-04-20,Governor signed.,O,29
SB5683,2023-2024,2023-04-20,"Chapter 127, 2023 Laws.",O,30
SB5683,2023-2024,2023-04-22,Effective date 7/23/2023.,O,31
SB5684,2023-2024,2023-02-03,"First reading, referred to State Government & Elections.",S,1
SB5684,2023-2024,2023-02-07,Public hearing in the Senate Committee on State Government & Elections at 1:30 PM.,S,2
SB5684,2023-2024,2023-02-10,Executive action taken in the Senate Committee on State Government & Elections at 8:00 AM.,S,3
SB5684,2023-2024,2023-02-10,SGE - Majority; do pass.,S,4
SB5684,2023-2024,2023-02-10,And refer to Ways & Means.,S,5
SB5684,2023-2024,2023-02-10,Minority; without recommendation.,S,6
SB5684,2023-2024,2023-02-13,Referred to Ways & Means.,S,7
SB5684,2023-2024,2023-02-20,Public hearing in the Senate Committee on Ways & Means at 9:00 AM.,S,8
SB5684,2023-2024,2023-02-24,Executive action taken in the Senate Committee on Ways & Means at 9:00 AM.,S,9
SB5684,2023-2024,2023-02-24,"WM - Majority; 1st substitute bill be substituted, do pass.",S,10
SB5684,2023-2024,2023-02-24,Minority; do not pass.,S,11
SB5684,2023-2024,2023-02-24,Minority; without recommendation.,S,12
SB5684,2023-2024,2023-02-24,Passed to Rules Committee for second reading.,S,13
SB5684,2023-2024,2023-03-07,Placed on second reading by Rules Committee.,S,14
SB5684,2023-2024,2023-03-10,"Senate Rules ""X"" file.",S,15
SB5684,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,16
SB5684,2023-2024,2024-01-08,"On motion, referred to Rules.",S,17
SB5684,2023-2024,2024-02-15,"Senate Rules ""X"" file.",S,18
SB5685,2023-2024,2023-02-03,"First reading, referred to Health & Long Term Care.",S,1
SB5685,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,2
SB5686,2023-2024,2023-02-03,"First reading, referred to Local Government, Land Use & Tribal Affairs.",S,1
SB5686,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",S,2
SB5687,2023-2024,2023-02-03,"First reading, referred to Higher Education & Workforce Development.",S,1
SB5687,2023-2024,2023-02-15,Public hearing in the Senate Committee on Higher Education & Workforce Development at 8:00 AM.,S,2
SB5687,2023-2024,2023-02-17,Executive action taken in the Senate Committee on Higher Education & Workforce Development at 10:30 AM.,S,3
SB5687,2023-2024,2023-02-17,HEWD - Majority; do pass.,S,4
SB5687,2023-2024,2023-02-17,And refer to Ways & Means.,S,5
SB5687,2023-2024,2023-02-17,Referred to Ways & Means.,S,6
SB5687,2023-2024,2023-02-21,Public hearing in the Senate Committee on Ways & Means at 9:00 AM.,S,7
SB5687,2023-2024,2023-02-23,Executive action taken in the Senate Committee on Ways & Means at 9:00 AM.,S,8
SB5687,2023-2024,2023-02-23,"WM - Majority; 1st substitute bill be substituted, do pass.",S,9
SB5687,2023-2024,2023-02-24,Passed to Rules Committee for second reading.,S,10
SB5687,2023-2024,2023-03-01,Placed on second reading by Rules Committee.,S,11
SB5687,2023-2024,2023-03-02,1st substitute bill substituted .,S,12
SB5687,2023-2024,2023-03-02,Rules suspended.  Placed on Third Reading.,S,13
SB5687,2023-2024,2023-03-02,"Third reading, passed; yeas, 49; nays, 0; absent, 0; excused, 0.",S,14
SB5687,2023-2024,2023-03-04,"First reading, referred to Postsecondary Education & Workforce.",H,15
SB5687,2023-2024,2023-03-15,Public hearing in the House Committee on Postsecondary Education & Workforce at 1:30 PM.,H,16
SB5687,2023-2024,2023-03-17,Executive action taken in the House Committee on Postsecondary Education & Workforce at 8:00 AM.,H,17
SB5687,2023-2024,2023-03-17,PEW - Majority; do pass.,H,18
SB5687,2023-2024,2023-03-17,Minority; do not pass.,H,19
SB5687,2023-2024,2023-03-17,Minority; without recommendation.,H,20
SB5687,2023-2024,2023-03-20,Referred to Appropriations.,H,21
SB5687,2023-2024,2023-03-30,Public hearing in the House Committee on Appropriations at 1:30 PM.,H,22
SB5687,2023-2024,2023-04-01,Executive action taken in the House Committee on Appropriations at 9:00 AM.,H,23
SB5687,2023-2024,2023-04-01,APP - Majority; do pass.,H,24
SB5687,2023-2024,2023-04-01,Minority; do not pass.,H,25
SB5687,2023-2024,2023-04-01,Minority; without recommendation.,H,26
SB5687,2023-2024,2023-04-04,Referred to Rules 2 Review.,H,27
SB5687,2023-2024,2023-04-12,Rules Committee relieved of further consideration.  Placed on second reading.,H,28
SB5687,2023-2024,2023-04-12,Rules suspended.  Placed on Third Reading.,H,29
SB5687,2023-2024,2023-04-12,"Third reading, passed; yeas, 80; nays, 17; absent, 0; excused, 1.",H,30
