bill_number,session_num,session,bill_id_num,title,intro_sponsor,primary_sponsors,cosponsors,keywords,summary,bill_json
HCR2003,128,2023_2024_Second_Regular,79931,groundwater management; technical correction,,GRIFFIN,,ASSURED WATER SUPPLY; CONCURRENT RESOLUTION; DEVELOPMENT; FOR-SALE HOUSING; GROUNDWATER REPLENISHMENT; HOUSING DEVELOPMENTS,HCR2003 - (NOW: for-sale housing; development; groundwater replenishment),https://apps.azleg.gov/api/Bill/?billNumber=HCR2003&sessionId=128
HCR2004,128,2023_2024_Second_Regular,79956,state trust lands; technical correction,,KOLODIN,,CONCURRENT RESOLUTION; CONSTITUTION OF ARIZONA; DISPOSAL; SALE; STATE TRUST LANDS; TECHNICAL CORRECTION,HCR2004 - state trust lands; technical correction,https://apps.azleg.gov/api/Bill/?billNumber=HCR2004&sessionId=128
HCR2005,128,2023_2024_Second_Regular,79957,bulk food; technical correction,,KOLODIN,,BULK FOOD; CONCURRENT RESOLUTION; PURE FOOD CONTROL; SECRETARY OF STATE; TECHNICAL CORRECTION,HCR2005 - bulk food; technical correction,https://apps.azleg.gov/api/Bill/?billNumber=HCR2005&sessionId=128
HCR2006,128,2023_2024_Second_Regular,79958,bond elections; technical correction,,KOLODIN,,BOND ELECTIONS; CONCURRENT RESOLUTION; CONSTITUTION OF ARIZONA; TECHNICAL CORRECTION,HCR2006 - bond elections; technical correction,https://apps.azleg.gov/api/Bill/?billNumber=HCR2006&sessionId=128
HCR2007,128,2023_2024_Second_Regular,79959,technical correction; illegal aliens,,KOLODIN,,CONCURRENT RESOLUTION; CONSTITUTION OF ARIZONA; DECLARATION OF RIGHTS; ILLEGAL ALIENS; TECHNICAL CORRECTION,HCR2007 - technical correction; illegal aliens,https://apps.azleg.gov/api/Bill/?billNumber=HCR2007&sessionId=128
HCR2008,128,2023_2024_Second_Regular,79960,technical correction; election certificates,,KOLODIN,,CONCURRENT RESOLUTION; CONDUCT OF ELECTIONS; ELECTION CERTIFICATES; SECRETARY OF STATE; TECHNICAL CORRECTION,HCR2008 - technical correction; election certificates,https://apps.azleg.gov/api/Bill/?billNumber=HCR2008&sessionId=128
HCR2009,128,2023_2024_Second_Regular,79982,Israel; support,,TOMA,BIASIUCCI; BLISS; CARBONE; CARTER; CHAPLIK; COOK; DIAZ; DUNN; GILLETTE; GRANTHAM; GRESS; GRIFFIN; HEAP; HENDRIX; HERNANDEZ A; HERNANDEZ C; JONES; KOLODIN; LIVINGSTON; MARSHALL; MARTINEZ; MCGARR; MONTENEGRO; NGUYEN; PARKER B; PARKER J; PAYNE; PEÑA; PINGERELLI; SMITH; WILLOUGHBY; WILMETH; BORRELLI; CARROLL; KAVANAGH; PETERSEN; SHOPE; WADSACK,CONCURRENT RESOLUTION; ISRAEL; SUPPORT,HCR2009 - Israel; support,https://apps.azleg.gov/api/Bill/?billNumber=HCR2009&sessionId=128
HCR2010,128,2023_2024_Second_Regular,80080,firearm sales; transfers; background checks,,LONGDON,CONTRERAS P; CREWS; GUTIERREZ; SCHWIEBERT; STAHL HAMILTON,BACKGROUND CHECKS; CONCURRENT RESOLUTION; FIREARM SALES; FIREARMS; SECRETARY OF STATE; TRANSFER,HCR2010 - firearm sales; transfers; background checks,https://apps.azleg.gov/api/Bill/?billNumber=HCR2010&sessionId=128
HCR2011,128,2023_2024_Second_Regular,80081,firearms; contracts; prohibited practices.,,NGUYEN,BIASIUCCI; BLISS; DIAZ; GILLETTE; GRESS; GRIFFIN; HENDRIX; PARKER J; WILLOUGHBY; WILMETH,CONCURRENT RESOLUTION; CONTRACTS; DELAYED REPEAL; FIREARM DISCRIMINATION; FIREARMS; PROHIBITED PRACTICES; SECRETARY OF STATE,HCR2011 - firearms; contracts; prohibited practices.,https://apps.azleg.gov/api/Bill/?billNumber=HCR2011&sessionId=128
HCR2012,128,2023_2024_Second_Regular,80082,peace officers; resignation; election; nomination.,,BIASIUCCI,GILLETTE,CONCURRENT RESOLUTION; ELECTION; NOMINATION; PEACE OFFICERS; RESIGNATION; SECRETARY OF STATE,HCR2012 - peace officers; resignation; election; nomination.,https://apps.azleg.gov/api/Bill/?billNumber=HCR2012&sessionId=128
HCR2013,128,2023_2024_Second_Regular,80091,school districts; expenditure limit; authorization,,GRESS,DUNN; HERNANDEZ M; LONGDON; PAWLIK; SCHWIEBERT; SHAH; TERECH; WILLOUGHBY; WILMETH,AUTHORIZATION; CONCURRENT RESOLUTION; CONSTITUTIONAL EXPENDITURE LIMITATION; EXPENDITURE LIMIT; FISCAL YEAR 2024-2025; SCHOOL DISTRICTS,HCR2013 - school districts; expenditure limit; authorization,https://apps.azleg.gov/api/Bill/?billNumber=HCR2013&sessionId=128
HCR2014,128,2023_2024_Second_Regular,80092,short-term rentals; vacation rentals.,,TERECH,SCHWIEBERT,CONCURRENT RESOLUTION; SECRETARY OF STATE; SHORT-TERM RENTALS; VACATION RENTALS,HCR2014 - short-term rentals; vacation rentals.,https://apps.azleg.gov/api/Bill/?billNumber=HCR2014&sessionId=128
HCR2015,128,2023_2024_Second_Regular,80137,environment; natural resources; preservation; maintenance,,DE LOS SANTOS,,CONCURRENT RESOLUTION; CONSTITUTION OF ARIZONA; ENVIRONMENT; MAINTENANCE; NATURAL RESOURCES; PRESERVATION; SECRETARY OF STATE,HCR2015 - environment; natural resources; preservation; maintenance,https://apps.azleg.gov/api/Bill/?billNumber=HCR2015&sessionId=128
HCR2016,128,2023_2024_Second_Regular,80138,right to work; repeal,,DE LOS SANTOS,CONTRERAS P,CONCURRENT RESOLUTION; CONSTITUTION OF ARIZONA; REPEAL; RIGHT TO WORK; SECRETARY OF STATE,HCR2016 - right to work; repeal,https://apps.azleg.gov/api/Bill/?billNumber=HCR2016&sessionId=128
HCR2017,128,2023_2024_Second_Regular,80139,same-sex marriage; constitutional right,,DE LOS SANTOS,AUSTIN; CONTRERAS L; CONTRERAS P; GUTIERREZ; HERNANDEZ M; ORTIZ,CONCURRENT RESOLUTION; CONSTITUTION OF ARIZONA; CONSTITUTIONAL RIGHT; MARRIAGE; SAME-SEX MARRIAGE; SECRETARY OF STATE,HCR2017 - same-sex marriage; constitutional right,https://apps.azleg.gov/api/Bill/?billNumber=HCR2017&sessionId=128
HCR2018,128,2023_2024_Second_Regular,80161,tax prohibition; vehicle mileage; monitoring,,GRANTHAM,CARBONE; CARTER; CHAPLIK; COOK; GILLETTE; HENDRIX; KOLODIN; MARSHALL; PARKER B; PEÑA; TOMA,CONCURRENT RESOLUTION; CONSTITUTION OF ARIZONA; MONITORING; SECRETARY OF STATE; TAX PROHIBITION; TAXATION; VEHICLE MILEAGE,HCR2018 - tax prohibition; vehicle mileage; monitoring,https://apps.azleg.gov/api/Bill/?billNumber=HCR2018&sessionId=128
HCR2019,128,2023_2024_Second_Regular,80186,slavery; indentured servitude; prohibition,,STAHL HAMILTON,AGUILAR; AUSTIN; CONTRERAS L; CONTRERAS P; CREWS; DE LOS SANTOS; PESHLAKAI; SANDOVAL; TRAVERS; VILLEGAS; GABALDÓN; MENDEZ,CONCURRENT RESOLUTION; CONSTITUTION OF ARIZONA; DECLARATION OF RIGHTS; INDENTURED SERVITUDE; PROHIBITION; SECRETARY OF STATE; SLAVERY,HCR2019 - slavery; indentured servitude; prohibition,https://apps.azleg.gov/api/Bill/?billNumber=HCR2019&sessionId=128
HCR2020,128,2023_2024_Second_Regular,80187,constitutional right to vote,,STAHL HAMILTON,AGUILAR; AUSTIN; CONTRERAS L; CONTRERAS P; CREWS; DE LOS SANTOS; PESHLAKAI; SANDOVAL; SEAMAN; TRAVERS; VILLEGAS,CONCURRENT RESOLUTION; CONSTITUTION OF ARIZONA; CONSTITUTIONAL RIGHT TO VOTE; SECRETARY OF STATE; VOTING RIGHTS,HCR2020 - constitutional right to vote,https://apps.azleg.gov/api/Bill/?billNumber=HCR2020&sessionId=128
HCR2021,128,2023_2024_Second_Regular,80227,schools; English language learners; requirements,,SANDOVAL,AGUILAR; AUSTIN; BLATTMAN; CONTRERAS P; CREWS; DE LOS SANTOS; MATHIS; ORTIZ; PAWLIK; PESHLAKAI; SCHWIEBERT; SEAMAN; STAHL HAMILTON; TERECH; TRAVERS; VILLEGAS; DIAZ; GABALDÓN,CONCURRENT RESOLUTION; CONFORMING LEGISLATION; ENGLISH LANGUAGE LEARNERS; PUBLIC SCHOOLS; REQUIREMENTS; SCHOOLS; SECRETARY OF STATE,HCR2021 - schools; English language learners; requirements,https://apps.azleg.gov/api/Bill/?billNumber=HCR2021&sessionId=128
HCR2022,128,2023_2024_Second_Regular,80228,technical correction; racing commission; prohibition,,GRIFFIN,,CONCURRENT RESOLUTION; DOG RACING; HORSE RACING; PROHIBITION; RACING COMMISSION; TECHNICAL CORRECTION,HCR2022 - technical correction; racing commission; prohibition,https://apps.azleg.gov/api/Bill/?billNumber=HCR2022&sessionId=128
HCR2023,128,2023_2024_Second_Regular,80240,property tax; refund; nuisance enforcement.,,TOMA,BIASIUCCI; BLISS; GILLETTE; GRANTHAM; GRIFFIN; HENDRIX; LIVINGSTON; PARKER J; PAYNE,CONCURRENT RESOLUTION; LEGISLATIVE INTENT; NUISANCE ENFORCEMENT; PROPERTY TAX; REFUND; SECRETARY OF STATE,HCR2023 - property tax; refund; nuisance enforcement.,https://apps.azleg.gov/api/Bill/?billNumber=HCR2023&sessionId=128
HCR2024,128,2023_2024_Second_Regular,80255,jury trials; administrative proceedings,,KOLODIN,GILLETTE; JONES; MCGARR,ADMINISTRATIVE PROCEEDINGS; CONCURRENT RESOLUTION; JURY TRIALS; SECRETARY OF STATE,HCR2024 - jury trials; administrative proceedings,https://apps.azleg.gov/api/Bill/?billNumber=HCR2024&sessionId=128
HCR2025,128,2023_2024_Second_Regular,80257,division; Maricopa county; new counties,,KOLODIN,CHAPLIK; GILLETTE; JONES; PARKER B,CONCURRENT RESOLUTION; CONFORMING LEGISLATION; DIVISION; LOCATION OF COUNTIES; MARICOPA COUNTY; NEW COUNTIES; SECRETARY OF STATE,HCR2025 - division; Maricopa county; new counties,https://apps.azleg.gov/api/Bill/?billNumber=HCR2025&sessionId=128
HCR2026,128,2023_2024_Second_Regular,80258,NCSL; fiftieth anniversary.,,TOMA,,CONCURRENT RESOLUTION; FIFTIETH ANNIVERSARY; NATIONAL CONFERENCE OF STATE LEGISLATURES (NCSL); NCSL (SEE ALSO: NATIONAL CONFERENCE OF STATE LEGISLATURES),HCR2026 - NCSL; fiftieth anniversary.,https://apps.azleg.gov/api/Bill/?billNumber=HCR2026&sessionId=128
HCR2027,128,2023_2024_Second_Regular,80346,house of representatives; designated seats,,MCGARR,BIASIUCCI; CHAPLIK; DUNN; HENDRIX; JONES; KOLODIN; MARSHALL; PARKER B; SMITH; WILLOUGHBY; WILMETH; WADSACK,CONCURRENT RESOLUTION; DESIGNATED SEATS; DESIGNATION OF LEGISLATIVE SEATS; HOUSE OF REPRESENTATIVES; SECRETARY OF STATE,HCR2027 - house of representatives; designated seats,https://apps.azleg.gov/api/Bill/?billNumber=HCR2027&sessionId=128
HCR2028,128,2023_2024_Second_Regular,80347,elections; signature verification process,,KOLODIN,MCGARR; ROGERS,CONCURRENT RESOLUTION; ELECTIONS; INTENT; PROCESS; SECRETARY OF STATE; SIGNATURE VERIFICATION; VOTER SIGNATURE,HCR2028 - elections; signature verification process,https://apps.azleg.gov/api/Bill/?billNumber=HCR2028&sessionId=128
HCR2029,128,2023_2024_Second_Regular,80374,selective admissions requirements; schools; prohibition,,PARKER B,,CONCURRENT RESOLUTION; PROHIBITION; SCHOOLS; SECRETARY OF STATE; SELECTIVE ADMISSIONS REQUIREMENTS; STUDENT ADMISSIONS,HCR2029 - selective admissions requirements; schools; prohibition,https://apps.azleg.gov/api/Bill/?billNumber=HCR2029&sessionId=128
HCR2030,128,2023_2024_Second_Regular,80397,death penalty writ of execution,,BIASIUCCI,BLISS; CARBONE; DIAZ; GILLETTE; HEAP; JONES; MARSHALL; NGUYEN; PARKER B; SMITH; WILLOUGHBY; WILMETH; ROGERS,CONCURRENT RESOLUTION; DEATH PENALTY; DEATH PENALTY WRIT OF EXECUTION; SECRETARY OF STATE,HCR2030 - death penalty writ of execution,https://apps.azleg.gov/api/Bill/?billNumber=HCR2030&sessionId=128
HCR2031,128,2023_2024_Second_Regular,80387,ratification; equal rights amendment,,SHAH,,CONCURRENT RESOLUTION; CONSTITUTION OF THE UNITED STATES; EQUAL RIGHTS; EQUAL RIGHTS AMENDMENT (ERA); ERA (SEE ALSO: EQUAL RIGHTS AMENDMENT); RATIFICATION; SECRETARY OF STATE,HCR2031 - ratification; equal rights amendment,https://apps.azleg.gov/api/Bill/?billNumber=HCR2031&sessionId=128
HCR2032,128,2023_2024_Second_Regular,80419,voting centers; precinct voting,,JONES,MARSHALL; PARKER B; SMITH; ROGERS; WADSACK,CONCURRENT RESOLUTION; PRECINCT VOTING; PRECINCTS; SECRETARY OF STATE; VOTING CENTERS,HCR2032 - voting centers; precinct voting,https://apps.azleg.gov/api/Bill/?billNumber=HCR2032&sessionId=128
HCR2033,128,2023_2024_Second_Regular,80486,short-term rentals; vacation rentals..,,SCHWIEBERT,AGUILAR; CONTRERAS P; CREWS; DE LOS SANTOS; GUTIERREZ; HERNANDEZ L; LONGDON; ORTIZ; PESHLAKAI; QUIÑONEZ; SANDOVAL; SEAMAN; TERECH; VILLEGAS; HATATHLIE; SUNDARESHAN,CONCURRENT RESOLUTION; SECRETARY OF STATE; SHORT-TERM RENTALS; VACATION RENTALS,HCR2033 - short-term rentals; vacation rentals..,https://apps.azleg.gov/api/Bill/?billNumber=HCR2033&sessionId=128
HCR2034,128,2023_2024_Second_Regular,80460,public utility and corporation commission,,QUIÑONEZ,CREWS; ORTIZ; SCHWIEBERT; SEAMAN; TERECH,ARIZONA PUBLIC UTILITY AND CORPORATION COMMISSION; CONCURRENT RESOLUTION; CONFORMING LEGISLATION; CONSTITUTION OF ARIZONA; CORPORATION COMMISSION; HEADING CHANGE; SECRETARY OF STATE,HCR2034 - public utility and corporation commission,https://apps.azleg.gov/api/Bill/?billNumber=HCR2034&sessionId=128
HCR2035,128,2023_2024_Second_Regular,80483,marijuana; unincorporated areas; reservations; prohibition,,PESHLAKAI,CONTRERAS L; CREWS; GUTIERREZ; HERNANDEZ L; HERNANDEZ M; ORTIZ; QUIÑONEZ; SANDOVAL; SCHWIEBERT; SEAMAN; STAHL HAMILTON; TERECH; TRAVERS; TSOSIE; VILLEGAS; HATATHLIE,CONCURRENT RESOLUTION; MARIJUANA; MARIJUANA TESTING; NONPROFIT MEDICAL MARIJUANA DISPENSARY; PROHIBITION; RESERVATIONS; SECRETARY OF STATE; UNINCORPORATED AREAS,HCR2035 - marijuana; unincorporated areas; reservations; prohibition,https://apps.azleg.gov/api/Bill/?billNumber=HCR2035&sessionId=128
HCR2036,128,2023_2024_Second_Regular,80513,ratification; equal rights amendment.,,CREWS,GUTIERREZ; SEAMAN; TERECH; SUNDARESHAN,CONCURRENT RESOLUTION; CONSTITUTION OF THE UNITED STATES; EQUAL RIGHTS AMENDMENT (ERA); ERA (SEE ALSO: EQUAL RIGHTS AMENDMENT); RATIFICATION; SECRETARY OF STATE,HCR2036 - ratification; equal rights amendment.,https://apps.azleg.gov/api/Bill/?billNumber=HCR2036&sessionId=128
HCR2037,128,2023_2024_Second_Regular,80517,victims of communism day,,TOMA,NGUYEN,CONCURRENT RESOLUTION; VICTIMS OF COMMUNISM,HCR2037 - victims of communism day,https://apps.azleg.gov/api/Bill/?billNumber=HCR2037&sessionId=128
HCR2038,128,2023_2024_Second_Regular,80643,drug cartels; terrorist organizations,,MONTENEGRO,BIASIUCCI; BLISS; CARBONE; CARTER; CHAPLIK; COOK; DIAZ; DUNN; GILLETTE; GRANTHAM; GRESS; GRIFFIN; HEAP; HENDRIX; JONES; KOLODIN; LIVINGSTON; MARSHALL; MARTINEZ; MCGARR; NGUYEN; PARKER B; PARKER J; PAYNE; PEÑA; PINGERELLI; SMITH; TOMA; WILLOUGHBY; WILMETH; BENNETT; BOLICK; BORRELLI; CARROLL; FARNSWORTH; GOWAN; HOFFMAN; KAVANAGH; KERN; KERR; MESNARD; PETERSEN; ROGERS; SHAMP; SHOPE; WADSACK,ARIZONA DEPARTMENT OF HOMELAND SECURITY (AZDOHS); AZDOHS (SEE ALSO: ARIZONA DEPARTMENT OF HOMELAND SECURITY); CONCURRENT RESOLUTION; DRUG CARTELS; SECRETARY OF STATE; TERRORIST ORGANIZATIONS,HCR2038 - drug cartels; terrorist organizations,https://apps.azleg.gov/api/Bill/?billNumber=HCR2038&sessionId=128
HCR2039,128,2023_2024_Second_Regular,80665,balanced budget; deficit; special session,,GRESS,,APPROPRIATION; BALANCED BUDGET; CONCURRENT RESOLUTION; CONSTITUTION OF ARIZONA; DEFICIT; SECRETARY OF STATE; SPECIAL SESSION; STATE BUDGETS,HCR2039 - balanced budget; deficit; special session,https://apps.azleg.gov/api/Bill/?billNumber=HCR2039&sessionId=128
HCR2040,128,2023_2024_Second_Regular,80669,public monies; prohibited expenditures,,SMITH,BIASIUCCI; CARBONE; CARTER; CHAPLIK; DIAZ; DUNN; GILLETTE; GRIFFIN; HEAP; HENDRIX; JONES; MARSHALL; MARTINEZ; MCGARR; MONTENEGRO; PARKER B; PARKER J; PAYNE; HOFFMAN; WADSACK,CONCURRENT RESOLUTION; PROHIBITED EXPENDITURES; PUBLIC MONIES; SECRETARY OF STATE,HCR2040 - public monies; prohibited expenditures,https://apps.azleg.gov/api/Bill/?billNumber=HCR2040&sessionId=128
HCR2041,128,2023_2024_Second_Regular,80670,state retirement systems; digital assets.,,SMITH,BIASIUCCI; CARBONE; CARTER; CHAPLIK; DUNN; GILLETTE; GRESS; HEAP; HENDRIX; JONES; KOLODIN; MARSHALL; MARTINEZ; MONTENEGRO; PARKER B; PAYNE; WADSACK,ARIZONA STATE RETIREMENT SYSTEM (ASRS); ASRS (SEE ALSO: ARIZONA STATE RETIREMENT SYSTEM); CONCURRENT RESOLUTION; DIGITAL ASSETS; PSPRS (SEE ALSO: PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM); PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM (PSPRS); STATE RETIREMENT SYSTEMS,HCR2041 - state retirement systems; digital assets.,https://apps.azleg.gov/api/Bill/?billNumber=HCR2041&sessionId=128
HCR2042,128,2023_2024_Second_Regular,80845,sex trafficking; minors; natural life,,BLISS,BIASIUCCI; CARBONE; CARTER; CHAPLIK; COOK; DIAZ; DUNN; GILLETTE; GRANTHAM; GRESS; GRIFFIN; HEAP; HENDRIX; JONES; LIVINGSTON; MARSHALL; MARTINEZ; MCGARR; MONTENEGRO; NGUYEN; PARKER B; PARKER J; PAYNE; PEÑA; PINGERELLI; SMITH; TOMA; WILLOUGHBY; WILMETH,CONCURRENT RESOLUTION; FELONY; MINORS; NATURAL LIFE; SECRETARY OF STATE; SENTENCING; SEX TRAFFICKING,HCR2042 - sex trafficking; minors; natural life,https://apps.azleg.gov/api/Bill/?billNumber=HCR2042&sessionId=128
HCR2043,128,2023_2024_Second_Regular,80862,expenditure limitation; school districts,,PAWLIK,AGUILAR; CONTRERAS P; DE LOS SANTOS; GUTIERREZ; HERNANDEZ A; HERNANDEZ C; LONGDON; QUIÑONEZ; SANDOVAL; SCHWIEBERT; SEAMAN; TERECH; TRAVERS; VILLEGAS; BRAVO,CONCURRENT RESOLUTION; CONSTITUTION OF ARIZONA; EXPENDITURE LIMITATION; SCHOOL DISTRICTS; SECRETARY OF STATE,HCR2043 - expenditure limitation; school districts,https://apps.azleg.gov/api/Bill/?billNumber=HCR2043&sessionId=128
HCR2044,128,2023_2024_Second_Regular,81014,trust land; distribution; inflation adjustments.,,SCHWIEBERT,,CONCURRENT RESOLUTION; CONSTITUTION OF ARIZONA; DISTRIBUTION; INFLATION ADJUSTMENT; NONSEVERABILITY; SCHOOL FINANCE; SECRETARY OF STATE; TRUST LAND,HCR2044 - trust land; distribution; inflation adjustments.,https://apps.azleg.gov/api/Bill/?billNumber=HCR2044&sessionId=128
HCR2045,128,2023_2024_Second_Regular,81318,illegal aliens; money transfers; tax,,GILLETTE,BIASIUCCI; BLISS; HEAP; HENDRIX; LIVINGSTON; NGUYEN; PAYNE; SMITH; WILLOUGHBY,ADMINISTRATION; CONCURRENT RESOLUTION; DISPOSITION OF REVENUE; ILLEGAL ALIENS; LEVY OF TAX; MONEY TRANSFERS; SECRETARY OF STATE; TAX; WIRE TRANSFERS OF MONEY,HCR2045 - illegal aliens; money transfers; tax,https://apps.azleg.gov/api/Bill/?billNumber=HCR2045&sessionId=128
HCR2046,128,2023_2024_Second_Regular,81319,Dr. Geraldine Peten; death resolution,,CREWS,AGUILAR; AUSTIN; BLATTMAN; CONTRERAS L; CONTRERAS P; COOK; DE LOS SANTOS; GUTIERREZ; HERNANDEZ A; HERNANDEZ C; HERNANDEZ L; MATHIS; PAWLIK; PESHLAKAI; QUIÑONEZ; SANDOVAL; SCHWIEBERT; SEAMAN; STAHL HAMILTON; SUN; TERECH; TRAVERS; TSOSIE; VILLEGAS; WILMETH,CONCURRENT RESOLUTION; DEATH RESOLUTION; DR. GERALDINE PETEN,HCR2046 - Dr. Geraldine Peten; death resolution,https://apps.azleg.gov/api/Bill/?billNumber=HCR2046&sessionId=128
HCR2047,128,2023_2024_Second_Regular,81331,state land trust; permanent funds.,,GRESS,,CONCURRENT RESOLUTION; CONSTITUTION OF ARIZONA; PERMANENT FUNDS; SCHOOL LANDS; SECRETARY OF STATE; STATE LAND TRUST; STATE LANDS,HCR2047 - state land trust; permanent funds.,https://apps.azleg.gov/api/Bill/?billNumber=HCR2047&sessionId=128
HCR2048,128,2023_2024_Second_Regular,81332,schools; teacher salary increases; reporting.,,SMITH,,CONCURRENT RESOLUTION; REPORTING; SCHOOL EMPLOYEES; SCHOOLS; SECRETARY OF STATE; TEACHER PAY FUND; TEACHER SALARY INCREASES; TEACHERS,HCR2048 - schools; teacher salary increases; reporting.,https://apps.azleg.gov/api/Bill/?billNumber=HCR2048&sessionId=128
HCR2049,128,2023_2024_Second_Regular,81352,ballot measures; challenges.,,CARTER,,BALLOT MEASURES; CHALLENGES; CONCURRENT RESOLUTION; CONSTITUTION OF ARIZONA; SECRETARY OF STATE,HCR2049 - ballot measures; challenges.,https://apps.azleg.gov/api/Bill/?billNumber=HCR2049&sessionId=128
