bill_id,term,session,title,session_orig,commem
SB9124,2023_2024,2023-RS,This is a test bill.  SB9124 - 2023 session.  Please Disregard.,2023-RS,0
SB9125,2023_2024,2023-RS,This is a test bill.  SB9125 - 2023 session.  Please Disregard.,2023-RS,0
SB9126,2023_2024,2023-RS,This is a test bill.  SB9126 - 2023 session.  Please Disregard.,2023-RS,0
SB9127,2023_2024,2023-RS,This is a test bill.  SB9127- 2023 session.  Please Disregard.,2023-RS,0
SB9128,2023_2024,2023-RS,This is a test bill.  SB9128 - 2023 session.  Please Disregard.,2023-RS,0
SB9129,2023_2024,2023-RS,This is a test bill.  SB9129 - 2023 session.  Please Disregard.,2023-RS,0
SB9130,2023_2024,2023-RS,This is a test bill.  SB9130 - 2023 session.  Please Disregard.,2023-RS,0
SB9131,2023_2024,2023-RS,This is a test bill.  SB9131 - 2023 session.  Please Disregard.,2023-RS,0
SB9132,2023_2024,2023-RS,This is a test bill.  SB9132 - 2023 session.  Please Disregard.,2023-RS,0
SB9133,2023_2024,2023-RS,This is a test bill.  SB9133 - 2023 session.  Please Disregard.,2023-RS,0
SB9134,2023_2024,2023-RS,"Health care; creating the Millstone Act of 2023; prohibiting provision of or referral for gender transition procedures; providing for criminal, administrative, and civil enforcement. Emergency.",2023-RS,0
SB9135,2023_2024,2023-RS,This is a test bill.  SB9135 - 2023 session.  Please Disregard.,2023-RS,0
SB9136,2023_2024,2023-RS,This is a test bill.  SB9136 - 2023 session.  Please Disregard.,2023-RS,0
SB9137,2023_2024,2023-RS,This is a test bill.  SB9137 - 2023 session.  Please Disregard.,2023-RS,0
HB1001,2023_2024,2023-SS1,Appropriations and Budget; Public Finance Act of 2023; effective date.,2023-SS1,0
HB1002,2023_2024,2023-SS1,Legacy Capital Financing Act; creating the Legacy Capital Financing Fund; placing with the Capitol Improvement Authority; limiting uses; recapitalization payments; schedule; emergency.,2023-SS1,0
HB1003,2023_2024,2023-SS1,Appropriations and Budget; Budget Implementation Act of 2023; effective date.,2023-SS1,0
HB1004,2023_2024,2023-SS1,General appropriations; effective date.,2023-SS1,0
HB1005,2023_2024,2023-SS1,Tribal-State agreements; enacting law to offer supplemental compact terms to affirm and extend existing agreements pertaining to motor vehicle registration and licensing; severability.,2023-SS1,0
HB1006,2023_2024,2023-SS1,"Department of Agriculture, Food, and Forestry; requiring that portions of certain funds be utilized for certain purposes; limitations and procedures; lapse of funds under certain conditions.",2023-SS1,0
HB1007,2023_2024,2023-SS1,Oklahoma Department of Commerce; requiring portions of certain funds be utilized for certain purposes; limitations and procedures; lapse of funds under certain conditions.,2023-SS1,0
HB1008,2023_2024,2023-SS1,Revenue and taxation; additional homestead exemption; modifying certain qualifying income amount; effective date.,2023-SS1,0
HB1009,2023_2024,2023-SS1,Legacy Capital Financing Fund; Historical society facilities; debt authorization; repealer; effective date; emergency.,2023-SS1,0
HB1010,2023_2024,2023-SS1,Appropriations and Budget; creating the Budget Implementation Act of 2023; effective date.,2023-SS1,0
HB1011,2023_2024,2023-SS1,Legacy Capital Financing Fund; Office of Management and Enterprise Services; authorizing certain distributions; repealer; effective date; emergency.,2023-SS1,0
HB1012,2023_2024,2023-SS1,Legacy Capital Financing Fund; Department of Public Safety; recapitalization payments; distributions.,2023-SS1,0
HB1013,2023_2024,2023-SS1,Legacy Capital Financing Fund; Oklahoma State University Veterinary Medicine Authority; recapitalization payments; distributions.,2023-SS1,0
HB1014,2023_2024,2023-SS1,Legacy Capital Financing Fund; Oklahoma Department of Libraries; recapitalization payments; distributions.,2023-SS1,0
HB1015,2023_2024,2023-SS1,Appropriations and Budget; Budget Implementation Act of 2023; effective date.,2023-SS1,0
HB1016,2023_2024,2023-SS1,Appropriations and Budget; Budget Implementation Act of 2023; effective date.,2023-SS1,0
HB1017,2023_2024,2023-SS1,Department of Emergency Management and Homeland Security; creating the Emergency Relief and Impacts Grant Program; establishing Emergency Relief and Impacts Revolving Fund; emergency.,2023-SS1,0
HB1018,2023_2024,2023-SS1,Oklahoma Center for the Advancement of Science and Technology; making appropriations; source; amount; purpose; compliance; reports; requiring appearance before certain joint committee; emergency.,2023-SS1,0
HB1019,2023_2024,2023-SS1,Oklahoma Department of Commerce; making appropriation to certain revolving fund; source; amount; requiring and limiting expenditure for certain purposes; emergency.,2023-SS1,0
HB1020,2023_2024,2023-SS1,Department of Emergency Management and Homeland Security; making an appropriation; source; amount; creating certain special account; reports; appearance before certain joint committee; emergency.,2023-SS1,0
HB1021,2023_2024,2023-SS1,Appropriations and Budget; creating the Budget Implementation Act of 2023; effective date.,2023-SS1,0
HB1022,2023_2024,2023-SS1,Courts; creating the Office of Judicial Performance Evaluation; purpose; creating Board of Judicial Performance Evaluation; effective date.,2023-SS1,0
HB1023,2023_2024,2023-SS1,Department of Environmental Quality; conditions for sale of certain building and appurtenance; office relocation; lease-purchase agreements; dismantling of certain appurtenances.,2023-SS1,0
HB1024,2023_2024,2023-SS1,Fees; jurors' fees; increasing jurors' fees for attendance; effective date.,2023-SS1,0
HB1025,2023_2024,2023-SS1,Transportation; Rural Economic Transportation Reliability and Optimization Fund; modifying population limitation; effective date.,2023-SS1,0
HB1026,2023_2024,2023-SS1,State government; salaries of statewide elected officials; limiting certain salary amounts to certain time period; effective date.,2023-SS1,0
HB1027,2023_2024,2023-SS1,State government; Personnel Act; longevity payments; leave benefits; increasing accumulation limits; authorizing option for payment of certain leave; effective date; emergency.,2023-SS1,0
HB1028,2023_2024,2023-SS1,Administrative Workers' Compensation Act; costs; distribution of certain funds; limiting period of certain distribution; return; effective date; emergency.,2023-SS1,0
HB1029,2023_2024,2023-SS1,Revenue and taxation; creating the Caring for Caregivers Act; creating family caregiver tax credit; credit caps; authorizing Tax Commission to promulgate rules; effective date.,2023-SS1,0
HB1030,2023_2024,2023-SS1,Oklahoma Center for the Advancement of Science and Technology; creating the Accelerator Program; establishing the Accelerator Revolving Fund; effective date; emergency.,2023-SS1,0
HB1031,2023_2024,2023-SS1,Rural housing; creating the Oklahoma Housing Stability Program; creating various programs and revolving funds; effective date; emergency.,2023-SS1,0
HB1032,2023_2024,2023-SS1,Legacy Capital Financing Fund; authorizing certain amount for certain purpose benefiting the Council on Law Enforcement Education and Training.,2023-SS1,0
HB1033,2023_2024,2023-SS1,State property; creating the Jim Thorpe Repair Expenditure Oversight Committee; allowing funds to be expended for certain projects; makeup of committee; requiring Office of Management and Enterprise Services to implement the plan; emergency.,2023-SS1,0
HB1034,2023_2024,2023-SS1,Public finance; creating the Public Finance Act of 2023; effective date.,2023-SS1,0
HB1035,2023_2024,2023-SS1,Public finance; creating the Public Finance Act of 2023; effective date.,2023-SS1,0
HB1036,2023_2024,2023-SS1,Public finance; creating the Public Finance Act of 2023; effective date.,2023-SS1,0
HB1037,2023_2024,2023-SS1,Public finance; creating the Public Finance Act of 2023; effective date.,2023-SS1,0
HB1038,2023_2024,2023-SS1,Department of Commerce; making an appropriation; source; specifying amount.,2023-SS1,0
HB1039,2023_2024,2023-SS1,Revenue and taxation; franchise tax; removing levy of tax after certain year; effective date; emergency.,2023-SS1,0
HB1040,2023_2024,2023-SS1,Revenue and taxation; income tax; modifying certain dollar amount for income tax liability computation; joint filing; effective date.,2023-SS1,0
HB1041,2023_2024,2023-SS1,Public finance; Oklahoma Public Finance Policy Act of 2023; effective date.,2023-SS1,0
HB1042,2023_2024,2023-SS1,Public finance; Oklahoma Public Finance Policy Act of 2023; effective date.,2023-SS1,0
HB1043,2023_2024,2023-SS1,Public finance; Oklahoma Public Finance Policy Act of 2023; effective date.,2023-SS1,0
HB1044,2023_2024,2023-SS1,Public finance; Oklahoma Public Finance Policy Act of 2023; effective date.,2023-SS1,0
HB1045,2023_2024,2023-SS1,Public finance; Oklahoma Public Finance Policy Act of 2023; effective date.,2023-SS1,0
HB1046,2023_2024,2023-SS1,Public finance; Oklahoma Public Finance Policy Act of 2023; effective date.,2023-SS1,0
HB1047,2023_2024,2023-SS1,Public finance; Oklahoma Public Finance Policy Act of 2023; effective date.,2023-SS1,0
HB1048,2023_2024,2023-SS1,Public finance; Oklahoma Public Finance Policy Act of 2023; effective date.,2023-SS1,0
HB1049,2023_2024,2023-SS1,Public finance; Oklahoma Public Finance Policy Act of 2023; effective date.,2023-SS1,0
HB1050,2023_2024,2023-SS1,Public finance; Oklahoma Public Finance Policy Act of 2023; effective date.,2023-SS1,0
SB0001,2023_2024,2023-SS1,Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,2023-SS1,0
SB0002,2023_2024,2023-SS1,Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,2023-SS1,0
SB0003,2023_2024,2023-SS1,Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,2023-SS1,0
SB0004,2023_2024,2023-SS1,Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,2023-SS1,0
SB0005,2023_2024,2023-SS1,Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,2023-SS1,0
SB0006,2023_2024,2023-SS1,Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,2023-SS1,0
SB0007,2023_2024,2023-SS1,Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,2023-SS1,0
SB0008,2023_2024,2023-SS1,Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,2023-SS1,0
SB0009,2023_2024,2023-SS1,Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,2023-SS1,0
SB0010,2023_2024,2023-SS1,Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,2023-SS1,0
SB0011,2023_2024,2023-SS1,Oklahoma Tourism and Recreation Department; transferring duties of the Executive Director to the Commission; removing authority of Governor to appoint Director. Effective date.,2023-SS1,0
SB0012,2023_2024,2023-SS1,Mental health; creating the Mental Health Transport Revolving Fund; modifying procedures and requirements for transport of persons requiring treatment. Effective date.,2023-SS1,0
SB0013,2023_2024,2023-SS1,Quality Jobs Program; modifying term of incentive payments for certain industry. Effective date.,2023-SS1,0
SB0014,2023_2024,2023-SS1,Tourism Development Act; modifying required term of agreement; modifying annual limit. Effective date.,2023-SS1,0
SB0015,2023_2024,2023-SS1,Controlled Dangerous Substances; increasing certain registration fee. Emergency.,2023-SS1,0
SB0016,2023_2024,2023-SS1,Paid leave for employees; providing certain state employees to receive paid maternity leave; providing protections for certain employees. Effective date.,2023-SS1,0
SB0017,2023_2024,2023-SS1,Revenue and Taxation; railroad rehabilitation tax credits; modifying taxable year references. Effective date.,2023-SS1,0
SB0018,2023_2024,2023-SS1,Medical marijuana; modifying the Oklahoma Medical Marijuana Authority Revolving Fund: limiting funding source; creating the Medical Marijuana Tax Fund. Effective date. Emergency.,2023-SS1,0
SB0019,2023_2024,2023-SS1,Legal representation for children and parents; creating the Family Representation and Advocacy Program Revolving Fund; stating purpose; directing disbursement of funds. Effective date.,2023-SS1,0
SB0020,2023_2024,2023-SS1,Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,2023-SS1,0
SB0021,2023_2024,2023-SS1,OMES information technology infrastructure; creating the Oklahoma Employment Security Commission Information Technology Innovation Revolving Fund. Emergency.,2023-SS1,0
SB0022,2023_2024,2023-SS1,Oklahoma Historical Society; creating the Oklahoma Museum of Popular Culture Supplemental Revolving Fund; stating source of funds. Emergency.,2023-SS1,0
SB0023,2023_2024,2023-SS1,Ambulance Service Provider Access Payment Program; relating to supplemental Medicaid reimbursement for ground emergency transportation; deleting certain requirement for reimbursement. Emergency.,2023-SS1,0
SB0024,2023_2024,2023-SS1,Oklahoma State Bureau of Investigation; establishing the Oklahoma State Bureau of Investigation Centennial Revolving Fund; providing purpose. Effective date. Emergency.,2023-SS1,0
SB0025,2023_2024,2023-SS1,Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,2023-SS1,0
SB0026,2023_2024,2023-SS1,Tribal-State agreements; affirming and offering supplemental compact term; enacting law to offer the restoration of compact.,2023-SS1,0
SB0027,2023_2024,2023-SS1,Department of Mental Health and Substance Abuse Services; requiring certain transfer. Effective date. Emergency.,2023-SS1,0
SB0028,2023_2024,2023-SS1,Higher education; authorizing the Oklahoma State Regents for Higher Education to expend certain funds for certain purposes.,2023-SS1,0
SB0029,2023_2024,2023-SS1,Education; modifying required matching ratio for an early childhood pilot program for at-risk children. Effective date. Emergency.,2023-SS1,0
SB0030,2023_2024,2023-SS1,Education; specifying apportionment of certain appropriated funds. Emergency.,2023-SS1,0
SB0031,2023_2024,2023-SS1,Oklahoma Historical Society; providing purpose; directing certain transfer; requiring certain budget procedures.,2023-SS1,0
SB0032,2023_2024,2023-SS1,Oklahoma Health Care Authority; directing Oklahoma Health Care Authority to implement increased payment for certain long-term care and intermediate care facilities for individuals with intellectual disabilities.,2023-SS1,0
SB0033,2023_2024,2023-SS1,Department of Human Services; requiring certain joint approval prior to certain actions; appropriating certain federal funds for certain program; authorizing certain transfers; providing for lapse of funds under certain conditions.,2023-SS1,0
SB0034,2023_2024,2023-SS1,Sales tax exemption; requiring exemption be operative upon certain date; terminating certain calculation. Emergency.,2023-SS1,0
SB0035,2023_2024,2023-SS1,Oklahoma Tourism and Recreation Department; requiring matching funds to be used for certain purpose; and directing amount of funds to be made available.,2023-SS1,0
SB0036,2023_2024,2023-SS1,Education; specifying apportionment of certain appropriated funds. Effective date. Emergency.,2023-SS1,0
SB0037,2023_2024,2023-SS1,Service Oklahoma; transferring and providing duties and responsibilities; directing apportionments. Effective date. Emergency.,2023-SS1,0
SB0038,2023_2024,2023-SS1,Oklahoma State Regents for Higher Education; making an appropriation. Emergency.,2023-SS1,0
SB0039,2023_2024,2023-SS1,Health Care Workforce Training Commission; making an appropriation. Emergency.,2023-SS1,0
SB0040,2023_2024,2023-SS1,Appropriation; making an appropriation to the Department of Human Services. Emergency.,2023-SS1,0
SB0499,2023_2024,2023-SS1,NA,2023-SS1,0
SB9999,2023_2024,2023-SS1,This is test bill SB9999 for 2023 First Special Session.  Please disregard.,2023-SS1,0
HB1001,2023_2024,2023-SS2,Revenue and taxation; Oklahoma Revenue and Taxation Policy Act of 2024; effective date.,2023-SS2,0
HB1002,2023_2024,2023-SS2,Revenue and taxation; Oklahoma Revenue and Taxation Policy Act of 2024; effective date.,2023-SS2,0
HB1003,2023_2024,2023-SS2,Revenue and taxation; Oklahoma Revenue and Taxation Policy Act of 2024; effective date.,2023-SS2,0
HB1004,2023_2024,2023-SS2,Revenue and taxation; Oklahoma Revenue and Taxation Policy Act of 2024; effective date.,2023-SS2,0
HB1005,2023_2024,2023-SS2,Revenue and taxation; Oklahoma Revenue and Taxation Policy Act of 2024; effective date.,2023-SS2,0
HB1006,2023_2024,2023-SS2,"Revenue and taxation, income tax, retirement income, exceptions, emergency.",2023-SS2,0
HB1007,2023_2024,2023-SS2,Revenue and taxation; individual income tax; rates; taxable years; emergency.,2023-SS2,0
HB1008,2023_2024,2023-SS2,Revenue and taxation; individual income tax; rates; reductions; corporate income tax rates; reductions; effective date.,2023-SS2,0
HB1009,2023_2024,2023-SS2,Revenue and taxation; sales tax; exemption; grocery items; emergency.,2023-SS2,0
HB1010,2023_2024,2023-SS2,Revenue and taxation; earned income tax credit; credit amount; emergency.,2023-SS2,0
HB1011,2023_2024,2023-SS2,Public finance; 2023 Inflation Relief Fund.,2023-SS2,0
HB1012,2023_2024,2023-SS2,2023 Inflation Relief Fund; appropriation.,2023-SS2,0
HB1013,2023_2024,2023-SS2,Revenue and taxation; sales tax relief; credit amount; scale; income qualification; emergency.,2023-SS2,0
HB1014,2023_2024,2023-SS2,Revenue and taxation; Oklahoma Tax Commission; tax information; confidentiality; effective date.,2023-SS2,0
HB1015,2023_2024,2023-SS2,Revenue and taxation; sales tax; motor vehicle excise tax; emergency.,2023-SS2,0
HB1016,2023_2024,2023-SS2,Revenue and taxation; Income Tax Rate Reduction with Economic Prosperity Act of 2024; effective date.,2023-SS2,0
HB1017,2023_2024,2023-SS2,Revenue and taxation; Single Rate for All Income Tax Act of 2024; effective date.,2023-SS2,0
HB1018,2023_2024,2023-SS2,Revenue and taxation; Path to Two and a Half Income Tax Rate Act of 2024; effective date.,2023-SS2,0
SB9998,2023_2024,2023-SS2,This is a test bill for 2023 Second Special Session,2023-SS2,0
HB0043,2023_2024,2024-RS,NA,2024-RS,0
HB1001,2023_2024,2023-RS,Firearms; modifying certain age requirement; emergency.,2024-RS,0
HB1002,2023_2024,2023-RS,Firearms; allowing certain detention or arrest; effective date.,2024-RS,0
HB1003,2023_2024,2023-RS,Motor vehicles; requiring child support payments in certain accidents resulting in death; effective date.,2024-RS,0
HB1004,2023_2024,2023-RS,Professions and occupations; Oklahoma Pawnshop Act; authorizing use of certain processing fees; effective date.,2024-RS,0
HB1005,2023_2024,2023-RS,Jurors; jury service exemption; effective date.,2024-RS,0
HB1006,2023_2024,2023-RS,Schools; requiring students be given excused absences for participating in approved 4-H activities; effective date.,2024-RS,0
HB1007,2023_2024,2023-RS,Controlled dangerous substances; requiring pain management clinics to register with State Board of Medical Licensure and Supervision; prohibiting the dispensation of controlled dangerous substances at pain management clinics; codification; effective date.,2024-RS,0
HB1008,2023_2024,2023-RS,Agriculture; Oklahoma Right to Garden Act of 2023; vegetable gardens; effective date.,2024-RS,0
HB1009,2023_2024,2023-RS,Revenue and taxation; sales tax exemption; veterans; effective date.,2024-RS,0
HB1010,2023_2024,2023-RS,Central Purchasing Act; allowing certain state entities to make certain purchases; documentation; effective date.,2024-RS,0
HB1011,2023_2024,2023-RS,Public health and safety; defining terms; health care professionals; gender transition procedures; referrals; exceptions; public funds; Medicaid program reimbursements; felony penalties; statute of limitations; unprofessional conduct; license revocation; statute of limitations; claims or defenses; civil actions; administrative remedies; attorney fees; Attorney General; codification; effective date.,2024-RS,0
HB1012,2023_2024,2023-RS,State Department of Health; administrative courts; promulgating rules; codification; effective date.,2024-RS,0
HB1013,2023_2024,2023-RS,Health care; Lori Brand Patient Bill of Rights Act of 2023; rights of patients; responsibilities of patients; rights of minors; responsibilities of parents; effective date.,2024-RS,0
HB1014,2023_2024,2023-RS,Medical marijuana; prohibiting medical marijuana dispensaries from being located near places of worship; defining term; effective date.,2024-RS,0
HB1015,2023_2024,2023-RS,Oklahoma Higher Learning Access Program; program eligibility; modifying minimum ACT score for certain students; effective date.,2024-RS,0
HB1016,2023_2024,2023-RS,Oklahoma Route 66 Commission; commission membership; Route 66 Commission Revolving Fund; modifying procedures; emergency.,2024-RS,0
HB1017,2023_2024,2023-RS,Children; Family Representation and Advocacy Act; Family Representation and Advocacy Program; purpose; funds; duties; exception; executive director; authority; Family Representation and Advocacy Program Board; appointment; effective date.,2024-RS,0
HB1018,2023_2024,2023-RS,Children; individualized service plans; services; effective date.,2024-RS,0
HB1019,2023_2024,2023-RS,Central Purchasing Act; sole source acquisition or sole brand acquisition; State Department of Health exemption for certain programs; emergency.,2024-RS,0
HB1020,2023_2024,2023-RS,Crimes and punishments; requiring forfeiture proceedings follow related criminal convictions; effective date.,2024-RS,0
HB1021,2023_2024,2023-RS,Firearms; prohibiting the carry of firearms into certain places; effective date.,2024-RS,0
HB1022,2023_2024,2023-RS,Municipal roads; improvement; repair; maintenance; county commissioners; effective date.,2024-RS,0
HB1023,2023_2024,2023-RS,Property; owners association; solar energy; effective date.,2024-RS,0
HB1024,2023_2024,2023-RS,Criminal procedure; requiring special agents of federal agencies to contact county sheriffs under certain circumstances; codification; effective date.,2024-RS,0
HB1025,2023_2024,2023-RS,Drug tests; DNA tests; effective date.,2024-RS,0
HB1026,2023_2024,2023-RS,Law enforcement training; prohibiting the certification of permanent resident aliens; providing an exception; effective date.,2024-RS,0
HB1027,2023_2024,2023-RS,Amusements and sports; state-tribal gaming; exception; model tribal gaming compact supplement; sports pools; term; fees; procedures; effective date.,2024-RS,0
HB1028,2023_2024,2023-RS,Schools; prohibiting use of corporal punishment on certain students; effective date; emergency.,2024-RS,0
HB1029,2023_2024,2023-RS,Schools; directing the State Department of Education to adopt a form for reporting on student homelessness; effective date.,2024-RS,0
HB1030,2023_2024,2023-RS,Data privacy; Oklahoma Computer Data Privacy Act; consumer protection; civil penalties; effective date.,2024-RS,0
HB1031,2023_2024,2023-RS,Schools; creating the Restoration of Sanity in Education Act; repealer; effective date.,2024-RS,0
HB1032,2023_2024,2023-RS,Children; adjudicative hearings; time frame; exception; effective date.,2024-RS,0
HB1033,2023_2024,2023-RS,Children; adoption; amount; effective date.,2024-RS,0
HB1034,2023_2024,2023-RS,Children; Youth Services Agencies; funds; effective date.,2024-RS,0
HB1035,2023_2024,2023-RS,Schools; providing for excused absences relating to mental health counseling or occupational therapy; effective date; emergency.,2024-RS,0
HB1036,2023_2024,2023-RS,Veterans; creating the Veteran Suicide Prevention Task Force.,2024-RS,0
HB1037,2023_2024,2023-RS,"Schools; requiring annual salary bonuses for school psychologists, speech-language pathologists, and audiologists; effective date.",2024-RS,0
HB1038,2023_2024,2023-RS,Tourism; tourism information centers; adult-sized changing tables; effective date.,2024-RS,0
HB1039,2023_2024,2023-RS,Revenue and taxation; sales tax holiday; school supplies; effective date; emergency.,2024-RS,0
HB1040,2023_2024,2023-RS,School athletics; directing school athletic association to establish a new category of competition; effective date.,2024-RS,0
HB1041,2023_2024,2023-RS,Schools; subject matter standards; authorizing school district to issue alternate diploma to students in the Oklahoma Alternate Assessment Program; effective date; emergency.,2024-RS,0
HB1042,2023_2024,2023-RS,Education; flexible benefits allowance; bus drivers; effective date.,2024-RS,0
HB1043,2023_2024,2023-RS,Child care; payment; child care provider; reimbursement; Department of Human Services; codification; effective date; emergency.,2024-RS,0
HB1044,2023_2024,2023-RS,Professions and occupations; Oklahoma Chiropractic Practice Act; modifying scope of practice; adding supplements that a chiropractor may prescribe or administer; effective date.,2024-RS,0
HB1045,2023_2024,2023-RS,Labor; creating rules for single-use test results; creating rules for conclusive drug testing results; codification; effective date.,2024-RS,0
HB1046,2023_2024,2023-RS,Children; Children and Juvenile Code Act of 2023; effective date.,2024-RS,0
HB1047,2023_2024,2023-RS,Children; relinquishment; abandonment; neglect; age; effective date.,2024-RS,0
HB1048,2023_2024,2023-RS,Children; authorizing court to establish a Minor's Public Guardianship; motion; notice of hearing; visitation; effective date.,2024-RS,0
HB1049,2023_2024,2023-RS,Children; Juvenile Code Policy Act of 2023; effective date.,2024-RS,0
HB1050,2023_2024,2023-RS,Human trafficking and child exploitation; creating the Human Trafficking and Child Exploitation Prevention Act; directing retailers of Internet-enabled devices to equip products with certain filters; codification; effective date.,2024-RS,0
HB1051,2023_2024,2023-RS,"Roads, bridges and ferries; requiring certain information be kept confidential; requiring utilities make certain information available; effective date.",2024-RS,0
HB1052,2023_2024,2023-RS,Cities and towns; Oklahoma Cities and Towns Act of 2023; effective date.,2024-RS,0
HB1053,2023_2024,2023-RS,Cities and towns; Oklahoma Cities and Towns Act of 2023; effective date.,2024-RS,0
HB1054,2023_2024,2023-RS,Cities and towns; Oklahoma Cities and Towns Act of 2023; effective date.,2024-RS,0
HB1055,2023_2024,2023-RS,Cities and towns; Oklahoma Cities and Towns Act of 2023; effective date.,2024-RS,0
HB1056,2023_2024,2023-RS,Children; Children and Juvenile Code Act of 2023; effective date.,2024-RS,0
