"BillType","BillNumber","Sequence","DateAction","Action","Comment","House","ModDate"
"A",213,1,1/9/2024 0:00:00,"INT 1RA REF AHO",,"A",11/20/2023 0:00:00
"A",214,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",215,1,1/9/2024 0:00:00,"INT 1RA REF AHO",,"A",11/20/2023 0:00:00
"A",216,1,1/9/2024 0:00:00,"INT 1RA REF AHO",,"A",11/20/2023 0:00:00
"A",217,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",218,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",220,1,1/9/2024 0:00:00,"INT 1RA REF ATR",,"A",11/20/2023 0:00:00
"A",221,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",222,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",11/20/2023 0:00:00
"A",223,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",224,1,1/9/2024 0:00:00,"INT 1RA REF APS",,"A",1/5/2024 0:00:00
"A",225,1,1/9/2024 0:00:00,"INT 1RA REF AEN",,"A",1/5/2024 0:00:00
"A",226,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",228,1,1/9/2024 0:00:00,"INT 1RA REF AEN",,"A",11/20/2023 0:00:00
"A",229,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",1/5/2024 0:00:00
"A",231,1,1/9/2024 0:00:00,"INT 1RA REF AMV",,"A",11/20/2023 0:00:00
"A",232,1,1/9/2024 0:00:00,"INT 1RA REF AOF",,"A",11/20/2023 0:00:00
"A",234,1,1/9/2024 0:00:00,"INT 1RA REF AHE",,"A",11/20/2023 0:00:00
"A",235,1,1/9/2024 0:00:00,"INT 1RA REF ATU",,"A",11/20/2023 0:00:00
"A",236,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",237,1,1/9/2024 0:00:00,"INT 1RA REF AHE",,"A",11/20/2023 0:00:00
"A",238,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",11/20/2023 0:00:00
"A",239,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",241,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",242,1,1/9/2024 0:00:00,"INT 1RA REF AOF",,"A",11/20/2023 0:00:00
"A",245,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",249,1,1/9/2024 0:00:00,"INT 1RA REF AEN",,"A",11/20/2023 0:00:00
"A",250,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",251,1,1/9/2024 0:00:00,"INT 1RA REF AHO",,"A",11/20/2023 0:00:00
"A",252,1,1/9/2024 0:00:00,"INT 1RA REF AFI",,"A",11/20/2023 0:00:00
"A",253,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",254,1,1/9/2024 0:00:00,"INT 1RA REF APS",,"A",11/20/2023 0:00:00
"A",258,1,1/9/2024 0:00:00,"INT 1RA REF APS",,"A",11/20/2023 0:00:00
"A",259,1,1/9/2024 0:00:00,"INT 1RA REF AHO",,"A",11/20/2023 0:00:00
"A",260,1,1/9/2024 0:00:00,"INT 1RA REF AMV",,"A",11/20/2023 0:00:00
"A",261,1,1/9/2024 0:00:00,"INT 1RA REF AMV",,"A",11/20/2023 0:00:00
"A",262,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",263,1,1/9/2024 0:00:00,"INT 1RA REF AHI",,"A",11/20/2023 0:00:00
"A",264,1,1/9/2024 0:00:00,"INT 1RA REF ATR",,"A",11/20/2023 0:00:00
"A",265,1,1/9/2024 0:00:00,"INT 1RA REF AHU",,"A",11/20/2023 0:00:00
"A",266,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",11/20/2023 0:00:00
"A",267,1,1/9/2024 0:00:00,"INT 1RA REF AHU",,"A",1/5/2024 0:00:00
"A",268,1,1/9/2024 0:00:00,"INT 1RA REF ACW",,"A",1/23/2024 0:00:00
"A",269,1,1/9/2024 0:00:00,"INT 1RA REF APS",,"A",1/5/2024 0:00:00
"A",270,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",271,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",1/5/2024 0:00:00
"A",272,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",1/5/2024 0:00:00
"A",273,1,1/9/2024 0:00:00,"INT 1RA REF AST",,"A",11/20/2023 0:00:00
"A",274,1,1/9/2024 0:00:00,"INT 1RA REF ATR",,"A",11/20/2023 0:00:00
"A",275,1,1/9/2024 0:00:00,"INT 1RA REF ATR",,"A",11/20/2023 0:00:00
"A",276,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",276,2,12/18/2025 0:00:00,"REP/ACA 2RA",,"A",12/18/2025 0:00:00
"A",277,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",278,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",279,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",11/20/2023 0:00:00
"A",280,1,1/9/2024 0:00:00,"INT 1RA REF APS",,"A",11/20/2023 0:00:00
"A",281,1,1/9/2024 0:00:00,"INT 1RA REF ATR",,"A",11/20/2023 0:00:00
"A",282,1,1/9/2024 0:00:00,"INT 1RA REF ALA",,"A",11/20/2023 0:00:00
"A",283,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",1/5/2024 0:00:00
"A",284,1,1/9/2024 0:00:00,"INT 1RA REF AHU",,"A",11/20/2023 0:00:00
"A",285,1,1/9/2024 0:00:00,"INT 1RA REF AMV",,"A",11/20/2023 0:00:00
"A",285,2,9/19/2024 0:00:00,"REP REF AAP",,"A",9/19/2024 0:00:00
"A",286,1,1/9/2024 0:00:00,"INT 1RA REF AMV",,"A",11/20/2023 0:00:00
"A",287,1,1/9/2024 0:00:00,"INT 1RA REF ACW",,"A",1/5/2024 0:00:00
"A",288,1,1/9/2024 0:00:00,"INT 1RA REF ACO",,"A",11/20/2023 0:00:00
"A",289,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",290,1,1/9/2024 0:00:00,"INT 1RA REF ATR",,"A",11/20/2023 0:00:00
"A",291,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",1/5/2024 0:00:00
"A",292,1,1/9/2024 0:00:00,"INT 1RA REF ARP",,"A",11/20/2023 0:00:00
"A",293,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",11/20/2023 0:00:00
"A",294,1,1/9/2024 0:00:00,"INT 1RA REF AHU",,"A",11/20/2023 0:00:00
"A",295,1,1/9/2024 0:00:00,"INT 1RA REF AHU",,"A",11/20/2023 0:00:00
"A",296,1,1/9/2024 0:00:00,"INT 1RA REF ACF",,"A",1/23/2024 0:00:00
"A",297,1,1/9/2024 0:00:00,"INT 1RA REF AHU",,"A",1/5/2024 0:00:00
"A",298,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",299,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",11/20/2023 0:00:00
"A",300,1,1/9/2024 0:00:00,"INT 1RA REF AHE",,"A",11/20/2023 0:00:00
"A",301,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",302,1,1/9/2024 0:00:00,"INT 1RA REF APS",,"A",11/20/2023 0:00:00
"A",303,1,1/9/2024 0:00:00,"INT 1RA REF ATR",,"A",11/20/2023 0:00:00
"A",304,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",1/5/2024 0:00:00
"A",305,1,1/9/2024 0:00:00,"INT 1RA REF AHU",,"A",11/20/2023 0:00:00
"A",306,1,1/9/2024 0:00:00,"INT 1RA REF AHO",,"A",11/20/2023 0:00:00
"A",307,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",11/20/2023 0:00:00
"A",308,1,1/9/2024 0:00:00,"INT 1RA REF AHE",,"A",11/20/2023 0:00:00
"A",309,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",310,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",1/5/2024 0:00:00
"A",311,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",312,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",11/20/2023 0:00:00
"A",313,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",11/20/2023 0:00:00
"A",314,1,1/9/2024 0:00:00,"INT 1RA REF ATR",,"A",11/20/2023 0:00:00
"A",315,1,1/9/2024 0:00:00,"INT 1RA REF AHE",,"A",11/20/2023 0:00:00
"A",316,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",317,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",318,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",11/20/2023 0:00:00
"A",319,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",11/20/2023 0:00:00
"A",320,1,1/9/2024 0:00:00,"INT 1RA REF AMV",,"A",11/20/2023 0:00:00
"A",321,1,1/9/2024 0:00:00,"INT 1RA REF AHE",,"A",11/20/2023 0:00:00
"A",322,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",11/20/2023 0:00:00
"A",323,1,1/9/2024 0:00:00,"INT 1RA REF ATR",,"A",11/20/2023 0:00:00
"A",324,1,1/9/2024 0:00:00,"INT 1RA REF AHI",,"A",11/20/2023 0:00:00
"A",325,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",11/20/2023 0:00:00
"A",326,1,1/9/2024 0:00:00,"INT 1RA REF ATR",,"A",11/20/2023 0:00:00
"A",327,1,1/9/2024 0:00:00,"INT 1RA REF AOF",,"A",11/20/2023 0:00:00
"A",328,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",329,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",330,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",331,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",332,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",333,1,1/9/2024 0:00:00,"INT 1RA REF AHI",,"A",11/20/2023 0:00:00
"A",334,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",335,1,1/9/2024 0:00:00,"INT 1RA REF AEN",,"A",1/5/2024 0:00:00
"A",336,1,1/9/2024 0:00:00,"INT 1RA REF ACW",,"A",1/5/2024 0:00:00
"A",337,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",11/20/2023 0:00:00
"A",338,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",11/20/2023 0:00:00
"A",339,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",340,1,1/9/2024 0:00:00,"INT 1RA REF ALA",,"A",11/20/2023 0:00:00
"A",341,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",11/20/2023 0:00:00
"A",342,1,1/9/2024 0:00:00,"INT 1RA REF APS",,"A",11/20/2023 0:00:00
"A",343,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",11/20/2023 0:00:00
"A",344,1,1/9/2024 0:00:00,"INT 1RA REF AAP",,"A",11/20/2023 0:00:00
"A",345,1,1/9/2024 0:00:00,"INT 1RA REF AHI",,"A",11/20/2023 0:00:00
"A",346,1,1/9/2024 0:00:00,"INT 1RA REF ATR",,"A",11/20/2023 0:00:00
"A",347,1,1/9/2024 0:00:00,"INT 1RA REF AHI",,"A",11/20/2023 0:00:00
"A",348,1,1/9/2024 0:00:00,"INT 1RA REF AHI",,"A",11/20/2023 0:00:00
"A",349,1,1/9/2024 0:00:00,"INT 1RA REF AAP",,"A",11/20/2023 0:00:00
"A",350,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",351,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/20/2023 0:00:00
"A",352,1,1/9/2024 0:00:00,"INT 1RA REF AHI",,"A",11/20/2023 0:00:00
"A",353,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/20/2023 0:00:00
"A",354,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",11/20/2023 0:00:00
"A",355,1,1/9/2024 0:00:00,"INT 1RA REF APS",,"A",1/5/2024 0:00:00
"A",356,1,1/9/2024 0:00:00,"INT 1RA REF AHE",,"A",11/22/2023 0:00:00
"A",357,1,1/9/2024 0:00:00,"INT 1RA REF ATU",,"A",11/22/2023 0:00:00
"A",358,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",11/22/2023 0:00:00
"A",359,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/22/2023 0:00:00
"A",360,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",1/17/2024 0:00:00
"A",360,2,9/12/2024 0:00:00,"REP REF APS",,"A",9/12/2024 0:00:00
"A",361,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",11/22/2023 0:00:00
"A",362,1,1/9/2024 0:00:00,"INT 1RA REF AHU",,"A",1/17/2024 0:00:00
"A",363,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/22/2023 0:00:00
"A",364,1,1/9/2024 0:00:00,"INT 1RA REF AFI",,"A",11/22/2023 0:00:00
"A",365,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",1/17/2024 0:00:00
"A",366,1,1/9/2024 0:00:00,"INT 1RA REF ACO",,"A",11/22/2023 0:00:00
"A",367,1,1/9/2024 0:00:00,"INT 1RA REF AOF",,"A",11/22/2023 0:00:00
"A",368,1,1/9/2024 0:00:00,"INT 1RA REF AHU",,"A",1/5/2024 0:00:00
"A",369,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",11/22/2023 0:00:00
"A",370,1,1/9/2024 0:00:00,"INT 1RA REF AOF",,"A",11/22/2023 0:00:00
"A",371,1,1/9/2024 0:00:00,"INT 1RA REF ASL",,"A",11/22/2023 0:00:00
"A",372,1,1/9/2024 0:00:00,"INT 1RA REF AHI",,"A",1/18/2024 0:00:00
"A",373,1,1/9/2024 0:00:00,"INT 1RA REF AFI",,"A",11/22/2023 0:00:00
"A",374,1,1/9/2024 0:00:00,"INT 1RA REF AHU",,"A",1/5/2024 0:00:00
"A",375,1,1/9/2024 0:00:00,"INT 1RA REF AJU",,"A",11/22/2023 0:00:00
"A",375,2,5/15/2025 0:00:00,"TRANS ARP",,"A",5/15/2025 0:00:00
"A",375,3,5/15/2025 0:00:00,"NOT REP/ACS ARP",,"A",5/15/2025 0:00:00
"A",376,1,1/9/2024 0:00:00,"INT 1RA REF AHO",,"A",11/22/2023 0:00:00
"A",377,1,1/9/2024 0:00:00,"INT 1RA REF AED",,"A",11/22/2023 0:00:00
"A",378,1,1/9/2024 0:00:00,"INT 1RA REF AFI",,"A",11/22/2023 0:00:00
"A",378,2,2/22/2024 0:00:00,"REP/ACS 2RA",,"A",2/22/2024 0:00:00
"A",378,3,3/18/2024 0:00:00,"PA","(77-0-0)","A",3/18/2024 0:00:00
"A",378,4,4/11/2024 0:00:00,"R/S REF SCM",,"S",4/11/2024 0:00:00
"A",379,1,1/9/2024 0:00:00,"INT 1RA REF AOF",,"A",11/22/2023 0:00:00
"A",380,1,1/9/2024 0:00:00,"INT 1RA REF ACE",,"A",1/5/2024 0:00:00
"A",381,1,1/9/2024 0:00:00,"INT 1RA REF AFI",,"A",11/22/2023 0:00:00
"A",382,1,1/9/2024 0:00:00,"INT 1RA REF AFI",,"A",11/22/2023 0:00:00
"A",383,1,1/9/2024 0:00:00,"INT 1RA REF APS",,"A",11/22/2023 0:00:00
