bill_number,session,title,status,primary_sponsors,intro_date,effective_date,chapter_num,companion,summary
A-0119,2024_2025,"Labor & Workforce Devel.-allocates $50M from fed. govt assistance, improve unemp",ALA,"Guardian, Donald A.",2024-01-09,,,,Allocates $50 million to Department of Labor and Workforce Development from federal government assistance to improve unemployment insurance benefit claims processing capacity.
A-0120,2024_2025,"Unemployment & Temp Disability Insurance, Division-direct State Auditor to audit",ALA,"Guardian, Donald A.",2024-01-09,,,,Directs State Auditor to audit Division of Unemployment and Temporary Disability Insurance in DOLWD.
A-0121,2024_2025,Transportation projects between AC Airport & Tourism Dist.-auth. CRDA to finance,WAPP,"Guardian, Donald A.",2024-01-09,,,S-0151,Authorizes CRDA to finance transportation projects between Atlantic City Airport and Atlantic City Tourism District.
A-0122,2024_2025,"Programs, State-requires establishment of central database on official website",ASL,"Guardian, Donald A.",2024-01-09,,,,Requires establishment of central database of State programs on official website.
A-0123,2024_2025,Disabled veterans total property tax exemption-req. partial State reimbursement,AMV,"Guardian, Donald A.",2024-01-09,,,,Requires partial State reimbursement to municipalities for cost of disabled veterans' total property tax exemption.
A-0124,2024_2025,"Classroom supply purch.-allow income tax deduction up to $1200, unreimb expenses",AED,"Guardian, Donald A.; Morales, Carmen Theresa",2024-01-09,,,S-0953,"Allows gross income tax deduction for up to $1,200 of unreimbursed expenses incurred by eligible educators for purchase of classroom supplies."
A-0125,2024_2025,"9-1-1 PSAP County Grants, annual-establishes",APS,"Guardian, Donald A.",2024-01-09,,,,Establishes annual 9-1-1 PSAP County Grants.
A-0126,2024_2025,Family leave-provides for employee to attend certain events of child of employee,ALA,"Guardian, Donald A.; Drulis, Mitchelle",2024-01-09,,,S-0172,Provides family leave for employee to attend certain events of child of employee; establishes tax credits for employer that provide full paid family leave benefits.
A-0127,2024_2025,"Employment in positions involving children, State-concerns requirements",ASL,"Guardian, Donald A.",2024-01-09,,,S-0628,Requires State employer to ascertain child abuse or sexual misconduct in employment applications for certain positions involving children; requires background checks for current and prospective employees.
A-0128,2024_2025,"School supplies-allows tax deduction up to $1,200, purchases by parent/guardian",ACE,"Guardian, Donald A.; Morales, Carmen Theresa",2024-01-09,,,,"Allows gross income tax deduction of up to $1,200 for purchases of school supplies by parents and guardians."
A-0129,2024_2025,"Animal cruelty violations-establish procedures for seizure, care, and foreiture",ACE,"Guardian, Donald A.; Calabrese, Clinton; Dunn, Aura K.",2024-01-09,,,,"Establishes procedures for seizure, care, and forfeiture of animals involved in animal cruelty violations."
A-0130,2024_2025,Rural Business Development Program-establishes in EDA;$35M,ACE,"Guardian, Donald A.",2024-01-09,,,,"Establishes ""Rural Business Development Program"" in EDA; appropriates $35 million to EDA from federal funds."
A-0131,2024_2025,Military service-auth. free hunting/fishing lic & free admission to St. parks,ACE,"Guardian, Donald A.",2024-01-09,,,,"Authorizes free hunting, fishing, and trapping licenses and free admission to State parks and forests for disabled veterans and individuals with certain types of military service."
A-0132,2024_2025,"River's Law-animal abuse, value of animal's life, second degree crime",ACE,"Guardian, Donald A.",2024-01-09,,,S-1656,"Establishes certain animal abuse offenses committed in manner manifesting extreme indifference to value of animal's life as crime of second degree; designated as ""River's Law."""
A-0133,2024_2025,"ATV Law Enforce. Task Force-estab., enhance & coordinate efforts to enforce laws",APS,"Guardian, Donald A.; Spearman, William W.",2024-01-09,,,S-0175,"Establishes ""ATV Law Enforcement Task Force"" to enhance and coordinate efforts to enforce laws pertaining to ATVs; appropriates $1 million."
A-0134,2024_2025,"Nuclear Energy Apprenticeship, Training, & Employment Resources Pilot Prog-estab",ALA,"Guardian, Donald A.",2024-01-09,,,S-1615,"Establishes Nuclear Energy Apprenticeship, Training, and Employment Resources Pilot Program in DOLWD; appropriates $1 million."
A-0135,2024_2025,Summer Earn & Learn Pilot Program-estab.; concerns access to suppl learning asst,AED,"Guardian, Donald A.",2024-01-09,,,S-2207,"Establishes ""Summer Earn and Learn Pilot Program."""
A-0136,2024_2025,Rural Broadband Infrastructure Grant Program-establish;$2.5M in federal funds,ATU,"Guardian, Donald A.",2024-01-09,,,S-0732,Establishes Rural Broadband Infrastructure Grant Program in EDA; appropriates $2.5 million in federal funds.
A-0137,2024_2025,County Tourism Incentive Grant Fund-establishes,ATG,"Guardian, Donald A.",2024-01-09,,,S-0159,"Establishes ""County Tourism Incentive Grant Fund"" within Department of Treasury to provide funding for grants to counties to support tourism advertising and promotion."
A-0138,2024_2025,Behavioral health court pilot program-creates,AJU,"Guardian, Donald A.",2024-01-09,,,S-0193,Creates behavioral health court pilot program.
A-0139,2024_2025,"Local health agency, cert employees-repeals law, transfer to superseding agency",ASL,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,,Repeals sections of law pertaining to transfer of civil service and non-civil service employees of terminated local health agency to superseding agency.
A-0140,2024_2025,Affordable housing need/fee-proh imposition upon local transfer or business move,ACW,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-0492,Prohibits the imposition of affordable housing need and related fees upon the local transfer or move of a business.
A-0141,2024_2025,Freshwater fishing/hunting/trapping-Fish/Game Council sole authority to regulate,AEN,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-1839,"Clarifies that Fish and Game Council has sole authority to regulate freshwater fishing, hunting, and trapping."
A-0142,2024_2025,School district's budget proposal-restricts Ed. Commissioner authority to reject,AED,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-1841,Restricts Commissioner of Education's authority to reject school district's budget proposal.
A-0143,2024_2025,Milk dealer license application-Agriculture Department prov electronic submittal,ACE,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-1842,Requires Dept. of Agriculture to provide for electronic submittal of milk dealer license applications.
A-0144,2024_2025,Water quality management structures-exempts from real property taxation,ATU,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,,"Exempts certain water quality management structures, funded by certain federal and State grants, from real property taxation."
A-0146,2024_2025,Highlands planning area-prohibits State departments from considering compliance,AEN,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,,Prohibits State departments and agencies from considering or requiring compliance by Highlands planning area municipalities with Highlands regional master plan in certain circumstances.
A-0147,2024_2025,Highlands Property Tax Stabilization Fund-provides direct property tax relief,AEN,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,,Provides for direct property tax relief from Highlands Property Tax Stabilization Fund.
A-0148,2024_2025,Farm income averaging credit-permits under the NJ gross income tax,ACE,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-0640,Permits farm income averaging credit under the New Jersey gross income tax.
A-0150,2024_2025,Public officers and employees w/limited historic exceptions-elim State resid req,ASL,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-1669,Eliminates requirement for State residency for public officers and employees with limited historic exceptions.
A-0151,2024_2025,School districts in all counties-requires miminum geographic cost adjustment,AED,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,,Requires minimum geographic cost adjustment for school districts in all counties.
A-0152,2024_2025,Emissions-prohibits State's participation in multi-state cap-and-trade prog.,AEN,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,,Prohibits State's participation in multi-state cap-and-trade program to reduce carbon emissions from transportation sector.
A-0153,2024_2025,Volunteer emergency service org.-exempts from charitable contrib filing fees,APS,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-0863,Exempts certain volunteer emergency service organizations from charitable contribution filing fees.
A-0155,2024_2025,State school aid calculation-incl. value of tax exempt prop. from tax valuation,AED,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,,Includes value of certain properties exempt from taxation in valuation used to calculate State school aid in SDA districts.
A-0156,2024_2025,Civil Service-eliminates seniority for reductions in force,ASL,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,,Eliminates seniority in Civil Service and other jurisdictions for reductions in force in certain circumstances.
A-0157,2024_2025,School purposes property taxes-prohibits exemption,ASL,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,,"Prohibits exemption of school purposes property taxes under ""Long Term Tax Exemption Law."""
A-0158,2024_2025,Overcrowding-authorize additional fines having violated occupancy requirements,AHO,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,,Authorizes imposition of additional fines for overcrowding.
A-0159,2024_2025,Sanctuary city-prohibits municipal ordinance to create,AOF,"Fantasia, Dawn; Inganamort, Michael; Kanitra, Paul",2024-01-09,,,S-2560,Prohibits municipal ordinance to create sanctuary city; establishes State and local employee ethics violation upon noncompliance with federal immigration enforcement request.
A-0160,2024_2025,Honeybee hives-proh. Dept. of Agriculture from regulating min prop size required,ACE,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,,Prohibits Dept. of Agriculture from regulating minimum property size required per number of honeybee hives.
A-0161,2024_2025,Sport & recreational activity-add rock climbing in law concerning landowner liab,AJU,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,,"Adds rock climbing, bouldering, and ice climbing to definition of ""sport and recreational activities"" in law concerning landowner liability."
A-0162,2024_2025,Bear spray-allows possession under certain conditions,AEN,"Fantasia, Dawn; Inganamort, Michael; Dunn, Aura K.",2024-01-09,,,S-0824,Allows possession of bear spray under certain conditions.
A-0163,2024_2025,Motor vehicle registration fees-exempts public higher education institutions,AHI,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-1846,Exempts public institutions of higher education from motor vehicle registration fee.
A-0164,2024_2025,Jobs Protection Act-verification of employment required,ALA,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-1847,"""New Jersey Jobs Protection Act""; requires verification of employment."
A-0165,2024_2025,"Plant species, endangered in NJ-concerns",AEN,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,,Concerns endangered plant species in NJ.
A-0166,2024_2025,Farmer mentoring program-Department of Agricultural develop & implement,ACE,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,,Directs Dept. of Agriculture to develop and implement beginning farmer mentoring program in cooperation with certain agricultural and educational organizations and entities.
A-0168,2024_2025,COVID-19 response in NJ-establish bipartisan task force to study,AHE,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-1849,Establishes bipartisan task force to study response to COVID-19 in New Jersey.
A-0169,2024_2025,Incarcerated individual-prohibits payment of temporary disability benefits,ALA,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,,Prohibits payment of temporary disability benefits to incarcerated individuals.
A-0170,2024_2025,Emerg. mgmt. depts-expands authority requesting asst outside normal jurisdiction,APS,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-1853,Expands authority of emergency management departments in requesting assistance outside normal territorial jurisdictions.
A-0172,2024_2025,School Safety & Security Act-establishes penalties for criminal acts on sch prop,AED,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-1673,"The ""School Safety and Security Act""; establishes penalties for certain criminal acts committed on school property."
A-0173,2024_2025,Work First NJ program benefits-provide drug testing of adult recipients,AHU,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,,Provides for drug testing of adult recipients of Work First New Jersey program benefits.
A-0175,2024_2025,"First responders-medical testing required, when exposed to bloodborne pathogens",AHE,"Fantasia, Dawn; Inganamort, Michael; Matsikoudis, Michele",2024-01-09,,,,Requires medical testing for certain persons in circumstances when first responders may be exposed to bloodborne pathogens.
A-0176,2024_2025,Firearm display-clarifies licensed dealers provide at fund raising events,AJU,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,,Clarifies that licensed dealers may provide firearms for display at fund raising events sponsored by certain tax exempt organizations.
A-0177,2024_2025,"Anti-choking devices, portable-require in schools",AED,"Fantasia, Dawn; Inganamort, Michael; Morales, Carmen Theresa",2024-01-09,,,S-0908,Requires portable anti-choking devices be placed in schools.
A-0180,2024_2025,Social media websites-proh. selectively suspending candidate for elective office,ACO,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,,Prohibits social media websites from selectively suspending candidates for elective office and creates private right of action for users whose political or religious speech has been deleted.
A-0181,2024_2025,Cemetery companies-estab minimum dollar amount required in Maintenance/Preserv,ARP,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-1869,"Establishes minimum dollar amount required in Maintenance and Preservation Funds of cemetery companies established before December 1, 1971."
A-0182,2024_2025,Horseback riding permit-prohibits DEP from requiring person under 16 to obtain,AEN,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-2910,Prohibits DEP from requiring person under 16 years of age to obtain horseback riding permit to ride in State wildlife management areas.
A-0183,2024_2025,Fossil fuel-powered kitchen appliances-prohibit rules and regulations of use,AEN,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-0425,Prohibits adoption of State and local rules that prohibit use of fossil fuel-powered kitchen appliances.
A-0184,2024_2025,Deer-authorizes Sunday firearm and bow hunting on certain lands,AEN,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-1858,Authorizes Sunday firearm and bow hunting for deer on certain lands.
A-0185,2024_2025,"Lake Hopatcong-DEP evaluate sewer svc; tax deduction, septic system maintenance",AEN,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,,Requires DEP to evaluate extending sewer service in Lake Hopatcong region; allows gross income tax deduction for septic system maintenance under certain circumstances.
A-0186,2024_2025,Local Governmental Process Activities Disclosure Act-establishes,ASL,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,,"Establishes ""Local Governmental Process Activities Disclosure Act."""
A-0187,2024_2025,Core curriculum content standard and Statewide assessment-leg. approval req.,AED,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-1860,Requires legislative approval of changes to core curriculum content standards and Statewide assessments.
A-0188,2024_2025,School bus fuel-exempts petroleum product gross receipts tax and motor fuel tax,AED,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,,Exempts fuel used for operation of certain school buses from petroleum products gross receipts tax and motor fuel tax; clarifies tax treatment of certain dyed fuel thereunder; clarifies determination of taxable estates of certain decedents.
A-0189,2024_2025,School aid-provide that cert districts will not receive reductions in school yr,AED,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,,Provides that certain school districts will not receive State school aid reductions in 2023-2024 school year.
A-0190,2024_2025,Local utilities-exempt from certain reporting requirements,ATU,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-2128,Exempts local utilities from certain reporting requirements.
A-0191,2024_2025,Agricultural or horticultural land and woodlands-ban foreign ownership,ACE,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-1861,Bans foreign ownership of agricultural or horticultural land and agricultural woodlands in State.
A-0192,2024_2025,"Election admin expenses-proh use of private funds; estab crime/penal, violations",ASL,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-1863,Prohibits use of private funds and personnel in governmental offices and procedures pertaining to administration of elections; establishes crimes and penalties for violations.
A-0193,2024_2025,Main Street Economic Growth Program-establish to encourage business devel,ACE,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-1435,Establishes Main Street Economic Growth Program to encourage business development in certain small municipalities.
A-0195,2024_2025,"Firearm-related background check, cert-concerns; domestic viol restraining order",AJU,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-1864,Establishes priority for certain firearm-related background checks when applicant has obtained domestic violence restraining order.
A-0196,2024_2025,"Baby products, certain-exempts sales from sales and use tax",ACF,"Fantasia, Dawn; Inganamort, Michael",2024-01-09,,,S-1865,Exempts sales of certain baby products from sales and use tax.
A-0197,2024_2025,"Real property interests, conservation purposes-prov gross income tax deduction",AAP,"Fantasia, Dawn; Inganamort, Michael; Kennedy, James J.",2024-01-09,,,S-3287,Provides gross income tax deduction for amounts paid to taxpayers for sale of certain real property interests for conservation purposes.
A-0198,2024_2025,Human trafficking-expands crime to include individuals who benefit financially,AAP,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,S-1989,Enhances criminal penalties for persons involved in certain human trafficking activities.*
A-0199,2024_2025,Pension and Health Benefits Review Commission-expands scope of review,ASL,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,S-1835,Expands scope of review of Pension and Health Benefits Review Commission.
A-0200,2024_2025,"Realty transfer fee, supplemental-eliminates transfers on commercial real estate",ACW,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,Eliminates supplemental realty transfer fee and one percent fee on transfers of certain commercial real estate and tax on sale of controlling interests in certain commercial real property.
A-0201,2024_2025,"DEP lands for fishing, hunting and trapping purposes-provide for no net loss",AEN,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,S-1838,"Provides for no net loss of DEP lands for fishing, hunting, and trapping purposes."
A-0202,2024_2025,"Judge, municipal court-provides appointment at local or county level",AJU,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,Provides for appointment of certain municipal court judges at the local or county level.
A-0203,2024_2025,"Firearm or weapon, legally transported-clarify definition, necessary deviation",AJU,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,Clarifies definition of reasonably necessary deviation when legally transporting firearm or weapon in motor vehicle.
A-0206,2024_2025,Farming operations-prohibits harassment of farmers engaged,ACE,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,Prohibits harassment of farmers engaged in farming operations.
A-0207,2024_2025,Driver's licenses and non-driver ID card applicants-conduct wanted person check,ATR,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,"Requires Chief Administrator of MVC to conduct wanted person check of all applicants for licenses, permits, and identification cards."
A-0208,2024_2025,Mandated Health Benefits Advisory Commission-study finan impact of mandated benf,AFI,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,S-1675,Requires Mandated Health Benefits Advisory Commission to study financial impact of all enacted mandated health benefits.
A-0209,2024_2025,Pub. util. & cable television companies-relocate facilities for trans infra proj,ATU,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,Requires public utilities and cable television companies to accommodate and relocate facilities when necessary for transportation infrastructure projects at direction of DOT.
A-0210,2024_2025,Law enforcement officer impersonation-crime and guilty of third degree crime,APS,"Inganamort, Michael; Fantasia, Dawn; Guardian, Donald A.",2024-01-09,,,,Provides that person who impersonates law enforcement officer and commits crime is guilty of third degree crime.
A-0211,2024_2025,Municipal long term tax exemption-limits w/school districts receiving St sch aid,ASL,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,Limits long term tax exemptions in municipalities with school districts receiving certain State school aid.
A-0212,2024_2025,Military installations preservation-in case of closure;$350K,AMV,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,"Makes General Fund supplemental appropriation of $350,000 to DMVA for Council on Armed Forces and Veterans' Affairs for preservation of military installations in case of base realignment and closure."
A-0213,2024_2025,Affordable housing rules-exempts contaminated and industrially-zoned sites,AHO,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,S-1844,Exempts contaminated and industrially-zoned sites from affordable housing rules.
A-0214,2024_2025,Local unit insurance funds-expands eligibility to join,ASL,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,Expands range of local units eligible to join an insurance fund established by a municipality or county under certain circumstances.
A-0215,2024_2025,"Affordable housing units-make available, preferential basis to cert elig persons",AHO,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,"Authorizes municipalities that petition for or receive substantive certification pursuant to the ""Fair Housing Act"" to make certain affordable housing units available on a preferential basis to certain eligible persons."
A-0216,2024_2025,Share housing obligation w/affordable housing credit-transfer fund to Trust Fund,AHO,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,"Provides municipality with affordable housing credit toward its municipal fair share housing obligation for funds transferred to the New Jersey Affordable Housing Trust Fund pursuant to P.L.2008, c.46."
A-0217,2024_2025,Property Assessment Appeal Transparency Act-revises content,ASL,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,"""Property Assessment Appeal Transparency Act""; revises content of required annual notification of real property assessment."
A-0218,2024_2025,Civil Service Commission Chair-clarify duties & responsibilities of chairperson,ASL,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,Replaces references to Civil Service Commission with chairperson of commission to clarify duties and responsibilities of chairperson.
A-0220,2024_2025,Rock fall mitigation projects-prohibit DOT from taking certain action,ATR,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,Prohibits DOT from taking certain action on certain rock fall mitigation projects and requires DOT to conduct analysis on project alternatives.
A-0221,2024_2025,Property tax relief programs-include notice in St. personal income tax materials,ASL,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,Requires State personal income tax materials to include notice of certain property tax relief programs.
A-0222,2024_2025,"Law enforcement officer, retired-eliminates age restriction to carry handguns",AJU,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,S-0405,Eliminates age restriction for issuing special permits to carry handgun to retired law enforcement officers.
A-0223,2024_2025,Division of Elections-transfer to Department of Law & Public Safety,ASL,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,S-1878,Transfers Division of Elections from Department of State to Department of Law and Public Safety; designates Attorney General as chief election official and requires two bipartisan co-directors.
A-0224,2024_2025,"Immigrants, detention or deportation-prohibits State funding to assist",APS,"Fantasia, Dawn",2024-01-09,,,S-2965,Prohibits State funding to assist immigrants facing detention or deportation.
A-0225,2024_2025,Hunting licenses-reduces residency requirement from 6 months to 60 days,AEN,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,Reduces residency requirement for resident hunting licenses from six months to 60 days.
A-0226,2024_2025,"Sch dist, Type II-hold Nov sch election to receive voter approval of base budget",AED,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,S-1845,Requires Type II school district without board of school estimate holding its school election in November to receive voter approval of base budget.
A-0228,2024_2025,Idling motor vehicles-permitted on residential property,AEN,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,Permits idling of motor vehicles on residential property.
A-0229,2024_2025,"Farmland assess, forested lands/woodlands-production USDA desig specialty crops",ACE,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,Authorizes farmland assessment for forested lands and woodlands devoted to the production of USDA designated specialty crops; exempts such lands from woodland management plan requirement.
A-0231,2024_2025,Marine Corps Scholarship Foundation-authorizes creation of license plates,AMV,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,Authorizes creation of Marine Corps Scholarship Foundation license plates.
A-0232,2024_2025,Admin. Procedure Act-concerns socio-economic impact statements for rule-making,AOF,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,S-1850,"Revises ""Administrative Procedure Act"" concerning socio-economic impact statements for proposed rule-making."
A-0234,2024_2025,Epinephrine auto-injector device-permit correction/firefighter/police administer,AHE,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,S-1854,"Permits corrections officers, firefighters, and police officers to administer epinephrine auto-injector device."
A-0235,2024_2025,"Electric public utilities-establish toll-free number, report damaged equipment",ATU,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,S-1855,Requires electric public utilities to establish toll-free telephone number to be used by public for reporting damaged equipment and dangerous vegetation.
A-0236,2024_2025,School busing-extends limit for nonpublic school to 30 miles,AED,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,"Extends limit for nonpublic school busing to 30 miles in Atlantic, Burlington, Cape May, Cumberland, Gloucester, Hunterdon, Ocean, Salem, Sussex, and Warren Counties, and requires existing bus stops to be used."
A-0237,2024_2025,Electronic benefit cards-restrict use by cash assistance recipients,AHE,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,Restricts use of electronic benefit cards by cash assistance recipients.
A-0238,2024_2025,Municipal courts-grants discretion to assess court costs for certain dismissals,AJU,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,Grants municipal courts discretion to assess court costs for certain dismissals.
A-0239,2024_2025,Labor organization work-specifies conditions grant paid leave to public employee,ASL,"Inganamort, Michael; Fantasia, Dawn",2024-01-09,,,,"Specifies conditions under which State, county, municipality, independent authority, school district, or higher education institution can grant unpaid or paid leave of absence to public employee to perform work for labor organization."
