"bill_id","session","session_type","primary_sponsor","cosponsors","outchamber_sponsors","status","summary","bill_url","LES_sponsor","term","bill_type","SS","commem","state","introduced","action_in_comm","action_beyond_comm","passed_chamber","law"
"AB0014","RS","RS","Tittl","Pronschinske; Edming; Murphy; Mursau; Rozar; Tusler; Wichgers","Jacque","S - Agriculture and Tourism","An Act to create subchapter XI of chapter 218 [precedes 218.60] of the statutes;  Relating to: repair and replacement of implements of husbandry under warranty.","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab14","tittl","2023_2024","AB",0,0,"WI",1,1,1,1,0
"AB0015","RS","RS","Tittl","Sortwell; Allen; Binsfeld; Goeben; Green; Gundrum; Magnafici; Murphy; Penterman; Schraa; Tusler; Wichgers; Bodden","Jacque; Quinn; Tomczyk","A - Education","An Act to amend 119.04 (1); and to create 43.75 and 118.073 of the statutes;  Relating to: pupil or minor access to harmful material in public libraries and to harmful material or offensive material in public schools. (FE)","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab15","tittl","2023_2024","AB",0,0,"WI",1,1,0,0,0
"AB0016","RS","RS","Tittl","Allen; Armstrong; Dittrich; Donovan; Edming; Mursau; Ortiz-Velez; Rozar; Sapik; Spiros; Subeck; Tusler","James; Ballweg; Cowles; Marklein; Roys; Spreitzer; Wanggaard","A - Tabled","An Act to create 301.32 (1m) of the statutes;  Relating to: the value of tangible personal property allowed in state correctional facilities.","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab16","tittl","2023_2024","AB",0,0,"WI",1,1,1,0,0
"AB0017","RS","RS","Tittl","Goyke; C. Anderson; J. Anderson; Andraca; Baldeh; Bare; Billings; Cabrera; Clancy; Conley; Considine; Doyle; Emerson; Haywood; Hong; Joers; Krug; Madison; Moore Omokunde; Mursau; Novak; Ohnstad; Ortiz-Velez; Riemer; Rozar; Schraa; Shelton; Sinicki; Snodgrass; Snyder; Spiros; Subeck; Vining; Wichgers; Shankland; Jacobson","Jacque; Spreitzer; Cabral-Guevara; Carpenter; Felzkowski; Hesselbein; James; Roys; Taylor; Wirch","A - Judiciary","An Act to amend 20.455 (2) (em) (title), 165.95 (title), 165.95 (2), 165.95 (3) (a), 165.95 (3) (d), 165.95 (3) (e), 165.95 (3) (g), 165.95 (3) (h), 165.95 (3) (j), 165.95 (5) (a), 302.43, 967.11 (1), 967.11 (2) and 973.155 (1m); and to create 165.95 (1) (ae) of the statutes;  Relating to: expanding the treatment alternatives and diversion programs. (FE)","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab17","tittl","2023_2024","AB",0,0,"WI",1,1,0,0,0
"AB0018","RS","RS","Tittl","Penterman; Baldeh; Knodl; Murphy; Mursau; Myers; Rozar; Schraa; Spiros; Tusler; VanderMeer; Wichgers","Jacque; Ballweg; Cabral-Guevara; Quinn; Wanggaard","A - State Affairs","An Act to amend 40.22 (1), 40.22 (2m) (intro.), 40.22 (2r) (intro.) and 40.22 (3) (intro.); and to create 40.26 (7) of the statutes;  Relating to: rehired teacher annuitants. (FE)","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab18","tittl","2023_2024","AB",0,0,"WI",1,1,0,0,0
"AB0019","RS","RS","Tittl","Wittke; J. Anderson; Bare; Baldeh; Cabrera; Clancy; Conley; Duchow; Gundrum; Haywood; Madison; Magnafici; Mursau; O'Connor; Ortiz-Velez; Riemer; Rozar; Sinicki; Spiros; Subeck; Summerfield; Tusler; Vining","Wanggaard; Carpenter; Cabral-Guevara; Hesselbein; James; Spreitzer; Taylor; Tomczyk","S - Finance","An Act to create 15.197 (20), 20.435 (1) (cd) and 255.45 of the statutes;  Relating to: spinal cord injury research grants and symposia and making an appropriation. (FE)","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab19","tittl","2023_2024","AB",0,0,"WI",1,1,1,1,0
"AB0020","RS","RS","Murphy","Allen; Baldeh; Behnke; Bodden; Brandtjen; Edming; Gustafson; Mursau; Rettinger; Tittl; Tusler; Wichgers","Jacque; Ballweg; Carpenter; Nass","A - Ways and Means","An Act to amend 77.54 (30) (a) 2. of the statutes;  Relating to: the sales and use tax exemption for electricity and natural gas sold for residential use. (FE)","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab20","murphy","2023_2024","AB",0,0,"WI",1,1,0,0,0
"AB0021","RS","RS","Bodden","Armstrong; Behnke; Binsfeld; Brandtjen; Brooks; Donovan; Edming; Gundrum; Gustafson; Kitchens; Murphy; Mursau; Penterman; Plumer; Rettinger; Schraa; Schutt; Tittl; Tusler; Wichgers","Jacque; Cabral-Guevara; Felzkowski; Feyen; Marklein; Nass; Quinn; Stafsholt; Tomczyk","A - Campaigns and Elections","An Act to amend 6.275 (1) (f), 6.32 (4), 6.33 (4), 6.33 (5) (a) 1., 6.36 (1) (d), 6.36 (1) (e), 6.47 (6), 6.47 (7) (b), 6.48 (1) (d), 6.48 (2) (b), 6.50 (2), 6.50 (2g), 6.50 (2r) (g), 6.50 (3), 6.50 (4), 6.50 (5), 6.50 (6), 6.50 (7), 6.50 (10), 6.56 (3), 6.56 (4) and 7.23 (1) (c) of the statutes;  Relating to: removing ineligible voters from the official voter registration list. (FE)","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab21","bodden","2023_2024","AB",0,0,"WI",1,1,0,0,0
"AB0022","RS","RS","Rodriguez","VanderMeer; Brooks; Kitchens; Knodl; Moses; Mursau; O'Connor; Penterman; Rettinger; Rozar; Schraa; Tittl; Wittke","Stroebel; Cowles; Felzkowski; Marklein","A - State Affairs","An Act to amend 16.855 (9m) (b) 1. a. of the statutes;  Relating to: qualified bidders on state projects. (FE)","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab22","rodriguez","2023_2024","AB",0,0,"WI",1,1,0,0,0
"AB0023","RS","RS","Plumer","Dallman; C. Anderson; Armstrong; Kitchens; Mursau; Myers; Novak; Penterman; Rozar; Schutt; Jacobson","Ballweg; Cowles; Marklein; Smith; Spreitzer; Taylor","A - Rules","An Act to repeal 41.11 (5), 41.12 (3) and 41.24 (3); and to amend 41.11 (1) (h) of the statutes;  Relating to: modifying the Department of Tourism's reporting duties and repealing requirements to distribute cheese, submit a financial statement, and use famous residents in marketing.","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab23","plumer","2023_2024","AB",0,0,"WI",1,1,1,0,0
"AB0024","RS","RS","Krug","Allen; Cabrera; Gundrum; Mursau; Myers; Ortiz-Velez; Rettinger; Schraa; Sinicki; Subeck; Tittl; Wichgers; Jacobson; Haywood","Jacque; Spreitzer","A - Rules","An Act to create 118.07 (6) of the statutes;  Relating to: posting the child abuse and neglect reporting hotline in school buildings. (FE)","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab24","krug","2023_2024","AB",0,0,"WI",1,1,1,0,0
"AB0025","RS","RS","Krug","Armstrong; Kitchens; Murphy; Mursau; Wichgers","Jacque","A - Agriculture","An Act to renumber 94.64 (1) (a); to amend 94.64 (3m) (a) (intro.), 94.64 (3m) (a) 1., 94.64 (9) (c), 94.65 (4) (a) (intro.) and 94.65 (4) (b); and to create 94.64 (1) (ag), 94.64 (1) (u), 94.64 (2) (f), 94.64 (3m) (a) 3., 94.65 (1) (bm), 94.65 (1) (fm) and 94.65 (5m) of the statutes;  Relating to: the distribution and labeling of fertilizers and soil or plant additives produced from manure. (FE)","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab25","krug","2023_2024","AB",0,0,"WI",1,1,0,0,0
"AB0026","RS","RS","Kurtz","Sinicki; Zimmerman; Wittke; Tusler; Tittl; Subeck; Stubbs; Spiros; Shankland; Rozar; Riemer; Ratcliff; Petryk; Petersen; Ortiz-Velez; Ohnstad; Novak; Mursau; Knodl; Kitchens; Joers; Haywood; Gustafson; Emerson; Edming; Donovan; Considine; Conley; Cabrera; Brandtjen; Billings; Baldeh; Armstrong; Andraca; C. Anderson; Jacobson","Cowles; Hesselbein; Wirch; Wanggaard; Taylor; Stafsholt; Spreitzer; Pfaff; Larson; James; Feyen; Carpenter","A - Rules","An Act to create 20.855 (4) (bg) of the statutes;  Relating to:  the University of Wisconsin Missing-in-Action Recovery and Identification Project and making an appropriation. (FE)","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab26","kurtz","2023_2024","AB",0,0,"WI",1,1,1,0,0
"AB0027","RS","RS","Tusler","Rettinger; Mursau; Behnke; Cabrera","Wanggaard; Ballweg; Wimberger","A - Tabled","An Act to repeal 887.015 (2) (e); and to amend 887.015 (title), 887.015 (1), 887.015 (2) (b), 887.015 (2) (f), 887.015 (3) and 887.015 (6) of the statutes;  Relating to: the Uniform Unsworn Declarations Act.","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab27","tusler","2023_2024","AB",0,0,"WI",1,1,1,0,0
"AB0028","RS","RS","Born","Allen; C. Anderson; Armstrong; Behnke; Brooks; Callahan; Dittrich; Donovan; Edming; Emerson; Green; Gustafson; Joers; Kitchens; Krug; Macco; Magnafici; Moses; Murphy; Mursau; Nedweski; Novak; O'Connor; Penterman; Petryk; Plumer; Ratcliff; Rodriguez; Rozar; Schraa; Shankland; Snyder; Sortwell; Spiros; Steffen; Subeck; Summerfield; Tranel; Tusler; VanderMeer; Wittke; Zimmerman; Jacobson","Marklein; Ballweg; Feyen; Jacque; Jagler; James; L. Johnson; Smith; Spreitzer","A - Enacted into Law","An Act to renumber and amend 40.05 (2) (ar); to amend 40.02 (27), 40.02 (48) (b) 3., 40.02 (48) (c), 40.05 (1) (b) 1., 40.23 (3) (a), 40.28 (1) (a) 2. and 40.73 (1) (am) 3.; and to create 40.02 (17) (n), 40.02 (48) (am) 23., 40.02 (48) (b) 5., 40.05 (1) (a) 7., 40.05 (1) (b) 1a., 40.05 (2) (ap), 40.05 (2) (ar) 2., 40.23 (3) (c), 40.65 (4w), 59.52 (8m) and 111.70 (4) (bn) of the statutes;  Relating to: classifying county jailers as protective occupation participants under the Wisconsin Retirement System and the treatment of county jailers under the Municipal Employment Relations Act. (FE)","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab28","born","2023_2024","AB",0,0,"WI",1,1,1,1,1
"AB0029","RS","RS","Sortwell","Schraa; Allen; Armstrong; Behnke; Bodden; Brooks; Gustafson; Moses; Murphy; Mursau; Penterman; Petersen; Rettinger; Tittl; Tusler","Stroebel; Cabral-Guevara; Felzkowski; Feyen; Nass; Quinn; Spreitzer","A - Enacted into Law","An Act to create 77.54 (70) of the statutes;  Relating to: a sales and use tax exemption for precious metal bullion. (FE)","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab29","sortwell","2023_2024","AB",0,0,"WI",1,1,1,1,1
"AB0030","RS","RS","Wichgers","Myers; Bare; Behnke; Cabrera; Drake; Sinicki; Subeck; Donovan","Jacque; Taylor","A - Forestry, Parks and Outdoor Recreation","An Act to amend 27.01 (9) (bn) (title); and to create 27.01 (9) (bg) of the statutes;  Relating to: fee waivers for state park vehicle admission receipts to pupils with Every Kid Outdoors passes. (FE)","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab30","wichgers","2023_2024","AB",0,0,"WI",1,1,0,0,0
"AB0031","RS","RS","Brooks","Knodl; Armstrong; Brandtjen; Gundrum; Murphy; O'Connor; Rettinger; Steffen","Jacque; Nass; Stroebel","A - Finance","An Act to create 16.475 of the statutes;  Relating to: preparing an additional executive budget bill or bills according to generally accepted accounting principles. (FE)","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab31","brooks","2023_2024","AB",0,0,"WI",1,1,0,0,0
"AB0032","RS","RS","Tittl","Behnke; Edming; Green; Mursau; Steffen; VanderMeer","James","A - Ways and Means","An Act to create 71.05 (6) (b) 57., 71.53 (2) (g) and 71.77 (9) of the statutes;  Relating to: creating an individual income tax deduction for certain income earned by an individual from the practice of psychiatry or from providing psychiatric or mental health services. (FE)","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab32","tittl","2023_2024","AB",0,0,"WI",1,1,0,0,0
"AB0033","RS","RS","Oldenburg","Pronschinske; Baldeh; Behnke; Donovan; Duchow; Gundrum; Moses; Murphy; Mursau; Sapik; Spiros; VanderMeer; Shankland","James; Ballweg; Carpenter; Feyen; Wanggaard","A - Tabled","An Act to create 341.08 (2) (aj) and 343.177 of the statutes;  Relating to: emergency contact records maintained by the Department of Transportation. (FE)","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab33","oldenburg","2023_2024","AB",0,0,"WI",1,1,1,0,0
"AB0034","RS","RS","Magnafici","Callahan; Brooks; Bodden; Edming; Green; Maxey; Mursau; Moses; Zimmerman; Sapik","Quinn; Tomczyk","A - Veto Sustained","An Act to amend 29.336 (2) (b) and 29.336 (2) (c) of the statutes;  Relating to: restrictions on baiting deer in counties based on chronic wasting disease or bovine tuberculosis.","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab34","magnafici","2023_2024","AB",0,0,"WI",1,1,1,1,0
"AB0035","RS","RS","Mursau","Edming; Andraca; Behnke; Donovan; Kitchens; Knodl; Magnafici; Maxey; Ohnstad; Rozar; Sinicki; Spiros; Subeck; Tusler; Jacobson","James; Cowles; Felzkowski; Marklein; Taylor","A - Tabled","An Act to amend 29.197 (3) of the statutes;  Relating to: modifying the designation of a free fishing weekend in January.","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab35","mursau","2023_2024","AB",0,0,"WI",1,1,1,0,0
"AB0036","RS","RS","Steffen","Allen; Armstrong; Brooks; Cabrera; Donovan; Green; Gundrum; Gustafson; Kitchens; Knodl; Macco; Moses; Murphy; Mursau; Novak; O'Connor; Penterman; Rettinger; Subeck; Tittl; Tusler","James; Ballweg; Cowles; Quinn; Spreitzer; Taylor","A - Enacted into Law","An Act to consolidate, renumber and amend 165.775 (4) (intro.) and (b); to amend 165.775 (3) (b) and 165.775 (4) (a); and to create 165.775 (4) (b) 2. and 3. of the statutes;  Relating to: a time limit for processing sexual assault kits. (FE)","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab36","steffen","2023_2024","AB",0,0,"WI",1,1,1,1,1
"AB0037","RS","RS","Steffen","Tittl; Goyke; C. Anderson; Andraca; Armstrong; Baldeh; Bare; Billings; Brooks; Cabrera; Clancy; Conley; Considine; Donovan; Doyle; Drake; Edming; Emerson; Gundrum; Gustafson; Haywood; Hong; Joers; Kitchens; Krug; Macco; Madison; McGuire; Moore Omokunde; Moses; Mursau; Myers; Novak; O'Connor; Ohnstad; Ortiz-Velez; Ratcliff; Riemer; Rozar; Schmidt; Schraa; Shankland; Shelton; Sinicki; Snodgrass; Snyder; Sortwell; Stubbs; Subeck; Vining; Zimmerman; Jacobson","Cabral-Guevara; Wimberger; Roys; Felzkowski; James; L. Johnson; Larson; Spreitzer; Taylor; Wanggaard; Wirch","S - Judiciary and Public Safety","An Act to renumber 111.335 (3) (a); to renumber and amend 973.015 (1m) (a) 1.; to amend 111.335 (4) (b), 111.335 (4) (c) 1. (intro.), 111.335 (4) (e), 111.335 (4) (f) 1., 950.04 (1v) (g), 973.015 (1m) (a) 3. a., 973.015 (1m) (b) and 973.25 (1) (a); and to create 111.335 (3) (ag), 111.335 (3) (g), 973.015 (1b), 973.015 (1m) (a) 1. a. and b., 973.015 (1m) (a) 3. c., cg., cr. and d. and 4., 973.015 (1m) (c) and 973.015 (4) of the statutes;  Relating to: expungement of records of certain crimes and discrimination based on expunged conviction. (FE)","https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab37","steffen","2023_2024","AB",0,0,"WI",1,1,1,1,0
