bill_num,ga_num,session,chamber,action_date,action,order,vote_url
HB1007,94th General Assembly,"Regular Session, 2023",House,2023-03-08,Amendment No. 2 read and adopted and the bill ordered engrossed.,9,
HB1007,94th General Assembly,"Regular Session, 2023",House,2023-03-08,Placed on second reading for the purpose of amendment.,8,
HB1007,94th General Assembly,"Regular Session, 2023",House,2023-03-07,Returned by the Committee with the recommendation that it do pass as amended 2,7,
HB1007,94th General Assembly,"Regular Session, 2023",House,2023-02-14,REPORTED CORRECTLY ENGROSSED,6,
HB1007,94th General Assembly,"Regular Session, 2023",House,2023-02-14,Amendment No. 1 read and adopted and the bill ordered engrossed.,5,
HB1007,94th General Assembly,"Regular Session, 2023",House,2023-02-14,Placed on second reading for the purpose of amendment.,4,
HB1007,94th General Assembly,"Regular Session, 2023",House,2023-01-09,"Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE",3,
HB1007,94th General Assembly,"Regular Session, 2023",House,2022-11-18,Filed,2,
HB1008,94th General Assembly,"Regular Session, 2023",House,2023-03-30,Notification that HB1008 is now Act 393,19,
HB1008,94th General Assembly,"Regular Session, 2023",House,2023-03-28,Correctly enrolled and ordered transmitted to the Governor's Office.,18,
HB1008,94th General Assembly,"Regular Session, 2023",House,2023-03-27,TO BE ENROLLED,17,
HB1008,94th General Assembly,"Regular Session, 2023",House,2023-03-27,Senate amendment # 1 read and concurred in.,16,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1008&rcs=618&chamber=House&ddBienniumSession=2023%2F2023R
HB1008,94th General Assembly,"Regular Session, 2023",House,2023-03-16,"Returned From  Senate as passed, as amended # 1",15,
HB1008,94th General Assembly,"Regular Session, 2023",Senate,2023-03-16,"Returned To the House as passed, as amended # 1",14,
HB1008,94th General Assembly,"Regular Session, 2023",Senate,2023-03-16,Read the third time and passed.,13,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1008&rcs=557&chamber=Senate&ddBienniumSession=2023%2F2023R
HB1008,94th General Assembly,"Regular Session, 2023",Senate,2023-03-15,REPORTED CORRECTLY ENGROSSED,12,
HB1008,94th General Assembly,"Regular Session, 2023",Senate,2023-03-15,"Amendment # 1 read the first time, rules suspended, read the second time and adopted, ordered engrossed.",11,
HB1008,94th General Assembly,"Regular Session, 2023",Senate,2023-03-15,Placed on second reading for purpose of amendment.,10,
HB1008,94th General Assembly,"Regular Session, 2023",Senate,2023-03-15,Rules suspended.,9,
HB1008,94th General Assembly,"Regular Session, 2023",Senate,2023-03-15,"Returned by the Committee with the recommendation that it Do Pass as amended, Amendment # 1",8,
HB1008,94th General Assembly,"Regular Session, 2023",Senate,2023-03-08,"Read first time, rules suspended, read second time, referred to PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE - SENATE",7,
HB1008,94th General Assembly,"Regular Session, 2023",Senate,2023-03-08,Received from the House.,6,
HB1008,94th General Assembly,"Regular Session, 2023",House,2023-03-08,Read the third time and passed and ordered transmitted to the Senate.,5,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1008&rcs=456&chamber=House&ddBienniumSession=2023%2F2023R
HB1008,94th General Assembly,"Regular Session, 2023",House,2023-03-07,Returned by the Committee Do Pass,4,
HB1008,94th General Assembly,"Regular Session, 2023",House,2023-01-09,"Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE",3,
HB1008,94th General Assembly,"Regular Session, 2023",House,2022-11-18,Filed,2,
HB1009,94th General Assembly,"Regular Session, 2023",House,2023-04-10,Notification that HB1009 is now Act 484,18,
HB1009,94th General Assembly,"Regular Session, 2023",House,2023-04-05,Correctly enrolled and ordered transmitted to the Governor's Office.,17,
HB1009,94th General Assembly,"Regular Session, 2023",House,2023-04-04,TO BE ENROLLED,16,
HB1009,94th General Assembly,"Regular Session, 2023",House,2023-04-04,Returned From  the Senate as passed.,15,
HB1009,94th General Assembly,"Regular Session, 2023",Senate,2023-04-04,Returned to the House as Passed.,14,
HB1009,94th General Assembly,"Regular Session, 2023",Senate,2023-04-04,Read the third time and passed.,13,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1009&rcs=814&chamber=Senate&ddBienniumSession=2023%2F2023R
HB1009,94th General Assembly,"Regular Session, 2023",Senate,2023-03-30,"Returned by the Committee, with the recommendation that it Do Pass",12,
HB1009,94th General Assembly,"Regular Session, 2023",Senate,2023-03-16,"HB1009 was referred to Committee on PUBLIC HEALTH, WELFARE AND LABOR - SENATE",11,
HB1009,94th General Assembly,"Regular Session, 2023",Senate,2023-02-06,"Read the first time, rules suspended, and read the second time. Objection to referring to committee.",10,
HB1009,94th General Assembly,"Regular Session, 2023",Senate,2023-02-06,Received from the House.,9,
HB1009,94th General Assembly,"Regular Session, 2023",House,2023-02-06,Read the third time and passed and ordered transmitted to the Senate.,8,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1009&rcs=134&chamber=House&ddBienniumSession=2023%2F2023R
HB1009,94th General Assembly,"Regular Session, 2023",House,2023-02-02,Returned by the Committee Do Pass,7,
HB1009,94th General Assembly,"Regular Session, 2023",House,2023-01-23,REPORTED CORRECTLY ENGROSSED,6,
HB1009,94th General Assembly,"Regular Session, 2023",House,2023-01-23,Amendment No. 1 read and adopted and the bill ordered engrossed.,5,
HB1009,94th General Assembly,"Regular Session, 2023",House,2023-01-23,Placed on second reading for the purpose of amendment.,4,
HB1009,94th General Assembly,"Regular Session, 2023",House,2023-01-09,"Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE",3,
HB1009,94th General Assembly,"Regular Session, 2023",House,2022-11-18,Filed,2,
HB1010,94th General Assembly,"Regular Session, 2023",House,2023-05-01,Died in House Committee at Sine Die Adjournment,4,
HB1010,94th General Assembly,"Regular Session, 2023",House,2023-01-09,"Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE",3,
HB1010,94th General Assembly,"Regular Session, 2023",House,2022-11-18,Filed,2,
HB1011,94th General Assembly,"Regular Session, 2023",House,2023-04-11,Notification that HB1011 is now Act 562,14,
HB1011,94th General Assembly,"Regular Session, 2023",House,2023-04-06,Correctly enrolled and ordered transmitted to the Governor's Office.,13,
HB1011,94th General Assembly,"Regular Session, 2023",House,2023-04-06,TO BE ENROLLED,12,
HB1011,94th General Assembly,"Regular Session, 2023",House,2023-04-06,Returned From  the Senate as passed.,11,
HB1011,94th General Assembly,"Regular Session, 2023",Senate,2023-04-06,Returned to the House as Passed.,10,
HB1011,94th General Assembly,"Regular Session, 2023",Senate,2023-04-06,Read the third time and passed.,9,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1011&rcs=1009&chamber=Senate&ddBienniumSession=2023%2F2023R
HB1011,94th General Assembly,"Regular Session, 2023",Senate,2023-04-05,"Returned by the Committee, with the recommendation that it Do Pass",8,
HB1011,94th General Assembly,"Regular Session, 2023",Senate,2023-03-29,"Read first time, rules suspended, read second time, referred to PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE - SENATE",7,
HB1011,94th General Assembly,"Regular Session, 2023",Senate,2023-03-29,Received from the House.,6,
HB1011,94th General Assembly,"Regular Session, 2023",House,2023-03-29,Read the third time and passed and ordered transmitted to the Senate.,5,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1011&rcs=696&chamber=House&ddBienniumSession=2023%2F2023R
HB1011,94th General Assembly,"Regular Session, 2023",House,2023-03-28,Returned by the Committee Do Pass,4,
HB1011,94th General Assembly,"Regular Session, 2023",House,2023-01-09,"Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE",3,
HB1011,94th General Assembly,"Regular Session, 2023",House,2022-11-18,Filed,2,
HB1012,94th General Assembly,"Regular Session, 2023",House,2023-04-06,Recommended for study in the Interim by Joint Interim Committee on REVENUE & TAXATION- HOUSE,5,
HB1012,94th General Assembly,"Regular Session, 2023",House,2023-04-06,WITHDRAWN BY AUTHOR,4,
HB1012,94th General Assembly,"Regular Session, 2023",House,2023-01-09,"Read the first time, rules suspended, read the second time and referred to the Committee on REVENUE & TAXATION- HOUSE",3,
HB1012,94th General Assembly,"Regular Session, 2023",House,2022-11-28,Filed,2,
HB1013,94th General Assembly,"Regular Session, 2023",Senate,2023-05-01,Died in Senate Committee at Sine Die adjournment.,20,
HB1013,94th General Assembly,"Regular Session, 2023",Senate,2023-04-05,"Read first time, rules suspended, read second time, referred to JUDICIARY COMMITTEE - SENATE",19,
HB1013,94th General Assembly,"Regular Session, 2023",Senate,2023-04-04,Received from the House.,18,
HB1013,94th General Assembly,"Regular Session, 2023",House,2023-04-04,Read the third time and passed and ordered transmitted to the Senate.,17,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1013&rcs=887&chamber=House&ddBienniumSession=2023%2F2023R
HB1013,94th General Assembly,"Regular Session, 2023",House,2023-04-03,REPORTED CORRECTLY ENGROSSED,16,
HB1013,94th General Assembly,"Regular Session, 2023",House,2023-04-03,Amendment No. 4 read and adopted and the bill ordered engrossed.,15,
HB1013,94th General Assembly,"Regular Session, 2023",House,2023-04-03,Placed on second reading for the purpose of amendment.,14,
HB1013,94th General Assembly,"Regular Session, 2023",House,2023-03-30,Returned by the Committee with the recommendation that it do pass as amended 4,13,
HB1013,94th General Assembly,"Regular Session, 2023",House,2023-03-27,REPORTED CORRECTLY ENGROSSED,12,
HB1013,94th General Assembly,"Regular Session, 2023",House,2023-03-27,Amendment No. 3 read and adopted and the bill ordered engrossed.,11,
HB1013,94th General Assembly,"Regular Session, 2023",House,2023-03-27,Placed on second reading for the purpose of amendment.,10,
HB1013,94th General Assembly,"Regular Session, 2023",House,2023-03-16,REPORTED CORRECTLY ENGROSSED,9,
HB1013,94th General Assembly,"Regular Session, 2023",House,2023-03-16,Amendment No. 2 read and adopted and the bill ordered engrossed.,8,
HB1013,94th General Assembly,"Regular Session, 2023",House,2023-03-16,Placed on second reading for the purpose of amendment.,7,
HB1013,94th General Assembly,"Regular Session, 2023",House,2023-02-06,REPORTED CORRECTLY ENGROSSED,6,
HB1013,94th General Assembly,"Regular Session, 2023",House,2023-02-06,Amendment No. 1 read and adopted and the bill ordered engrossed.,5,
HB1013,94th General Assembly,"Regular Session, 2023",House,2023-02-06,Placed on second reading for the purpose of amendment.,4,
HB1013,94th General Assembly,"Regular Session, 2023",House,2023-01-09,"Read the first time, rules suspended, read the second time and referred to the Committee on JUDICIARY COMMITTEE- HOUSE",3,
HB1013,94th General Assembly,"Regular Session, 2023",House,2022-11-28,Filed,2,
HB1014,94th General Assembly,"Regular Session, 2023",House,2023-02-03,Notification that HB1014 is now Act 33,18,
HB1014,94th General Assembly,"Regular Session, 2023",House,2023-02-03,Correctly enrolled and ordered transmitted to the Governor's Office.,17,
HB1014,94th General Assembly,"Regular Session, 2023",House,2023-02-01,TO BE ENROLLED,16,
HB1014,94th General Assembly,"Regular Session, 2023",House,2023-02-01,Returned From  the Senate as passed.,15,
HB1014,94th General Assembly,"Regular Session, 2023",Senate,2023-02-01,Returned to the House as passed.,14,
HB1014,94th General Assembly,"Regular Session, 2023",Senate,2023-02-01,Read the third time and passed.,13,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1014&rcs=100&chamber=Senate&ddBienniumSession=2023%2F2023R
HB1014,94th General Assembly,"Regular Session, 2023",Senate,2023-01-31,"Returned by the Committee, with the recommendation that it Do Pass",12,
HB1014,94th General Assembly,"Regular Session, 2023",Senate,2023-01-26,"Read first time, rules suspended, read second time, referred to CITY, COUNTY & LOCAL AFFAIRS COMMITTEE - SENATE",11,
HB1014,94th General Assembly,"Regular Session, 2023",Senate,2023-01-26,Received from the House.,10,
HB1014,94th General Assembly,"Regular Session, 2023",House,2023-01-26,Read the third time and passed and ordered transmitted to the Senate.,9,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1014&rcs=91&chamber=House&ddBienniumSession=2023%2F2023R
HB1014,94th General Assembly,"Regular Session, 2023",House,2023-01-25,Returned by the Committee Do Pass,8,
HB1014,94th General Assembly,"Regular Session, 2023",House,2023-01-19,"Re-referred to the Committee on CITY, COUNTY & LOCAL AFFAIRS COMMITTEE- HOUSE",7,
HB1014,94th General Assembly,"Regular Session, 2023",House,2023-01-19,The vote by which HB1014 Failed to Pass  was expunged.,6,
HB1014,94th General Assembly,"Regular Session, 2023",House,2023-01-19,Read the third time and failed.,5,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1014&rcs=54&chamber=House&ddBienniumSession=2023%2F2023R
HB1014,94th General Assembly,"Regular Session, 2023",House,2023-01-18,Returned by the Committee Do Pass,4,
HB1014,94th General Assembly,"Regular Session, 2023",House,2023-01-09,"Read the first time, rules suspended, read the second time and referred to the Committee on CITY, COUNTY & LOCAL AFFAIRS COMMITTEE- HOUSE",3,
HB1014,94th General Assembly,"Regular Session, 2023",House,2022-12-01,Filed,2,
HB1015,94th General Assembly,"Regular Session, 2023",House,2023-02-09,Notification that HB1015 is now Act 46,17,
HB1015,94th General Assembly,"Regular Session, 2023",House,2023-02-06,Correctly enrolled and ordered transmitted to the Governor's Office.,16,
HB1015,94th General Assembly,"Regular Session, 2023",House,2023-02-06,TO BE ENROLLED,15,
HB1015,94th General Assembly,"Regular Session, 2023",House,2023-02-06,Returned From  the Senate as passed.,14,
HB1015,94th General Assembly,"Regular Session, 2023",Senate,2023-02-06,Returned to the House as passed.,13,
HB1015,94th General Assembly,"Regular Session, 2023",Senate,2023-02-06,Read the third time and passed.,12,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1015&rcs=119&chamber=Senate&ddBienniumSession=2023%2F2023R
HB1015,94th General Assembly,"Regular Session, 2023",Senate,2023-02-01,"Returned by the Committee, with the recommendation that it Do Pass",11,
HB1015,94th General Assembly,"Regular Session, 2023",Senate,2023-01-25,"Read first time, rules suspended, read second time, referred to PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE - SENATE",10,
HB1015,94th General Assembly,"Regular Session, 2023",Senate,2023-01-25,Received from the House.,9,
HB1015,94th General Assembly,"Regular Session, 2023",House,2023-01-25,Read the third time and passed and ordered transmitted to the Senate.,8,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1015&rcs=76&chamber=House&ddBienniumSession=2023%2F2023R
HB1015,94th General Assembly,"Regular Session, 2023",House,2023-01-24,Returned by the Committee Do Pass,7,
HB1015,94th General Assembly,"Regular Session, 2023",House,2023-01-18,REPORTED CORRECTLY ENGROSSED,6,
HB1015,94th General Assembly,"Regular Session, 2023",House,2023-01-18,Amendment No. 1 read and adopted and the bill ordered engrossed.,5,
HB1015,94th General Assembly,"Regular Session, 2023",House,2023-01-18,Placed on second reading for the purpose of amendment.,4,
HB1015,94th General Assembly,"Regular Session, 2023",House,2023-01-09,"Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE",3,
HB1015,94th General Assembly,"Regular Session, 2023",House,2022-12-01,Filed,2,
HB1016,94th General Assembly,"Regular Session, 2023",House,2023-04-06,Recommended for study in the Interim by Joint Interim Committee on REVENUE & TAXATION- HOUSE,5,
HB1016,94th General Assembly,"Regular Session, 2023",House,2023-04-06,WITHDRAWN BY AUTHOR,4,
HB1016,94th General Assembly,"Regular Session, 2023",House,2023-01-09,"Read the first time, rules suspended, read the second time and referred to the Committee on REVENUE & TAXATION- HOUSE",3,
HB1016,94th General Assembly,"Regular Session, 2023",House,2022-12-02,Filed,2,
HB1017,94th General Assembly,"Regular Session, 2023",House,2023-01-30,Notification that HB1017 is now Act 20,14,
HB1017,94th General Assembly,"Regular Session, 2023",House,2023-01-26,Correctly enrolled and ordered transmitted to the Governor's Office.,13,
HB1017,94th General Assembly,"Regular Session, 2023",House,2023-01-26,TO BE ENROLLED,12,
HB1017,94th General Assembly,"Regular Session, 2023",House,2023-01-26,Returned From  the Senate as passed.,11,
HB1017,94th General Assembly,"Regular Session, 2023",Senate,2023-01-26,Returned to the House as passed.,10,
HB1017,94th General Assembly,"Regular Session, 2023",Senate,2023-01-26,Read the third time and passed.,9,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1017&rcs=69&chamber=Senate&ddBienniumSession=2023%2F2023R
HB1017,94th General Assembly,"Regular Session, 2023",Senate,2023-01-25,"Returned by the Committee, with the recommendation that it Do Pass",8,
HB1017,94th General Assembly,"Regular Session, 2023",Senate,2023-01-23,"Read first time, rules suspended, read second time, referred to EDUCATION COMMITTEE - SENATE",7,
HB1017,94th General Assembly,"Regular Session, 2023",Senate,2023-01-23,Received from the House.,6,
HB1017,94th General Assembly,"Regular Session, 2023",House,2023-01-23,Read the third time and passed and ordered transmitted to the Senate.,5,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1017&rcs=67&chamber=House&ddBienniumSession=2023%2F2023R
HB1017,94th General Assembly,"Regular Session, 2023",House,2023-01-19,Returned by the Committee Do Pass,4,
HB1017,94th General Assembly,"Regular Session, 2023",House,2023-01-09,"Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE",3,
HB1017,94th General Assembly,"Regular Session, 2023",House,2022-12-05,Filed,2,
