bill_id,term,session,summary,commem
SB0377,2023_2024,RS,An Act to amend 36.12 (1) and 38.23 (1); and to create 36.25 (58) and 38.12 (15) of the statutes;  Relating to: designating University of Wisconsin and technical college sports and athletic teams based on the sex of the participants.,0
SB0378,2023_2024,RS,An Act to amend 118.13 (1); and to create 118.132 of the statutes;  Relating to: designating athletic sports and teams operated or sponsored by public schools or private schools participating in a parental choice program based on the sex of the participants.,0
SB0399,2023_2024,RS,An Act to create 84.10425 of the statutes;  Relating to: designating a bridge in Pierce County as the Eisenhower Bridge of Valor. (FE),1
SB0443,2023_2024,RS,An Act to amend 1.10 (4); and to create 1.10 (3) (w) of the statutes;  Relating to: designating the monarch butterfly as the state butterfly.,1
SB0452,2023_2024,RS,An Act to create 84.10477 of the statutes;  Relating to: designating and marking the Deputy Kaitie Leising Memorial Highway. (FE),1
AB0623,2023_2024,RS,An Act to amend 230.35 (4) (c) and 995.20; and to create 230.35 (4) (a) 5m. of the statutes;  Relating to: establishing a legal holiday known as Democracy Day and closing state offices on that day. (FE),0
SB0583,2023_2024,RS,An Act to amend 230.35 (4) (c) and 995.20; and to create 230.35 (4) (a) 5m. of the statutes;  Relating to: establishing a legal holiday known as Democracy Day and closing state offices on that day. (FE),0
AB0139,2023_2024,RS,An Act to create 27.01 (9) (b) of the statutes;  Relating to: waiver of fees for admission to state parks on Earth Day. (FE),0
SB0142,2023_2024,RS,An Act to create 27.01 (9) (b) of the statutes;  Relating to: waiver of fees for admission to state parks on Earth Day. (FE),0
SB0521,2023_2024,RS,An Act to create 84.02 (5) (d) 2. q. of the statutes;  Relating to: identification of the Mount Horeb Veterans Memorial on state highway maps. (FE),1
AB1104,2023_2024,RS,"An Act to repeal 45.03 (13) (j), 45.03 (13) (k), 45.04 (1) (intro.) and 45.04 (1) (b); to renumber and amend 45.04 (1) (a); to amend 16.283 (1) (c), 20.485 (2) (rm), 45.03 (3) (a), 45.03 (3) (b), 45.03 (13) (f) 2., 45.04 (2), 45.04 (3), 45.04 (5), 45.04 (8), 45.05, 45.08 (1), 45.08 (2), 45.60 (1) (b), 45.60 (2), 45.82 (1) and 69.30 (1) (bm); and to create 45.01 (4m) of the statutes;  Relating to: the Council on Veterans Programs; county veterans service offices; repealing expired programs within the Department of Veterans Affairs; mental health services for post-traumatic stress disorder; and celebration of Memorial Day (suggested as remedial legislation by the Department of Veterans Affairs).",0
SB1057,2023_2024,RS,"An Act to repeal 45.03 (13) (j), 45.03 (13) (k), 45.04 (1) (intro.) and 45.04 (1) (b); to renumber and amend 45.04 (1) (a); to amend 16.283 (1) (c), 20.485 (2) (rm), 45.03 (3) (a), 45.03 (3) (b), 45.03 (13) (f) 2., 45.04 (2), 45.04 (3), 45.04 (5), 45.04 (8), 45.05, 45.08 (1), 45.08 (2), 45.60 (1) (b), 45.60 (2), 45.82 (1) and 69.30 (1) (bm); and to create 45.01 (4m) of the statutes;  Relating to: the Council on Veterans Programs; county veterans service offices; repealing expired programs within the Department of Veterans Affairs; mental health services for post-traumatic stress disorder; and celebration of Memorial Day (suggested as remedial legislation by the Department of Veterans Affairs).",0
SB0694,2023_2024,RS,An Act to create 14.16 (9r) of the statutes;  Relating to: Veterans Education Week.,1
AB0726,2023_2024,RS,An Act to create 14.16 (9r) of the statutes;  Relating to: Veterans Education Week.,1
AB0001,2023_2024,RS,"An Act to repeal 71.06 (1q), 71.06 (1r) (a), 71.06 (1r) (b), 71.06 (1r) (c), 71.06 (2) (i), 71.06 (2) (j), 71.06 (2) (k), 71.06 (2) (km), 71.06 (2) (L), 71.06 (2) (Lm), 71.06 (2) (m), 71.06 (2) (mm), 71.06 (2e) (be), 71.06 (2e) (bm), 71.06 (2e) (bs), 71.06 (2s) (e), 71.06 (2s) (f), 71.06 (2s) (g) and 73.03 (71); to renumber 71.06 (1r) (d); to amend 71.06 (1q) (intro.), 71.06 (1r) (title), 71.06 (2) (i) (intro.), 71.06 (2) (j) (intro.), 71.06 (2e) (a), 71.06 (2e) (b), 71.06 (2m), 71.06 (2s) (d), 71.125 (1), 71.125 (2), 71.17 (6), 71.64 (9) (b) (intro.), 71.67 (5) (a), 71.67 (5m), 73.03 (71) (c) 2. and 73.03 (71) (d) 2.; and to create 71.06 (1r), 71.06 (2) (k), 71.06 (2) (km), 71.06 (2) (L), 71.06 (2) (Lm), 71.06 (2) (m), 71.06 (2) (mm), 71.06 (2) (n), 71.06 (2e) (be), 71.06 (2e) (bm), 71.06 (2e) (bs), 71.06 (2s) (e), 71.06 (2s) (f) and 71.06 (2s) (g) of the statutes;  Relating to: establishing a flat individual income tax rate. (FE)",0
AB0002,2023_2024,RS,"An Act to repeal 60.85 (1) (f), 66.1105 (2) (d), 70.043 (2), 70.13 (3), 70.13 (7), 70.18, 70.19, 70.20, 70.21, 70.22, 70.29, 70.30, 70.34, 70.345, 70.35, 70.36, 70.47 (15), 70.53 (1) (a), 70.65 (2) (a) 2., 70.68, 74.11 (4), 74.11 (11) (b), 74.11 (12) (a) 1g., 74.11 (12) (d), 74.12 (6), 74.12 (11) (a) 1g., 74.12 (11) (d), 74.30 (1) (i), 74.42, 74.47 (3) (e), 74.55 and 76.69; to renumber 70.043 (1) and 74.11 (11) (a); to consolidate, renumber and amend 70.65 (2) (a) (intro.) and 1.; to amend 17.14 (1) (g), 26.03 (1m) (b) (intro.), 33.01 (9) (a), 33.01 (9) (am) 1. and 2., 33.01 (9) (ar) 1., 33.01 (9) (b) 1., 60.85 (1) (h) 1. c., 60.85 (1) (o), 66.0435 (3) (c) 1. (intro.), 66.0435 (3) (g), 66.0435 (9), 66.1105 (2) (f) 1. c., 66.1106 (1) (k), 70.02, 70.05 (5) (a) 1., 70.17 (1), 70.174, 70.44 (1), 70.49 (2), 70.52, 70.65 (2) (b) (intro.), 70.73 (1) (b), 70.73 (1) (c), 70.73 (1) (d), 70.84, 70.855 (1) (intro.), 70.855 (1) (a), 70.855 (1) (b), 70.995 (1) (a), 70.995 (1) (b), 70.995 (4), 70.995 (7) (b), 70.995 (8) (b) 1., 70.995 (12) (a), 71.17 (2), 74.05 (1), 74.09 (2), 74.11 (6) (a), 74.11 (10) (a) 1., 74.11 (12) (a) (intro.), 74.11 (12) (b), 74.12 (7) (a), 74.12 (8) (a), 74.12 (9) (a), 74.12 (10) (a), 74.12 (11) (a) (intro.), 74.12 (11) (b), 74.25 (1) (intro.), 74.29 (2), 74.30 (1m), 74.83, 74.87 (3), 76.125 (1), 77.84 (1), 174.065 (3), 815.18 (3) (intro.) and 978.05 (6) (a); and to create 60.85 (5) (j), 66.1105 (5) (j), 66.1106 (4) (e), 70.015, 70.111 (28) and 70.17 (3) of the statutes;  Relating to: eliminating the personal property tax. (FE)",0
AB0003,2023_2024,RS,"An Act to amend 457.03 (2) of the statutes;  Relating to: rules defining unprofessional conduct by marriage and family therapists, professional counselors, and social workers and suspension of a portion of a rule of the Marriage and Family Therapy, Professional Counseling, and Social Work Examining Board.",0
AB0004,2023_2024,RS,An Act to create 5.051 of the statutes;  Relating to: the suspension of a rule of the Elections Commission.,0
AB0005,2023_2024,RS,"An Act to amend 93.07 (24) (e) and 97.67 (1); and to create 97.67 (1d) of the statutes;  Relating to: the regulation of pools located at short-term rentals and the partial suspension of rules promulgated by the Department of Agriculture, Trade and Consumer Protection. (FE)",0
AB0006,2023_2024,RS,"An Act to repeal 36.11 (3) (cm) 1. and 3. and 36.31 (1); to amend 36.11 (3) (b), 36.11 (3) (c), 36.11 (3) (cm) 4. and 36.31 (2); and to create 36.11 (3) (bm), 36.31 (1m) and 36.31 (2m) (d) of the statutes;  Relating to: uniform course numbering and the transfer of course credits among technical colleges and University of Wisconsin System schools, and eliminating certain restrictions on the respective educational roles of the University of Wisconsin System and the Technical College System. (FE)",0
AB0007,2023_2024,RS,"An Act to amend 36.27 (3n) (a) 1m. a., 36.27 (3n) (a) 1m. b., 36.27 (3n) (b) (intro.), 36.27 (3n) (bd), 36.27 (3n) (bg), 36.27 (3n) (bm), 36.27 (3n) (c), 36.27 (3p) (a) 1r. (intro.), 38.24 (7) (a) 1m. a., 38.24 (7) (a) 1m. b., 38.24 (7) (a) 1p., 38.24 (7) (b) (intro.), 38.24 (7) (bd), 38.24 (7) (bg), 38.24 (7) (bm) and 38.24 (8) (a) 1r. (intro.); and to create 36.27 (3n) (a) 1r. of the statutes;  Relating to: tuition and fee remission for certain veterans and their dependents enrolled in the University of Wisconsin System or a technical college. (FE)",0
AB0008,2023_2024,RS,"An Act to amend 45.44 (3) (c) (intro.) and 45.51 (2) (a) 1.; and to create 36.27 (2) (b) 5., 36.27 (3p) (a) 1r. g., 38.24 (8) (a) 1r. g. and 45.01 (12) (fm) of the statutes;  Relating to: expanding veterans benefits to individuals who served in Laos in support of the United States during the Vietnam War.",0
AB0009,2023_2024,RS,"An Act to repeal 118.29 (1) (bm), 118.292 (1g) (b), 118.292 (1g) (bm), 118.2925 (1) (d), 118.2925 (1) (fm), 255.07 (1) (c) and 255.07 (1) (e); to amend 118.29 (2) (a) 2m., 118.292 (1r) (intro.), 118.292 (1r) (a), 118.292 (2) (a), 118.292 (2) (b), 118.2925 (1) (h), 118.2925 (3), 118.2925 (4) (a), (b) and (c), 118.2925 (4m) (a), 118.2925 (4m) (b), 118.2925 (5), 255.07 (2) (a), 255.07 (2) (b), 255.07 (3), 255.07 (4), 255.07 (5) (a) 2., 255.07 (5) (a) 3., 255.07 (6) (a) (intro.), 255.07 (6) (a) 1., 2. and 3., 255.07 (6) (b), 255.07 (6) (d), 255.07 (6) (e), 255.07 (6) (f), 448.03 (2) (q) and 450.11 (4) (a) 5. d.; and to create 118.29 (1) (br), 118.292 (1g) (bg), 118.2925 (1) (dm) and 255.07 (1) (cm) of the statutes;  Relating to: use of epinephrine delivery systems and standing orders for epinephrine. (FE)",0
AB0010,2023_2024,RS,"An Act to repeal 20.320 (1) (sm), 281.59 (1) (as), 281.59 (9) (a) and 281.60; to amend 13.48 (26), 20.370 (4) (mt), 20.370 (9) (mt), 20.505 (1) (v), 20.536 (1) (ka), 25.43 (1) (h), 25.43 (2s) (a) 2., 25.43 (3), 67.12 (12) (a), 281.59 (2) (a), 281.59 (2) (b), 281.59 (3) (a) 1., 281.59 (3) (a) 5., 281.59 (3) (j), 281.59 (9) (am), 281.59 (9) (b) (intro.), 281.59 (9) (b) 1., 281.59 (11) (a), 281.59 (11) (b), 281.59 (11) (c), 281.59 (13s) and 281.59 (14); and to create 281.605 of the statutes;  Relating to: eliminating the land recycling loan program. (FE)",0
AB0011,2023_2024,RS,"An Act to amend 27.01 (9) (bn) (title); and to create 20.370 (1) (ed), 27.01 (6m) and 27.01 (9) (bg) of the statutes;  Relating to: fee waivers for state park vehicle admission receipts to parents or guardians of 4th grade pupils and making an appropriation. (FE)",0
AB0012,2023_2024,RS,"An Act to amend 36.27 (2) (b) 4., 36.27 (3n) (a) 1m. a., 36.27 (3n) (a) 1m. b., 36.27 (3n) (bd), 36.27 (3p) (a) 1r. (intro.), 38.24 (7) (a) 1m. a., 38.24 (7) (a) 1m. b., 38.24 (7) (bd), 38.24 (8) (a) 1r. (intro.) and 39.49 (2) (a) 2. of the statutes;  Relating to: tuition and fee remission or grants for certain veterans and their dependents enrolled in the University of Wisconsin System, a technical college, or a private nonprofit institution of higher education; and the University of Wisconsin System nonresident tuition exemption for certain veterans. (FE)",0
AB0013,2023_2024,RS,"An Act to repeal 48.433 (3) (a); to renumber and amend 69.14 (3) (c) and 69.15 (6) (b); to consolidate, renumber and amend 48.433 (3) (intro.) and (b); to amend 48.433 (2), 48.433 (8) (a) and 69.22 (1) (b); and to create 69.14 (3) (c) 3., 69.15 (6) (b) 4. and 69.21 (2) (bm) of the statutes;  Relating to: access to an original impounded birth record. (FE)",0
AB0014,2023_2024,RS,An Act to create subchapter XI of chapter 218 [precedes 218.60] of the statutes;  Relating to: repair and replacement of implements of husbandry under warranty.,0
AB0015,2023_2024,RS,An Act to amend 119.04 (1); and to create 43.75 and 118.073 of the statutes;  Relating to: pupil or minor access to harmful material in public libraries and to harmful material or offensive material in public schools. (FE),0
AB0016,2023_2024,RS,An Act to create 301.32 (1m) of the statutes;  Relating to: the value of tangible personal property allowed in state correctional facilities.,0
AB0017,2023_2024,RS,"An Act to amend 20.455 (2) (em) (title), 165.95 (title), 165.95 (2), 165.95 (3) (a), 165.95 (3) (d), 165.95 (3) (e), 165.95 (3) (g), 165.95 (3) (h), 165.95 (3) (j), 165.95 (5) (a), 302.43, 967.11 (1), 967.11 (2) and 973.155 (1m); and to create 165.95 (1) (ae) of the statutes;  Relating to: expanding the treatment alternatives and diversion programs. (FE)",0
AB0018,2023_2024,RS,"An Act to amend 40.22 (1), 40.22 (2m) (intro.), 40.22 (2r) (intro.) and 40.22 (3) (intro.); and to create 40.26 (7) of the statutes;  Relating to: rehired teacher annuitants. (FE)",0
AB0019,2023_2024,RS,"An Act to create 15.197 (20), 20.435 (1) (cd) and 255.45 of the statutes;  Relating to: spinal cord injury research grants and symposia and making an appropriation. (FE)",0
AB0020,2023_2024,RS,An Act to amend 77.54 (30) (a) 2. of the statutes;  Relating to: the sales and use tax exemption for electricity and natural gas sold for residential use. (FE),0
AB0021,2023_2024,RS,"An Act to amend 6.275 (1) (f), 6.32 (4), 6.33 (4), 6.33 (5) (a) 1., 6.36 (1) (d), 6.36 (1) (e), 6.47 (6), 6.47 (7) (b), 6.48 (1) (d), 6.48 (2) (b), 6.50 (2), 6.50 (2g), 6.50 (2r) (g), 6.50 (3), 6.50 (4), 6.50 (5), 6.50 (6), 6.50 (7), 6.50 (10), 6.56 (3), 6.56 (4) and 7.23 (1) (c) of the statutes;  Relating to: removing ineligible voters from the official voter registration list. (FE)",0
AB0022,2023_2024,RS,An Act to amend 16.855 (9m) (b) 1. a. of the statutes;  Relating to: qualified bidders on state projects. (FE),0
AB0023,2023_2024,RS,"An Act to repeal 41.11 (5), 41.12 (3) and 41.24 (3); and to amend 41.11 (1) (h) of the statutes;  Relating to: modifying the Department of Tourism's reporting duties and repealing requirements to distribute cheese, submit a financial statement, and use famous residents in marketing.",0
AB0024,2023_2024,RS,An Act to create 118.07 (6) of the statutes;  Relating to: posting the child abuse and neglect reporting hotline in school buildings. (FE),0
AB0025,2023_2024,RS,"An Act to renumber 94.64 (1) (a); to amend 94.64 (3m) (a) (intro.), 94.64 (3m) (a) 1., 94.64 (9) (c), 94.65 (4) (a) (intro.) and 94.65 (4) (b); and to create 94.64 (1) (ag), 94.64 (1) (u), 94.64 (2) (f), 94.64 (3m) (a) 3., 94.65 (1) (bm), 94.65 (1) (fm) and 94.65 (5m) of the statutes;  Relating to: the distribution and labeling of fertilizers and soil or plant additives produced from manure. (FE)",0
AB0026,2023_2024,RS,An Act to create 20.855 (4) (bg) of the statutes;  Relating to:  the University of Wisconsin Missing-in-Action Recovery and Identification Project and making an appropriation. (FE),0
AB0027,2023_2024,RS,"An Act to repeal 887.015 (2) (e); and to amend 887.015 (title), 887.015 (1), 887.015 (2) (b), 887.015 (2) (f), 887.015 (3) and 887.015 (6) of the statutes;  Relating to: the Uniform Unsworn Declarations Act.",0
AB0028,2023_2024,RS,"An Act to renumber and amend 40.05 (2) (ar); to amend 40.02 (27), 40.02 (48) (b) 3., 40.02 (48) (c), 40.05 (1) (b) 1., 40.23 (3) (a), 40.28 (1) (a) 2. and 40.73 (1) (am) 3.; and to create 40.02 (17) (n), 40.02 (48) (am) 23., 40.02 (48) (b) 5., 40.05 (1) (a) 7., 40.05 (1) (b) 1a., 40.05 (2) (ap), 40.05 (2) (ar) 2., 40.23 (3) (c), 40.65 (4w), 59.52 (8m) and 111.70 (4) (bn) of the statutes;  Relating to: classifying county jailers as protective occupation participants under the Wisconsin Retirement System and the treatment of county jailers under the Municipal Employment Relations Act. (FE)",0
AB0029,2023_2024,RS,An Act to create 77.54 (70) of the statutes;  Relating to: a sales and use tax exemption for precious metal bullion. (FE),0
AB0030,2023_2024,RS,An Act to amend 27.01 (9) (bn) (title); and to create 27.01 (9) (bg) of the statutes;  Relating to: fee waivers for state park vehicle admission receipts to pupils with Every Kid Outdoors passes. (FE),0
AB0031,2023_2024,RS,An Act to create 16.475 of the statutes;  Relating to: preparing an additional executive budget bill or bills according to generally accepted accounting principles. (FE),0
AB0032,2023_2024,RS,"An Act to create 71.05 (6) (b) 57., 71.53 (2) (g) and 71.77 (9) of the statutes;  Relating to: creating an individual income tax deduction for certain income earned by an individual from the practice of psychiatry or from providing psychiatric or mental health services. (FE)",0
AB0033,2023_2024,RS,An Act to create 341.08 (2) (aj) and 343.177 of the statutes;  Relating to: emergency contact records maintained by the Department of Transportation. (FE),0
AB0034,2023_2024,RS,An Act to amend 29.336 (2) (b) and 29.336 (2) (c) of the statutes;  Relating to: restrictions on baiting deer in counties based on chronic wasting disease or bovine tuberculosis.,0
AB0035,2023_2024,RS,An Act to amend 29.197 (3) of the statutes;  Relating to: modifying the designation of a free fishing weekend in January.,0
AB0036,2023_2024,RS,"An Act to consolidate, renumber and amend 165.775 (4) (intro.) and (b); to amend 165.775 (3) (b) and 165.775 (4) (a); and to create 165.775 (4) (b) 2. and 3. of the statutes;  Relating to: a time limit for processing sexual assault kits. (FE)",0
AB0037,2023_2024,RS,"An Act to renumber 111.335 (3) (a); to renumber and amend 973.015 (1m) (a) 1.; to amend 111.335 (4) (b), 111.335 (4) (c) 1. (intro.), 111.335 (4) (e), 111.335 (4) (f) 1., 950.04 (1v) (g), 973.015 (1m) (a) 3. a., 973.015 (1m) (b) and 973.25 (1) (a); and to create 111.335 (3) (ag), 111.335 (3) (g), 973.015 (1b), 973.015 (1m) (a) 1. a. and b., 973.015 (1m) (a) 3. c., cg., cr. and d. and 4., 973.015 (1m) (c) and 973.015 (4) of the statutes;  Relating to: expungement of records of certain crimes and discrimination based on expunged conviction. (FE)",0
AB0038,2023_2024,RS,An Act to amend 6.86 (1) (ac) of the statutes;  Relating to: absentee ballot request and return confirmation. (FE),0
AB0039,2023_2024,RS,"An Act to renumber 76.639 (3); to amend 71.07 (8b) (e), 71.28 (8b) (e), 71.47 (8b) (e), 76.639 (5), 76.67 (2), 234.45 (1) (e) and 234.45 (4); and to create 76.639 (3) (b), 234.45 (1) (em) and 234.45 (5m) of the statutes;  Relating to: changes to the low-income housing tax credit. (FE)",0
AB0040,2023_2024,RS,An Act to amend 118.016 (1) (b); and to create 118.016 (3) and 118.016 (4) of the statutes;  Relating to: reading readiness assessments and making an appropriation. (FE),0
AB0041,2023_2024,RS,An Act to amend 165.775 (3) (b) and 165.775 (4) (b) of the statutes;  Relating to: a time limitation for processing sexual assault kits. (FE),0
AB0042,2023_2024,RS,An Act to create 16.867 (3) of the statutes;  Relating to: selection of architects and engineers for state projects. (FE),0
AB0043,2023_2024,RS,"An Act;  Relating to: state finances and appropriations, constituting the executive budget act of the 2023 legislature. (FE)",0
AB0044,2023_2024,RS,An Act to create 292.11 (9) (g) of the statutes;  Relating to: the responsibility of a property owner for discharge of a hazardous substance by another.,0
AB0045,2023_2024,RS,An Act to create 66.04045 of the statutes;  Relating to: restricting local regulation of utility service based on the type or source of energy. (FE),0
AB0046,2023_2024,RS,"An Act to create 66.0401 (7), 196.378 (1) (e), 196.378 (4j), 196.491 (1) (h) and 196.491 (3) (a) 4. of the statutes;  Relating to: requiring notice to political subdivisions and landowners regarding proposed large solar energy facilities, requirements for applying for certificates for large solar electric generating facilities, joint development agreements related to large solar electric generating facilities, and granting rule-making authority. (FE)",0
AB0047,2023_2024,RS,"An Act to amend 19.85 (1) (a), 19.85 (1) (d), 304.06 (1) (d) 1., 304.06 (1) (d) 3g. and 304.06 (1) (eg); and to create 304.01 (3), (4) and (5) of the statutes;  Relating to: public access to actions by Parole Commission.",0
AB0048,2023_2024,RS,"An Act to amend 51.20 (13) (cr), 165.76 (1) (am), 938.34 (15) (a) 1., 944.30 (1m) (intro.), 944.30 (2m) and 973.015 (2m) (intro.) of the statutes;  Relating to:  prosecuting or adjudicating delinquent a person under the age of 18 for committing an act of prostitution.",0
AB0049,2023_2024,RS,An Act to amend 346.50 (2) and 346.50 (2a) (intro.) of the statutes;  Relating to: disabled parking privileges on University of Wisconsin System campuses. (FE),0
AB0050,2023_2024,RS,An Act to amend 943.20 (3) (a) and 943.20 (3) (bf) of the statutes;  Relating to: felony theft of property and providing a penalty.,0
AB0051,2023_2024,RS,An Act to renumber and amend 66.0501 (1); and to create 66.0501 (1) (b) and 165.85 (4) (a) 1m. of the statutes;  Relating to: appointment of certain lawfully present aliens as law enforcement officers.,0
AB0052,2023_2024,RS,"An Act to renumber 943.23 (1r); to renumber and amend 943.23 (1g); to amend 48.685 (5) (bm) 3., 48.686 (1) (c) 9., 103.34 (1) (b) 3., 165.84 (7) (ab) 1., 301.048 (2) (bm) 1. a., 301.26 (4) (cm) 1., 302.11 (1g) (a) 2., 753.061 (2m), 938.208 (1) (a), 938.34 (4h) (a), 938.34 (4m) (b) 1., 938.78 (3), 939.619 (1), 939.62 (2m) (a) 2m. b., 939.632 (1) (e) 1., 940.03, 941.29 (1g) (a), 941.291 (1) (b), 943.23 (4m), 946.82 (4), 949.03 (2), 969.08 (10) (b), 973.0135 (1) (b) 2., 973.123 (1) and 978.13 (1) (c); and to create 939.22 (21) (qm), 941.38 (1) (b) 17m. and 943.231 (title) and (3) of the statutes;  Relating to: reorganizing the crimes commonly known as “carjacking” and providing a penalty.",0
AB0053,2023_2024,RS,"An Act to create 115.385 (1) (e), 115.385 (1g) (g) and 118.124 of the statutes;  Relating to: reporting certain crimes and other incidents that occur on school property or school transportation and granting rule-making authority. (FE)",0
AB0054,2023_2024,RS,"An Act to renumber 969.001 (2); to renumber and amend 969.01 (1) and 969.035 (1); to amend 165.957 (4) (a) 1. and 2. and (c), 969.01 (4), 969.02 (3) (d) and 969.03 (1) (e); and to create 969.001 (2m), 969.001 (3) and 969.01 (1) (b) 2. of the statutes;  Relating to: statutory changes to implement the constitutional amendment relating to conditions of release.",0
AB0055,2023_2024,RS,"An Act to amend 346.65 (1) (a), 346.65 (1) (b), 346.65 (3), 346.65 (4m), 346.65 (5), 346.655 (1) and 346.657 (1) of the statutes;  Relating to: penalties for reckless driving and providing a penalty. (FE)",0
AB0056,2023_2024,RS,An Act to repeal 349.025 (1) (b); to renumber and amend 349.01 (2); to amend 349.03 (5) (a); and to create 349.01 (2) (m) and 349.115 of the statutes;  Relating to: impoundment of vehicles used in certain reckless driving offenses.,0
AB0057,2023_2024,RS,"An Act to repeal 971.37; to amend 20.410 (1) (gL), 20.437 (1) (hh), 814.75 (8), 814.75 (8m), 814.76 (6), 814.80 (6), 814.81 (6), 971.38 (1) and 971.39 (1) (intro.); and to create 967.056 and 968.075 (7) (c) of the statutes;  Relating to:  dismissing or amending certain criminal charges and  deferred prosecution agreements for certain crimes.",0
AB0058,2023_2024,RS,An Act to create 941.29 (4g) of the statutes;  Relating to: mandatory minimum sentence for felons who illegally possess a firearm and providing a penalty.,0
AB0059,2023_2024,RS,"An Act to renumber and amend 949.01 (6), 949.03 (intro.), (1m), (2), (3) and (4) and 949.05; to amend 949.035 (1), 949.04 (3), 949.06 (1) (intro.), 949.06 (3) (intro.), 949.08 (1), (1m) (a) and (2) (a) and (b) and 949.15 (1); and to create 949.01 (6) (b), 949.03 (2m), 949.05 (2m) and 949.06 (3m) of the statutes;  Relating to: providing victim compensation for damage to a building by means of fire or explosives. (FE)",0
AB0060,2023_2024,RS,An Act to create 134.47 of the statutes;  Relating to: requirements for adult-entertainment establishments and providing a penalty.,0
AB0061,2023_2024,RS,An Act to create 20.370 (4) (gs) and 281.335 of the statutes;  Relating to: creating a deicer applicators certification program and making an appropriation. (FE),0
AB0062,2023_2024,RS,"An Act to amend 40.51 (8), 40.51 (8m), 66.0137 (4), 120.13 (2) (g) and 185.983 (1) (intro.); and to create 632.722 of the statutes;  Relating to: assignment of dental benefits under health insurance.",0
AB0063,2023_2024,RS,An Act to create 253.109 and 940.01 (1) (c) of the statutes;  Relating to: requirements for children born alive following abortion or attempted abortion and providing a penalty.,0
AB0064,2023_2024,RS,"An Act to repeal 281.75 (2) (e), 281.75 (9) (a) and 281.75 (11) (ae); to renumber and amend 281.75 (5) (f) and 281.75 (9) (b); to amend 281.75 (7) (c) 7., 281.75 (11) (a) 8. and 281.75 (11m); and to create 281.75 (2) (g), 281.75 (5) (f) 2., 281.75 (7) (d) and 281.75 (9) (am), (bm), (c) and (d) of the statutes;  Relating to: nitrate contamination and the well compensation grant program. (FE)",0
AB0065,2023_2024,RS,"An Act to amend 93.59 (2) (a), 93.59 (2) (d), 93.59 (3), 281.68 (1t) (intro.), 281.68 (3) (a) 1. and 281.69 (3) (a); and to create 281.68 (1) (ar), 281.69 (1b) (br), 281.70 (1) (am) and 281.70 (4) (a) 4. of the statutes;  Relating to: eligibility for producer-led watershed, lake, and river protection grants. (FE)",0
AB0066,2023_2024,RS,An Act to amend 342.14 (3) and 342.14 (3m); and to create 342.01 (2) (aj) of the statutes;  Relating to: fees for certain motor vehicle certificate of title transfers. (FE),0
