bill_number,session_year,session_type,action_date,action,order
SR312,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR312,2024,RS,2024-04-15,adopted 38-0,5
SR313,2024,RS,2024-04-15,introduced in Senate,1
SR313,2024,RS,2024-04-15,to Committee on Committees (S),2
SR313,2024,RS,2024-04-15,to Senate Floor,3
SR313,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR313,2024,RS,2024-04-15,adopted 38-0,5
SR314,2024,RS,2024-04-15,introduced in Senate,1
SR314,2024,RS,2024-04-15,to Committee on Committees (S),2
SR314,2024,RS,2024-04-15,to Senate Floor,3
SR314,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR314,2024,RS,2024-04-15,adopted 38-0,5
SR315,2024,RS,2024-04-15,introduced in Senate,1
SR315,2024,RS,2024-04-15,to Committee on Committees (S),2
SR315,2024,RS,2024-04-15,to Senate Floor,3
SR315,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR315,2024,RS,2024-04-15,adopted 38-0,5
SR316,2024,RS,2024-04-15,introduced in Senate,1
SR316,2024,RS,2024-04-15,to Committee on Committees (S),2
SR316,2024,RS,2024-04-15,to Senate Floor,3
SR316,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR316,2024,RS,2024-04-15,adopted 38-0,5
SR317,2024,RS,2024-04-15,introduced in Senate,1
SR317,2024,RS,2024-04-15,to Committee on Committees (S),2
SR317,2024,RS,2024-04-15,to Senate Floor,3
SR317,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR317,2024,RS,2024-04-15,adopted 38-0,5
SR318,2024,RS,2024-04-15,introduced in Senate,1
SR318,2024,RS,2024-04-15,to Committee on Committees (S),2
SR318,2024,RS,2024-04-15,to Senate Floor,3
SR318,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR318,2024,RS,2024-04-15,adopted 38-0,5
SR319,2024,RS,2024-04-15,introduced in Senate,1
SR319,2024,RS,2024-04-15,to Committee on Committees (S),2
SR319,2024,RS,2024-04-15,to Senate Floor,3
SR319,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR319,2024,RS,2024-04-15,adopted 38-0,5
SR320,2024,RS,2024-04-15,introduced in Senate,1
SR320,2024,RS,2024-04-15,to Committee on Committees (S),2
SR320,2024,RS,2024-04-15,to Senate Floor,3
SR320,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR320,2024,RS,2024-04-15,adopted 38-0,5
SR321,2024,RS,2024-04-15,introduced in Senate,1
SR321,2024,RS,2024-04-15,to Committee on Committees (S),2
SR321,2024,RS,2024-04-15,to Senate Floor,3
SR321,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR321,2024,RS,2024-04-15,adopted 38-0,5
SR322,2024,RS,2024-04-15,introduced in Senate,1
SR322,2024,RS,2024-04-15,to Committee on Committees (S),2
SR322,2024,RS,2024-04-15,to Senate Floor,3
SR322,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR322,2024,RS,2024-04-15,adopted 38-0,5
SR323,2024,RS,2024-04-15,introduced in Senate,1
SR323,2024,RS,2024-04-15,to Committee on Committees (S),2
SR323,2024,RS,2024-04-15,to Senate Floor,3
SR323,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR323,2024,RS,2024-04-15,adopted 38-0,5
SR324,2024,RS,2024-04-15,introduced in Senate,1
SR324,2024,RS,2024-04-15,to Committee on Committees (S),2
SR324,2024,RS,2024-04-15,to Senate Floor,3
SR324,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR324,2024,RS,2024-04-15,adopted 38-0,5
SR325,2024,RS,2024-04-15,introduced in Senate,1
SR325,2024,RS,2024-04-15,to Committee on Committees (S),2
SR325,2024,RS,2024-04-15,to Senate Floor,3
SR325,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR325,2024,RS,2024-04-15,adopted 38-0,5
SR326,2024,RS,2024-04-15,introduced in Senate,1
SR326,2024,RS,2024-04-15,to Committee on Committees (S),2
SR326,2024,RS,2024-04-15,to Senate Floor,3
SR326,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR326,2024,RS,2024-04-15,adopted 38-0,5
SR329,2024,RS,2024-04-15,introduced in Senate,1
SR329,2024,RS,2024-04-15,to Committee on Committees (S),2
SR329,2024,RS,2024-04-15,to Senate Floor,3
SR329,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR329,2024,RS,2024-04-15,adopted 38-0,5
SR330,2024,RS,2024-04-15,introduced in Senate,1
SR330,2024,RS,2024-04-15,to Committee on Committees (S),2
SR330,2024,RS,2024-04-15,to Senate Floor,3
SR330,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR330,2024,RS,2024-04-15,adopted 38-0,5
SR331,2024,RS,2024-04-15,introduced in Senate,1
SR331,2024,RS,2024-04-15,to Committee on Committees (S),2
SR331,2024,RS,2024-04-15,to Senate Floor,3
SR331,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR331,2024,RS,2024-04-15,adopted 38-0,5
SR332,2024,RS,2024-04-15,introduced in Senate,1
SR332,2024,RS,2024-04-15,to Committee on Committees (S),2
SR332,2024,RS,2024-04-15,to Senate Floor,3
SR332,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR332,2024,RS,2024-04-15,adopted 38-0,5
SR333,2024,RS,2024-04-15,introduced in Senate,1
SR333,2024,RS,2024-04-15,to Committee on Committees (S),2
SR334,2024,RS,2024-04-15,introduced in Senate,1
SR334,2024,RS,2024-04-15,to Committee on Committees (S),2
SR334,2024,RS,2024-04-15,to Senate Floor,3
SR334,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR334,2024,RS,2024-04-15,adopted 38-0,5
SR335,2024,RS,2024-04-15,introduced in Senate,1
SR335,2024,RS,2024-04-15,to Committee on Committees (S),2
SR335,2024,RS,2024-04-15,to Senate Floor,3
SR335,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR335,2024,RS,2024-04-15,adopted 38-0,5
SR356,2024,RS,2024-04-15,introduced in Senate,1
SR356,2024,RS,2024-04-15,to Committee on Committees (S),2
SR356,2024,RS,2024-04-15,to Senate Floor,3
SR356,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR356,2024,RS,2024-04-15,adopted 38-0,5
SR357,2024,RS,2024-04-15,introduced in Senate,1
SR357,2024,RS,2024-04-15,to Committee on Committees (S),2
SR357,2024,RS,2024-04-15,to Senate Floor,3
SR357,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR357,2024,RS,2024-04-15,adopted 38-0,5
SR362,2024,RS,2024-04-15,introduced in Senate,1
SR362,2024,RS,2024-04-15,to Committee on Committees (S),2
SR362,2024,RS,2024-04-15,to Senate Floor,3
SR362,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR362,2024,RS,2024-04-15,adopted 38-0,5
SR363,2024,RS,2024-04-15,introduced in Senate,1
SR363,2024,RS,2024-04-15,to Committee on Committees (S),2
SR363,2024,RS,2024-04-15,to Senate Floor,3
SR363,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR363,2024,RS,2024-04-15,adopted 38-0,5
SR364,2024,RS,2024-04-15,introduced in Senate,1
SR364,2024,RS,2024-04-15,to Committee on Committees (S),2
SR364,2024,RS,2024-04-15,to Senate Floor,3
SR364,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR364,2024,RS,2024-04-15,adopted 38-0,5
SR373,2024,RS,2024-04-15,introduced in Senate,1
SR373,2024,RS,2024-04-15,to Committee on Committees (S),2
SR373,2024,RS,2024-04-15,to Senate Floor,3
SR373,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR373,2024,RS,2024-04-15,adopted 38-0,5
SR376,2024,RS,2024-04-15,introduced in Senate,1
SR376,2024,RS,2024-04-15,to Committee on Committees (S),2
SR376,2024,RS,2024-04-15,to Senate Floor,3
SR376,2024,RS,2024-04-15,adopted by voice vote,4
SR377,2024,RS,2024-04-15,introduced in Senate,1
SR377,2024,RS,2024-04-15,to Committee on Committees (S),2
SR377,2024,RS,2024-04-15,adopted by voice vote,3
SR378,2024,RS,2024-04-15,introduced in Senate,1
SR378,2024,RS,2024-04-15,to Committee on Committees (S),2
SR378,2024,RS,2024-04-15,adopted by voice vote,3
SR379,2024,RS,2024-04-15,introduced in Senate,1
SR379,2024,RS,2024-04-15,to Committee on Committees (S),2
SR379,2024,RS,2024-04-15,adopted by voice vote,3
SR380,2024,RS,2024-04-15,introduced in Senate,1
SR380,2024,RS,2024-04-15,to Committee on Committees (S),2
SR380,2024,RS,2024-04-15,to Senate Floor,3
SR380,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR380,2024,RS,2024-04-15,adopted 38-0,5
SR381,2024,RS,2024-04-15,introduced in Senate,1
SR381,2024,RS,2024-04-15,to Committee on Committees (S),2
SR381,2024,RS,2024-04-15,adopted by voice vote,3
SR382,2024,RS,2024-04-15,introduced in Senate,1
SR382,2024,RS,2024-04-15,to Committee on Committees (S),2
SR382,2024,RS,2024-04-15,to Senate Floor,3
SR382,2024,RS,2024-04-15,"posted for passage in the Regular Orders of the Day for Monday, April 15, 2024",4
SR382,2024,RS,2024-04-15,taken from the Regular Orders of the Day,5
SR382,2024,RS,2024-04-15,placed in the Consent Orders of the Day,6
SR382,2024,RS,2024-04-15,adopted 34-3,7
SR383,2024,RS,2024-04-15,introduced in Senate,1
SR383,2024,RS,2024-04-15,to Committee on Committees (S),2
SR383,2024,RS,2024-04-15,adopted by voice vote,3
SR384,2024,RS,2024-04-15,introduced in Senate,1
SR384,2024,RS,2024-04-15,to Committee on Committees (S),2
SR384,2024,RS,2024-04-15,adopted by voice vote,3
SR386,2024,RS,2024-04-15,introduced in Senate,1
SR386,2024,RS,2024-04-15,to Committee on Committees (S),2
SR386,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",3
SR386,2024,RS,2024-04-15,adopted 37-1,4
SR724,2024,RS,2024-04-15,introduced in Senate,1
SR724,2024,RS,2024-04-15,to Committee on Committees (S),2
SR724,2024,RS,2024-04-15,adopted by voice vote,3
HCR151,2024,RS,2024-04-12,introduced in House,1
HCR151,2024,RS,2024-04-12,to Committee on Committees (H),2
HCR151,2024,RS,2024-04-15,received in Senate,3
HCR151,2024,RS,2024-04-15,taken from Committee on Committees (H),4
HCR151,2024,RS,2024-04-15,placed in the Orders of the Day,5
HCR151,2024,RS,2024-04-15,adopted by voice vote,6
HR152,2024,RS,2024-04-12,introduced in House,1
HR152,2024,RS,2024-04-12,to Committee on Committees (H),2
HR152,2024,RS,2024-04-15,taken from Committee on Committees (H),3
HR152,2024,RS,2024-04-15,to House Floor,4
HR152,2024,RS,2024-04-15,adopted by voice vote,5
HR153,2024,RS,2024-04-12,introduced in House,1
HR153,2024,RS,2024-04-12,to Committee on Committees (H),2
HR153,2024,RS,2024-04-12,adopted by voice vote,3
HR154,2024,RS,2024-04-12,introduced in House,1
HR154,2024,RS,2024-04-12,to Committee on Committees (H),2
HR154,2024,RS,2024-04-12,adopted by voice vote,3
HR155,2024,RS,2024-04-12,introduced in House,1
HR155,2024,RS,2024-04-12,to Committee on Committees (H),2
HR155,2024,RS,2024-04-15,to House Floor,3
HR155,2024,RS,2024-04-15,adopted by voice vote,4
SCR367,2024,RS,2024-04-12,introduced in Senate,1
SCR367,2024,RS,2024-04-12,to Committee on Committees (S),2
SCR367,2024,RS,2024-04-15,to Senate Floor,3
SCR367,2024,RS,2024-04-15,adopted by voice vote,4
SCR375,2024,RS,2024-04-12,introduced in Senate,1
SCR375,2024,RS,2024-04-12,to Committee on Committees (S),2
SR327,2024,RS,2024-04-12,introduced in Senate,1
SR327,2024,RS,2024-04-12,to Committee on Committees (S),2
SR327,2024,RS,2024-04-15,to Senate Floor,3
SR327,2024,RS,2024-04-15,adopted by voice vote,4
SR328,2024,RS,2024-04-12,introduced in Senate,1
SR328,2024,RS,2024-04-12,to Committee on Committees (S),2
SR328,2024,RS,2024-04-15,to Senate Floor,3
SR328,2024,RS,2024-04-15,adopted by voice vote,4
SR336,2024,RS,2024-04-12,introduced in Senate,1
SR336,2024,RS,2024-04-12,to Committee on Committees (S),2
SR336,2024,RS,2024-04-12,adopted by voice vote,3
SR337,2024,RS,2024-04-12,introduced in Senate,1
SR337,2024,RS,2024-04-12,to Committee on Committees (S),2
SR337,2024,RS,2024-04-15,to Senate Floor,3
SR337,2024,RS,2024-04-15,adopted by voice vote,4
SR338,2024,RS,2024-04-12,introduced in Senate,1
SR338,2024,RS,2024-04-12,to Committee on Committees (S),2
SR338,2024,RS,2024-04-12,adopted by voice vote,3
SR339,2024,RS,2024-04-12,introduced in Senate,1
SR339,2024,RS,2024-04-12,to Committee on Committees (S),2
SR339,2024,RS,2024-04-12,adopted by voice vote,3
SR340,2024,RS,2024-04-12,introduced in Senate,1
SR340,2024,RS,2024-04-12,to Committee on Committees (S),2
SR340,2024,RS,2024-04-12,adopted by voice vote,3
SR341,2024,RS,2024-04-12,introduced in Senate,1
SR341,2024,RS,2024-04-12,to Committee on Committees (S),2
SR341,2024,RS,2024-04-12,adopted by voice vote,3
SR342,2024,RS,2024-04-12,introduced in Senate,1
SR342,2024,RS,2024-04-12,to Committee on Committees (S),2
SR342,2024,RS,2024-04-15,to Senate Floor,3
SR342,2024,RS,2024-04-15,adopted by voice vote,4
SR343,2024,RS,2024-04-12,introduced in Senate,1
SR343,2024,RS,2024-04-12,to Committee on Committees (S),2
SR343,2024,RS,2024-04-12,adopted by voice vote,3
SR344,2024,RS,2024-04-12,introduced in Senate,1
SR344,2024,RS,2024-04-12,to Committee on Committees (S),2
SR344,2024,RS,2024-04-12,adopted by voice vote,3
SR345,2024,RS,2024-04-12,introduced in Senate,1
SR345,2024,RS,2024-04-12,to Committee on Committees (S),2
SR345,2024,RS,2024-04-12,adopted by voice vote,3
SR346,2024,RS,2024-04-12,introduced in Senate,1
SR346,2024,RS,2024-04-12,to Committee on Committees (S),2
SR346,2024,RS,2024-04-12,adopted by voice vote,3
SR347,2024,RS,2024-04-12,introduced in Senate,1
SR347,2024,RS,2024-04-12,to Committee on Committees (S),2
SR347,2024,RS,2024-04-12,adopted by voice vote,3
SR348,2024,RS,2024-04-12,introduced in Senate,1
SR348,2024,RS,2024-04-12,to Committee on Committees (S),2
SR348,2024,RS,2024-04-12,adopted by voice vote,3
SR349,2024,RS,2024-04-12,introduced in Senate,1
SR349,2024,RS,2024-04-12,to Committee on Committees (S),2
SR349,2024,RS,2024-04-12,adopted by voice vote,3
SR350,2024,RS,2024-04-12,introduced in Senate,1
SR350,2024,RS,2024-04-12,to Committee on Committees (S),2
SR350,2024,RS,2024-04-12,adopted by voice vote,3
SR351,2024,RS,2024-04-12,introduced in Senate,1
SR351,2024,RS,2024-04-12,to Committee on Committees (S),2
SR351,2024,RS,2024-04-12,adopted by voice vote,3
SR352,2024,RS,2024-04-12,introduced in Senate,1
SR352,2024,RS,2024-04-12,to Committee on Committees (S),2
SR352,2024,RS,2024-04-15,to Senate Floor,3
SR352,2024,RS,2024-04-15,adopted by voice vote,4
SR353,2024,RS,2024-04-12,introduced in Senate,1
SR353,2024,RS,2024-04-12,to Committee on Committees (S),2
SR353,2024,RS,2024-04-15,to Senate Floor,3
SR353,2024,RS,2024-04-15,adopted by voice vote,4
SR354,2024,RS,2024-04-12,introduced in Senate,1
SR354,2024,RS,2024-04-12,to Committee on Committees (S),2
SR354,2024,RS,2024-04-15,to Senate Floor,3
SR354,2024,RS,2024-04-15,adopted by voice vote,4
SR355,2024,RS,2024-04-12,introduced in Senate,1
SR355,2024,RS,2024-04-12,to Committee on Committees (S),2
SR355,2024,RS,2024-04-15,to Senate Floor,3
SR355,2024,RS,2024-04-15,adopted by voice vote,4
SR358,2024,RS,2024-04-12,introduced in Senate,1
SR358,2024,RS,2024-04-12,to Committee on Committees (S),2
SR358,2024,RS,2024-04-12,adopted by voice vote,3
SR359,2024,RS,2024-04-12,introduced in Senate,1
SR359,2024,RS,2024-04-12,to Committee on Committees (S),2
SR359,2024,RS,2024-04-15,to Senate Floor,3
SR359,2024,RS,2024-04-15,adopted by voice vote,4
SR360,2024,RS,2024-04-12,introduced in Senate,1
SR360,2024,RS,2024-04-12,to Committee on Committees (S),2
SR360,2024,RS,2024-04-15,to Senate Floor,3
SR360,2024,RS,2024-04-15,adopted by voice vote,4
SR361,2024,RS,2024-04-12,introduced in Senate,1
SR361,2024,RS,2024-04-12,to Committee on Committees (S),2
SR361,2024,RS,2024-04-15,to Senate Floor,3
SR361,2024,RS,2024-04-15,adopted by voice vote,4
SR365,2024,RS,2024-04-12,introduced in Senate,1
SR365,2024,RS,2024-04-12,to Committee on Committees (S),2
SR365,2024,RS,2024-04-15,to Senate Floor,3
SR365,2024,RS,2024-04-15,adopted by voice vote,4
SR366,2024,RS,2024-04-12,introduced in Senate,1
SR366,2024,RS,2024-04-12,to Committee on Committees (S),2
SR366,2024,RS,2024-04-15,to Senate Floor,3
SR366,2024,RS,2024-04-15,adopted by voice vote,4
SR368,2024,RS,2024-04-12,introduced in Senate,1
SR368,2024,RS,2024-04-12,to Committee on Committees (S),2
SR368,2024,RS,2024-04-15,to Senate Floor,3
SR368,2024,RS,2024-04-15,adopted by voice vote,4
SR369,2024,RS,2024-04-12,introduced in Senate,1
SR369,2024,RS,2024-04-12,to Committee on Committees (S),2
SR370,2024,RS,2024-04-12,introduced in Senate,1
SR370,2024,RS,2024-04-12,to Committee on Committees (S),2
SR370,2024,RS,2024-04-15,to Senate Floor,3
SR370,2024,RS,2024-04-15,adopted by voice vote,4
SR371,2024,RS,2024-04-12,introduced in Senate,1
SR371,2024,RS,2024-04-12,to Committee on Committees (S),2
SR371,2024,RS,2024-04-12,adopted by voice vote,3
SR372,2024,RS,2024-04-12,introduced in Senate,1
SR372,2024,RS,2024-04-12,to Committee on Committees (S),2
SR372,2024,RS,2024-04-12,adopted by voice vote,3
SR374,2024,RS,2024-04-12,introduced in Senate,1
SR374,2024,RS,2024-04-12,to Committee on Committees (S),2
SR374,2024,RS,2024-04-15,to Senate Floor,3
SR374,2024,RS,2024-04-15,adopted by voice vote,4
HCR149,2024,RS,2024-03-28,introduced in House,1
HCR149,2024,RS,2024-03-28,to Committee on Committees (H),2
HR150,2024,RS,2024-03-28,introduced in House,1
HR150,2024,RS,2024-03-28,to Committee on Committees (H),2
SCR292,2024,RS,2024-03-28,introduced in Senate,1
SCR292,2024,RS,2024-03-28,to Committee on Committees (S),2
SR273,2024,RS,2024-03-28,introduced in Senate,1
SR273,2024,RS,2024-03-28,to Committee on Committees (S),2
SR273,2024,RS,2024-04-12,to Senate Floor,3
SR273,2024,RS,2024-04-15,adopted by voice vote,4
SR274,2024,RS,2024-03-28,introduced in Senate,1
SR274,2024,RS,2024-03-28,to Committee on Committees (S),2
SR274,2024,RS,2024-04-12,to Senate Floor,3
SR274,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR274,2024,RS,2024-04-15,adopted 38-0,5
SR275,2024,RS,2024-03-28,introduced in Senate,1
SR275,2024,RS,2024-03-28,to Committee on Committees (S),2
SR275,2024,RS,2024-04-12,to Senate Floor,3
SR275,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR275,2024,RS,2024-04-15,adopted 38-0,5
SR276,2024,RS,2024-03-28,introduced in Senate,1
SR276,2024,RS,2024-03-28,to Committee on Committees (S),2
SR276,2024,RS,2024-04-12,to Senate Floor,3
SR276,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR276,2024,RS,2024-04-15,adopted 38-0,5
SR277,2024,RS,2024-03-28,introduced in Senate,1
SR277,2024,RS,2024-03-28,to Committee on Committees (S),2
SR277,2024,RS,2024-04-12,to Senate Floor,3
SR277,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR277,2024,RS,2024-04-15,adopted 38-0,5
SR278,2024,RS,2024-03-28,introduced in Senate,1
SR278,2024,RS,2024-03-28,to Committee on Committees (S),2
SR278,2024,RS,2024-04-12,to Senate Floor,3
SR278,2024,RS,2024-04-15,"posted for passage in the Consent Orders of the Day for Monday, April 15, 2024",4
SR278,2024,RS,2024-04-15,adopted 38-0,5
SR279,2024,RS,2024-03-28,introduced in Senate,1
SR279,2024,RS,2024-03-28,to Committee on Committees (S),2
SR279,2024,RS,2024-04-12,to Senate Floor,3
