bill_number,session_year,session_type,title,sponsors,summary,bill_url
HR95,2023,RS,A RESOLUTION urging the Kentucky Board of Education to dismiss Jason E. Glass from the office of Commissioner of Education.,J. Calloway; B. Wesley; S. Rawlings,Urge the Kentucky Board of Education to dismiss Jason E. Glass from the office of Commissioner of Education for his actions related to interfering with parental rights and exacerbating the teacher workforce shortage.,https://apps.legislature.ky.gov/record/23rs/HR95.html
HR96,2023,RS,"A RESOLUTION designating the city of Scottsville as the ""Birthplace of Dollar General.""",S. McPherson,"Designating the city of Scottsville as the ""Birthplace of Dollar General.""",https://apps.legislature.ky.gov/record/23rs/HR96.html
HR97,2023,RS,"A RESOLUTION commending Continental Refining Company for successfully expanding its production to include biofuel and high-quality soybean byproducts at its facility in Somerset, Kentucky.",S. Baker; J. Branscum; J. Bray; D. Meade; K. Upchurch,Commend Continental Refining Company for its successful expansion into biofuel and soybean hull and meal production.,https://apps.legislature.ky.gov/record/23rs/HR97.html
HR98,2023,RS,A RESOLUTION expressing concerns regarding the unintended consequences of the current funding methodology of the Horseracing Integrity and Safety Act (HISA).,M. Koch; A. Gentry,Urge the Federal Trade Commission and the Horseracing Integrity and Safety Authority to review the funding methodology of the Horseracing Integrity and Safety Act.,https://apps.legislature.ky.gov/record/23rs/HR98.html
SCR244,2023,RS,A CONCURRENT RESOLUTION adjourning the 2023 Regular Session of the General Assembly sine die.,D. Thayer,Adjourn the 2023 Regular Session of the General Assembly sine die.,https://apps.legislature.ky.gov/record/23rs/SCR244.html
SR243,2023,RS,A RESOLUTION expressing concerns regarding the unintended consequences of the current funding methodology of the Horseracing Integrity and Safety Act (HISA).,D. Thayer; J. Schickel,Urge the Federal Trade Commission and the Horseracing Integrity and Safety Authority to review the funding methodology of the Horseracing Integrity and Safety Act.,https://apps.legislature.ky.gov/record/23rs/SR243.html
SR245,2023,RS,A RESOLUTION adjourning the Senate in honor and loving memory of Norman H. Walker.,D. Thayer,Adjourn in honor and loving memory of Norman H. Walker.,https://apps.legislature.ky.gov/record/23rs/SR245.html
SR246,2023,RS,A RESOLUTION adjourning the Senate in honor of Dalton Workman.,D. Givens; G. Williams,Adjourn the Senate in honor of Dalton Workman.,https://apps.legislature.ky.gov/record/23rs/SR246.html
SR247,2023,RS,"A RESOLUTION honoring the North Laurel Little League All-Stars, 2022 state champions.",B. Storm,"Honor the North Laurel Little League Baseball All-Stars, 2022 state champions.",https://apps.legislature.ky.gov/record/23rs/SR247.html
SR248,2023,RS,A RESOLUTION adjourning the Senate in honor and loving memory of D. Mack Justice.,P. Wheeler,Adjourn in honor and loving memory of D. Mack Justice.,https://apps.legislature.ky.gov/record/23rs/SR248.html
SR249,2023,RS,A RESOLUTION adjourning the Senate in honor and loving memory of Carol Ann Tomlinson.,P. Wheeler,Adjourn in honor and loving memory of Carol Ann Tomlinson.,https://apps.legislature.ky.gov/record/23rs/SR249.html
SR250,2023,RS,A RESOLUTION recognizing and celebrating 100 years of Kentucky credit unions.,R. Girdler,Recognize and celebrate 100 years of Kentucky credit unions.,https://apps.legislature.ky.gov/record/23rs/SR250.html
SR251,2023,RS,A RESOLUTION confirming the reappointment of William E. Summers V to the Board of Trustees of the Kentucky Retirement Systems.,J. Adams,"Confirm the reappointment of William E. Summers V to the Board of Trustees of the Kentucky Retirement Systems for a term expiring June 17, 2026.",https://apps.legislature.ky.gov/record/23rs/SR251.html
SR252,2023,RS,"A RESOLUTION honoring the Warren Central High School Dragons, 2023 KHSAA Boys' Sweet Sixteen Basketball Champions.",D. Givens; M. Wilson; M. Wise,"Honor the Warren Central High School Dragons, 2023 Boys' Sweet Sixteen Basketball Champions.",https://apps.legislature.ky.gov/record/23rs/SR252.html
SR253,2023,RS,A RESOLUTION adjourning the Senate in honor and in loving memory of Flora Mae Page Smith.,G. Neal,Adjourn in honor and loving memory of Flora Mae Page Smith.,https://apps.legislature.ky.gov/record/23rs/SR253.html
SR254,2023,RS,A RESOLUTION recognizing Simmons College of Kentucky's fifth annual Race to Greatness: A Celebration of the Black Jockeys of the Kentucky Derby.,G. Neal,"Recognize Simmons College of Kentucky's fifth annual ""Race to Greatness: A Celebration of the Black Jockeys of the Kentucky Derby.""",https://apps.legislature.ky.gov/record/23rs/SR254.html
SR255,2023,RS,"A RESOLUTION honoring the Sacred Heart Academy Valkyries, 2023 KHSAA Girls' Sweet Sixteen Basketball Champions.",J. Adams,"Honor the Sacred Heart Academy Valkyries, 2023 Girls' Sweet Sixteen Basketball Champions.",https://apps.legislature.ky.gov/record/23rs/SR255.html
SR256,2023,RS,"A RESOLUTION proclaiming April as Child Abuse Prevention Month and March 31, 2023, as Wear Blue Day in Kentucky.",J. Adams,"Proclaim April as Child Abuse Prevention Month and March 31, 2023, as Wear Blue Day in Kentucky.",https://apps.legislature.ky.gov/record/23rs/SR256.html
SR257,2023,RS,"A RESOLUTION honoring the South Laurel Senior League All-Stars, 2022 state champions.",B. Storm,"Honor the South Laurel Senior League Baseball All-Stars, 2022 state champions.",https://apps.legislature.ky.gov/record/23rs/SR257.html
SR258,2023,RS,"A RESOLUTION honoring Reed Sheppard, Kentucky's Mr. Basketball for 2023.",B. Storm,"Honor Reed Sheppard, Kentucky's Mr. Basketball for 2023.",https://apps.legislature.ky.gov/record/23rs/SR258.html
SR259,2023,RS,A RESOLUTION to adjourn the Senate in honor and loving memory of Eli Lane Hill.,B. Storm,Adjourn in honor and loving memory of Eli Lane Hill.,https://apps.legislature.ky.gov/record/23rs/SR259.html
SR260,2023,RS,A RESOLUTION urging the Kentucky Board of Education to dismiss Jason E. Glass from the office of Commissioner of Education.,L. Tichenor,Urge the Kentucky Board of Education to dismiss Jason E. Glass from the office of Commissioner of Education for his actions related to interfering with parental rights and exacerbating the teacher workforce shortage.,https://apps.legislature.ky.gov/record/23rs/SR260.html
SR261,2023,RS,A RESOLUTION adjourning the Senate in honor and loving memory of Ethan Timothy Croley.,B. Storm,Adjourn in honor and loving memory of Ethan Timothy Croley.,https://apps.legislature.ky.gov/record/23rs/SR261.html
SR262,2023,RS,A RESOLUTION adjourning the Senate in honor and loving memory of Dr. Harry Ewing Altman.,P. Wheeler,Adjourn in honor and loving memory of Dr. Harry Ewing Altman.,https://apps.legislature.ky.gov/record/23rs/SR262.html
SR263,2023,RS,A RESOLUTION adjourning the Senate in honor and loving memory of Mrs. Patsy Ruth Hall.,P. Wheeler,Adjourn in honor and loving memory of Mrs. Patsy Ruth Hall.,https://apps.legislature.ky.gov/record/23rs/SR263.html
SR264,2023,RS,A RESOLUTION adjourning the Senate in honor and loving memory of Dr. Harvey Allsbrook Page.,P. Wheeler,Adjourn in honor and loving memory of Dr. Harvey Allsbrook Page.,https://apps.legislature.ky.gov/record/23rs/SR264.html
SR265,2023,RS,A RESOLUTION requesting the Transportation Cabinet to study the benefits of increased use of recycled asphalt.,J. Higdon,Request the Transportation Cabinet to study the increased use of recycled asphalt and report findings to the Interim Joint Committee on Transportation.,https://apps.legislature.ky.gov/record/23rs/SR265.html
SR266,2023,RS,A RESOLUTION adjourning the Senate in honor and loving memory of Dallas Layne.,P. Wheeler,Adjourn in honor and loving memory of Dallas Layne.,https://apps.legislature.ky.gov/record/23rs/SR266.html
HCR89,2023,RS,"A CONCURRENT RESOLUTION adjourning the General Assembly until March 29, 2023.",S. Rudy,"Adjourn the General Assembly until March 29, 2023.",https://apps.legislature.ky.gov/record/23rs/HCR89.html
HR90,2023,RS,A RESOLUTION to commemorate April 2023 as Testicular Cancer Awareness Month in Kentucky.,P. Flannery; E. Callaway; M. Pollock,Recognize April 2023 as Testicular Cancer Awareness Month in Kentucky.,https://apps.legislature.ky.gov/record/23rs/HR90.html
HR91,2023,RS,"A RESOLUTION honoring the Tennessee Valley Authority (TVA) on its 90th anniversary and declaring May 18 to 24, 2023, as TVA Appreciation Week.",C. Freeland,"Honor  the Tennessee Valley Authority on its 90th anniversary and recognize May 18-24, 2023 as TVA Appreciation Week.",https://apps.legislature.ky.gov/record/23rs/HR91.html
SCR235,2023,RS,"A CONCURRENT RESOLUTION adjourning the General Assembly until March 29, 2023.",D. Thayer,"Adjourn the General Assembly until March 29, 2023.",https://apps.legislature.ky.gov/record/23rs/SCR235.html
SR236,2023,RS,A RESOLUTION honoring Richard J. Corman and congratulating the R.J. Corman Railroad Group on its 50-year anniversary.,D. Douglas,Honor Richard J. Corman and congratulate the R.J. Corman Railroad Group on its 50-year anniversary.,https://apps.legislature.ky.gov/record/23rs/SR236.html
SR237,2023,RS,"A RESOLUTION recognizing April 21, 2023, as Autism After 21 Day in the Commonwealth of Kentucky.",M. Wilson,"Recognize April 21, 2023, as Autism After 21 Day in the Commonwealth of Kentucky.",https://apps.legislature.ky.gov/record/23rs/SR237.html
SR238,2023,RS,"A RESOLUTION adjourning the Senate in honor and loving memory of Augustus Samuel ""Sam"" Smith.",R. Thomas,"Adjourn in honor and loving memory of Augustus Samuel ""Sam"" Smith.",https://apps.legislature.ky.gov/record/23rs/SR238.html
SR239,2023,RS,"A RESOLUTION adjourning the Senate in honor and loving memory of Dr. Frank Douglas Scutchfield, M.D.",J. Turner,Adjourn in honor and loving memory of Dr. Frank Douglas Scutchfield.,https://apps.legislature.ky.gov/record/23rs/SR239.html
SR240,2023,RS,A RESOLUTION confirming the appointment of Brandon Lee Edmiston to the Murray State University Board of Regents.,J. Howell,"Confirm the appointment of Brandon Lee Edmiston to the Murray State University Board of Regents for a term expiring June 30, 2027.",https://apps.legislature.ky.gov/record/23rs/SR240.html
SR241,2023,RS,,W. Westerfield,,https://apps.legislature.ky.gov/record/23rs/SR241.html
SR242,2023,RS,A RESOLUTION confirming the appointment of Bruce Bernard Brown to the Kentucky Housing Corporation Board of Directors.,J. Higdon,"Confirm the appointment of Bruce Bernard Brown to the Kentucky Housing Corporation Board of Directors for a term expiring December 6, 2026.",https://apps.legislature.ky.gov/record/23rs/SR242.html
SR231,2023,RS,"A RESOLUTION honoring the 150th anniversary of the charter of Masonic Lodge 543 in Calvert City, Kentucky.",D. Carroll,"Honor the 150th anniversary of the charter of Masonic Lodge 543 in Calvert City, Kentucky.",https://apps.legislature.ky.gov/record/23rs/SR231.html
SR232,2023,RS,A RESOLUTION honoring bell hooks (Dr. Gloria Jean Watkins) for her induction into the Kentucky's Women Remembered exhibit.,G. Neal,Honor bell hooks (Dr. Gloria Jean Watkins) for her induction into the Kentucky Women Remembered exhibit.,https://apps.legislature.ky.gov/record/23rs/SR232.html
SR233,2023,RS,A RESOLUTION adjourning the Senate in honor and loving memory of Ella Williams Smith.,R. Thomas,Adjourn the Senate in honor and loving memory of Ella Williams Smith.,https://apps.legislature.ky.gov/record/23rs/SR233.html
SR234,2023,RS,A RESOLUTION honoring the Valley High School chess team on winning the 2022 Under 1200 Team National High School Chess Championship.,D. Yates,"Honor the Valley High School chess team, 2022 Under 1200  Team National High School Chess Champions.",https://apps.legislature.ky.gov/record/23rs/SR234.html
HR86,2023,RS,"A RESOLUTION encouraging the Commonwealth of Kentucky to assist the United States Department of Defense by tasking the Kentucky Commission on Military Affairs, the Transportation Cabinet, and the Department of the Kentucky State Police to coordinate with the Department of Defense and the United States Army Fifth Corps at Fort Knox to develop a potential solution for obtaining Kentucky motor vehicle operator licenses for unlicensed members of the Armed Forces stationed outside the United States.",N. Tate,"Encourage the Commonwealth of Kentucky to assist the United States Department of Defense by tasking the Kentucky Commission on Military Affairs, the Transportation Cabinet, and the Department of the Kentucky State Police to coordinate with the Department of Defense and the United States Army Fifth Corps at Fort Knox to develop a potential solution for obtaining Kentucky motor vehicle operator licenses for unlicensed members of the Armed Forces stationed outside the United States.",https://apps.legislature.ky.gov/record/23rs/HR86.html
HR87,2023,RS,A RESOLUTION condemning any and all manifestations of antisemitism.,K. Bratcher,Condemn any and all manifestations of antisemitism.,https://apps.legislature.ky.gov/record/23rs/HR87.html
HR88,2023,RS,A RESOLUTION honoring the 75th anniversary of the independence of the State of Israel.,D. Grossberg; J. Hodgson; C. Aull; S. Baker; K. Banta; J. Bauman; D. Bentley; J. Blanton; T. Bojanowski; A. Bowling; J. Branscum; K. Bratcher; S. Bratcher; J. Bray; R. Bridges; G. Brown Jr.; L. Burke; E. Callaway; J. Calloway; B. Chester-Burton; M. Clines; J. Decker; S. Dietz; J. Dixon; S. Doan; M. Dossett; R. Dotson; R. Duvall; D. Elliott; D. Fister; P. Flannery; K. Fleming; D. Frazier Gordon; C. Freeland; C. Fugate; A. Gentry; J. Gooch Jr.; D. Graham; D. Hale; M. Hart; R. Heath; S. Heavrin; T. Huff; M. Imes; K. Jackson; DJ Johnson; J. Justice; K. King; M. Koch; N. Kulkarni; W. Lawrence; S. Lewis; M. Lockett; S. Maddox; C. Massaroni; B. McCool; S. McPherson; D. Meade; M. Meredith; S. Miles; K. Moser; A. Neighbors; J. Nemes; D. Osborne; R. Palumbo; J. Petrie; M. Pollock; P. Pratt; M. Proctor; F. Rabourn; S. Rawlings; R. Raymer; J. Raymond; B. Reed; S. Riley; R. Roarx; R. Roberts; S. Rudy; S. Sharp; T. Smith; S. Stalker; P. Stevenson; L. Swann; A. Tackett Laferty; N. Tate; W. Thomas; K. Timoney; J. Tipton; T. Truett; K. Upchurch; R. Webber; B. Wesley; W. Williams; N. Wilson; S. Witten,Honor the 75th anniversary of the independence of the State of Israel.,https://apps.legislature.ky.gov/record/23rs/HR88.html
SR189,2023,RS,A RESOLUTION confirming the appointment of Jack C. Porter to the Kentucky Lottery Corporation Board of Directors.,J. Schickel,"Confirm the appointment of Jack C. Porter to the Kentucky Lottery Corporation Board of Directors for a term expiring November 28, 2026.",https://apps.legislature.ky.gov/record/23rs/SR189.html
SR190,2023,RS,A RESOLUTION confirming the appointment of David L. Figg to the Kentucky Lottery Corporation Board of Directors.,J. Schickel,"Confirm the appointment of David L. Figg to the Kentucky Lottery Corporation Board of Directors for a term expiring November 28, 2026.",https://apps.legislature.ky.gov/record/23rs/SR190.html
SR191,2023,RS,"A RESOLUTION adjourning the Senate in honor and loving memory of Archie Michael ""Mike"" Mays.",R. Stivers,"Adjourn in honor and loving memory of Archie Michael ""Mike"" Mays.",https://apps.legislature.ky.gov/record/23rs/SR191.html
SR192,2023,RS,A RESOLUTION confirming the appointment of Marcie Mathews to the Kentucky Public Transportation Infrastructure Authority.,J. Higdon,"Confirm the appointment of Marcie Mathews to the Kentucky Public Transportation Infrastructure Authority for a term expiring April 28, 2026.",https://apps.legislature.ky.gov/record/23rs/SR192.html
SR193,2023,RS,A RESOLUTION confirming the appointment of Russell Romine to the Kentucky Public Transportation Infrastructure Authority.,J. Higdon,"Confirm the appointment of Russell Romine to the Kentucky Public Transportation Infrastructure Authority for a term expiring May 25, 2026.",https://apps.legislature.ky.gov/record/23rs/SR193.html
SR194,2023,RS,A RESOLUTION commemorating and honoring the life of Juanita Hughes Nolan.,R. Stivers,Commemorate and honor the life of Juanita Hughes Nolan.,https://apps.legislature.ky.gov/record/23rs/SR194.html
SR195,2023,RS,"A RESOLUTION honoring the Martin County High School Cardinals, 2023 KHSAA Boys Basketball 15th Region Champions.",P. Wheeler; J. Adams; R. Alvarado; C. Armstrong; K. Berg; G. Boswell; J. Carpenter; D. Carroll; M. Deneen; D. Douglas; S. Funke Frommeyer; R. Girdler; D. Givens; D. Harper Angel; J. Higdon; J. Howell; A. Mays Bledsoe; C. McDaniel; S. Meredith; R. Mills; G. Neal; M. Nemes; J. Schickel; B. Smith; A. Southworth; R. Stivers; B. Storm; D. Thayer; R. Thomas; L. Tichenor; J. Turner; R. Webb; S. West; W. Westerfield; G. Williams; M. Wilson; M. Wise; D. Yates,"Honor the Martin County Cardinals, 2023 KHSAA Boys Basketball 15th Region Champions.",https://apps.legislature.ky.gov/record/23rs/SR195.html
SR196,2023,RS,A RESOLUTION confirming the appointment of Angela C. Hatton to the Public Service Commission.,P. Wheeler; J. Turner,"Confirm the appointment of Angela C. Hatton to the Public Service Commission for a term expiring July 1, 2025.",https://apps.legislature.ky.gov/record/23rs/SR196.html
SR197,2023,RS,A RESOLUTION confirming the appointment of Joshua Daniel Hicks to the Board of Claims.,R. Mills,"Confirm the appointment of Joshua Daniel Hicks to the Board of Claims for a term expiring June 29, 2025.",https://apps.legislature.ky.gov/record/23rs/SR197.html
SR198,2023,RS,A RESOLUTION confirming the appointment of Marc G. Farris to the Personnel Board.,R. Mills,"Confirm the appointment of Marc G. Farris to the Personnel Board for a term expiring January 1, 2024.",https://apps.legislature.ky.gov/record/23rs/SR198.html
SR199,2023,RS,A RESOLUTION confirming the appointment of Samuel T. Wright III to the Board of Claims.,R. Mills,"Confirm the appointment of Samuel T. Wright III to the Board of Claims for a term expiring June 29, 2023.",https://apps.legislature.ky.gov/record/23rs/SR199.html
SR200,2023,RS,A RESOLUTION confirming the reappointment of Barry Grant Noffsinger to the Kentucky Housing Corporation Board of Directors.,R. Mills,"Confirm the appointment of Barry Grant Noffsinger to the Kentucky Housing Corporation Board of Directors for a term expiring October 30, 2026.",https://apps.legislature.ky.gov/record/23rs/SR200.html
SR201,2023,RS,A RESOLUTION confirming the appointment of Paul Todd Case to the University of Kentucky Board of Trustees.,P. Wheeler,"Confirm the appointment of Paul Todd Case to the University of Kentucky Board of Trustees for a term expiring June 30, 2025.",https://apps.legislature.ky.gov/record/23rs/SR201.html
SR202,2023,RS,A RESOLUTION honoring the 75th anniversary of the independence of the State of Israel.,L. Tichenor; R. Thomas,Honor the 75th anniversary of the independence of the State of Israel.,https://apps.legislature.ky.gov/record/23rs/SR202.html
SR203,2023,RS,A RESOLUTION confirming the appointment of LaDonna Guinn Rogers to the Kentucky Council on Postsecondary Education.,S. West,"Confirm the appointment of LaDonna Guinn Rogers to the Kentucky Council on Postsecondary Education for a term expiring December 31, 2028.",https://apps.legislature.ky.gov/record/23rs/SR203.html
SR204,2023,RS,A RESOLUTION confirming the appointment of Meredith Chapman Figg to the Kentucky Council on Postsecondary Education.,S. West,"Confirm the appointment of Meredith Chapman Figg to the Kentucky Council on Postsecondary Education for a term expiring December 31, 2028.",https://apps.legislature.ky.gov/record/23rs/SR204.html
SR205,2023,RS,A RESOLUTION confirming the appointment of Jennifer Sandlin Collins to the Kentucky Council on Postsecondary Education.,S. West,"Confirm the appointment of Jennifer Sandlin Collins to the Kentucky Council on Postsecondary Education for a term expiring December 31, 2028.",https://apps.legislature.ky.gov/record/23rs/SR205.html
SR206,2023,RS,A RESOLUTION confirming the appointment of Priscilla Keller to the Education Professional Standards Board.,S. West,"Confirm the appointment of Priscilla Keller to the Education Professional Standards Board for a term expiring June 30, 2024.",https://apps.legislature.ky.gov/record/23rs/SR206.html
SR207,2023,RS,A RESOLUTION confirming the appointment of Christopher John Fryer to the Education Professional Standards Board.,S. West,"Confirm the appointment of Christopher John Fryer to the Education Professional Standards Board for a term expiring June 30, 2023.",https://apps.legislature.ky.gov/record/23rs/SR207.html
SR208,2023,RS,A RESOLUTION confirming the appointment of Brian F. Lavin to the University of Louisville Board of Trustees.,S. West,"Confirm the appointment of Brian F. Lavin to the University of Louisville Board of Trustees for a term expiring January 13, 2023.",https://apps.legislature.ky.gov/record/23rs/SR208.html
SR209,2023,RS,A RESOLUTION confirming the appointment of Amy Shearer Lingo to the Education Professional Standards Board.,S. West,"Confirm the appointment of Amy Shearer Lingo to the Education Professional Standards Board for a term expiring June 30, 2023.",https://apps.legislature.ky.gov/record/23rs/SR209.html
SR210,2023,RS,A RESOLUTION confirming the appointment of Lisa Marie Rudzinski to the Education Professional Standards Board.,S. West,"Confirm the appointment of Lisa Marie Rudzinski to the Education Professional Standards Board for a term expiring June 30, 2025.",https://apps.legislature.ky.gov/record/23rs/SR210.html
SR211,2023,RS,A RESOLUTION confirming the reappointment of Betty Cook to the Governor's Postsecondary Education Nominating Committee.,S. West,"Confirm the reappointment of Betty Cook to the Governor's Postsecondary Education Nominating Committee for a term expiring April 14, 2028.",https://apps.legislature.ky.gov/record/23rs/SR211.html
SR212,2023,RS,A RESOLUTION confirming the reappointment of Lee Trover Todd to the Kentucky Board of Education.,S. West,"Confirm the reappointment of Lee Trover Todd to the Kentucky Board of Education for a term expiring April 14, 2026.",https://apps.legislature.ky.gov/record/23rs/SR212.html
SR213,2023,RS,A RESOLUTION confirming the appointment of Kathleen Kelly Rabinowitz to the Kentucky Community and Technical College System Board of Regents.,S. West,"Confirm the appointment of Kathleen Kelly Rabinowitz to the Kentucky Community and Technical College System Board of Regents for a term expiring July 21, 2028.",https://apps.legislature.ky.gov/record/23rs/SR213.html
SR214,2023,RS,A RESOLUTION confirming the appointment of Clyde B. Akins to the Kentucky Council on Postsecondary Education.,S. West,"Confirm the appointment of Clyde B. Akins to the Kentucky Council on Postsecondary Education for a term expiring December 31, 2027.",https://apps.legislature.ky.gov/record/23rs/SR214.html
SR215,2023,RS,A RESOLUTION confirming the appointment of Faith Lorraine Kemper to the Kentucky Council on Postsecondary Education.,S. West,"Confirm the appointment of Faith Lorraine Kemper to the Kentucky Council on Postsecondary Education for a term expiring December 31, 2024.",https://apps.legislature.ky.gov/record/23rs/SR215.html
SR216,2023,RS,A RESOLUTION confirming the appointment of Clinton Morris to the Governor's Postsecondary Education Nominating Committee.,S. West,"Confirm the appointment of Clinton Morris to the Governor's Postsecondary Education Nominating Committee for a term expiring April 14, 2028.",https://apps.legislature.ky.gov/record/23rs/SR216.html
SR217,2023,RS,A RESOLUTION confirming the appointment of Courtney Bourne to the Governor's Postsecondary Education Nominating Committee.,S. West,"Confirm the appointment of Courtney Bourne to the Governor's Postsecondary Education Nominating Committee for a term expiring April 14, 2024.",https://apps.legislature.ky.gov/record/23rs/SR217.html
SR218,2023,RS,A RESOLUTION confirming the appointment of Kristie Michele Whitlatch to the Eastern Kentucky University Board of Regents.,S. West,"Confirm the appointment of Kristie Michele Whitlatch to the Eastern Kentucky University Board of Regents for a term expiring June 30, 2028.",https://apps.legislature.ky.gov/record/23rs/SR218.html
SR219,2023,RS,A RESOLUTION confirming the reappointment of Justin Kyle Mitchell to the Education Professional Standards Board.,S. West,"Confirm the reappointment of Justin Kyle Mitchell to the Education Professional Standards Board for a term expiring June 30, 2025.",https://apps.legislature.ky.gov/record/23rs/SR219.html
SR220,2023,RS,A RESOLUTION confirming the reappointment of Elijah Daye Edwards to the Education Professional Standards Board.,S. West,"Confirm the reappointment of Elijah Daye Edwards to the Education Professional Standards Board for a term expiring June 30, 2025.",https://apps.legislature.ky.gov/record/23rs/SR220.html
SR221,2023,RS,A RESOLUTION confirming the reappointment of Merideth Murphy Pittman to the Education Professional Standards Board.,S. West,"Confirm the reappointment of Merideth Murphy Pttman to the Education Professional Standards Board for a term expiring June 30, 2025.",https://apps.legislature.ky.gov/record/23rs/SR221.html
SR222,2023,RS,A RESOLUTION confirming the appointment of Corinne Marie Murphy to the Education Professional Standards Board.,S. West,"Confirm the appointment of Corinne Marie Murphy to the Education Professional Standards Board for a term expiring June 30, 2024.",https://apps.legislature.ky.gov/record/23rs/SR222.html
SR223,2023,RS,A RESOLUTION confirming the appointment of Laura Prater Russell to the Morehead State University Board of Regents.,S. West,"Confirm the appointment of Laura Prater Russell to the Morehead State University Board of Regents for a term expiring June 30, 2028.",https://apps.legislature.ky.gov/record/23rs/SR223.html
SR224,2023,RS,A RESOLUTION confirming the reappointment of Craig S. Preece to the Morehead State University Board of Regents.,S. West,"Confirm the reappointment of Craig S. Preece to the Morehead State University Board of Regents for a term expiring June 30, 2028.",https://apps.legislature.ky.gov/record/23rs/SR224.html
SR225,2023,RS,A RESOLUTION confirming the appointment of Brenda Fay Gosney to the University of Kentucky Board of Trustees.,S. West,"Confirm the appointment of Brenda Fay Gosney to the University of Kentucky Board of Trustees for a term expiring June 30, 2028.",https://apps.legislature.ky.gov/record/23rs/SR225.html
SR226,2023,RS,A RESOLUTION confirming the appointment of Ramsey Bova to the Board of Trustees of the Kentucky Retirement Systems.,J. Higdon,"Confirm the appointment of Ramsey Bova to the Board of Trustees of the Kentucky Retirement Systems for a term expiring June 17, 2026.",https://apps.legislature.ky.gov/record/23rs/SR226.html
SR227,2023,RS,A RESOLUTION condemning any and all manifestations of antisemitism.,D. Douglas,Condemn any and all manifestations of antisemitism.,https://apps.legislature.ky.gov/record/23rs/SR227.html
SR228,2023,RS,,M. Wise,,https://apps.legislature.ky.gov/record/23rs/SR228.html
SR229,2023,RS,A RESOLUTION confirming the appointment of Brad Zapp to the Northern Kentucky University Board of Regents.,C. McDaniel,"Confirm the appointment of Brad Zapp to the Northern Kentucky University Board of Regents for a term expiring June 30, 2028.",https://apps.legislature.ky.gov/record/23rs/SR229.html
