bill_number,session_year,session_type,action_date,action,order
SR249,2023,RS,2023-03-29,adopted by voice vote,3
SR250,2023,RS,2023-03-29,introduced in Senate,1
SR250,2023,RS,2023-03-29,to Committee on Committees (S),2
SR250,2023,RS,2023-03-29,adopted by voice vote,3
SR251,2023,RS,2023-03-29,introduced in Senate,1
SR251,2023,RS,2023-03-29,to Committee on Committees (S),2
SR251,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",3
SR251,2023,RS,2023-03-30,adopted 37-0,4
SR252,2023,RS,2023-03-29,introduced in Senate,1
SR252,2023,RS,2023-03-29,to Committee on Committees (S),2
SR252,2023,RS,2023-03-30,adopted by voice vote,3
SR253,2023,RS,2023-03-29,introduced in Senate,1
SR253,2023,RS,2023-03-29,to Committee on Committees (S),2
SR253,2023,RS,2023-03-29,adopted by voice vote,3
SR254,2023,RS,2023-03-29,introduced in Senate,1
SR254,2023,RS,2023-03-29,to Committee on Committees (S),2
SR254,2023,RS,2023-03-29,adopted by voice vote,3
SR255,2023,RS,2023-03-29,introduced in Senate,1
SR255,2023,RS,2023-03-29,to Committee on Committees (S),2
SR255,2023,RS,2023-03-30,adopted by voice vote,3
SR256,2023,RS,2023-03-29,introduced in Senate,1
SR256,2023,RS,2023-03-29,to Committee on Committees (S),2
SR256,2023,RS,2023-03-30,adopted by voice vote,3
SR257,2023,RS,2023-03-29,introduced in Senate,1
SR257,2023,RS,2023-03-29,to Committee on Committees (S),2
SR257,2023,RS,2023-03-29,adopted by voice vote,3
SR258,2023,RS,2023-03-29,introduced in Senate,1
SR258,2023,RS,2023-03-29,to Committee on Committees (S),2
SR258,2023,RS,2023-03-29,adopted by voice vote,3
SR259,2023,RS,2023-03-29,introduced in Senate,1
SR259,2023,RS,2023-03-29,to Committee on Committees (S),2
SR259,2023,RS,2023-03-29,adopted by voice vote,3
SR260,2023,RS,2023-03-29,introduced in Senate,1
SR260,2023,RS,2023-03-29,to Committee on Committees (S),2
SR261,2023,RS,2023-03-29,introduced in Senate,1
SR261,2023,RS,2023-03-29,to Committee on Committees (S),2
SR261,2023,RS,2023-03-29,adopted by voice vote,3
SR262,2023,RS,2023-03-29,introduced in Senate,1
SR262,2023,RS,2023-03-29,to Committee on Committees (S),2
SR262,2023,RS,2023-03-29,adopted by voice vote,3
SR263,2023,RS,2023-03-29,introduced in Senate,1
SR263,2023,RS,2023-03-29,to Committee on Committees (S),2
SR263,2023,RS,2023-03-29,adopted by voice vote,3
SR264,2023,RS,2023-03-29,introduced in Senate,1
SR264,2023,RS,2023-03-29,to Committee on Committees (S),2
SR264,2023,RS,2023-03-29,adopted by voice vote,3
SR265,2023,RS,2023-03-29,introduced in Senate,1
SR265,2023,RS,2023-03-29,to Committee on Committees (S),2
SR265,2023,RS,2023-03-30,adopted,3
SR266,2023,RS,2023-03-29,introduced in Senate,1
SR266,2023,RS,2023-03-29,to Committee on Committees (S),2
SR266,2023,RS,2023-03-29,adopted by voice vote,3
HCR89,2023,RS,2023-03-15,introduced in House,1
HCR89,2023,RS,2023-03-15,to Committee on Committees (H),2
HCR89,2023,RS,2023-03-15,taken from Committee on Committees (H),3
HCR89,2023,RS,2023-03-15,placed in the Orders of the Day,4
HCR89,2023,RS,2023-03-16,"3rd reading, passed 94-0",5
HCR89,2023,RS,2023-03-16,received in Senate,6
HR90,2023,RS,2023-03-15,introduced in House,1
HR90,2023,RS,2023-03-15,to Committee on Committees (H),2
HR90,2023,RS,2023-03-16,taken from Committee on Committees (H),3
HR90,2023,RS,2023-03-16,to House Floor,4
HR90,2023,RS,2023-03-29,adopted by voice vote,5
HR91,2023,RS,2023-03-15,introduced in House,1
HR91,2023,RS,2023-03-15,to Committee on Committees (H),2
HR91,2023,RS,2023-03-16,taken from Committee on Committees (H),3
HR91,2023,RS,2023-03-16,to House Floor,4
HR91,2023,RS,2023-03-16,adopted by voice vote,5
SCR235,2023,RS,2023-03-15,introduced in Senate,1
SCR235,2023,RS,2023-03-15,to Committee on Committees (S),2
SR236,2023,RS,2023-03-15,introduced in Senate,1
SR236,2023,RS,2023-03-15,to Committee on Committees (S),2
SR236,2023,RS,2023-03-29,to Senate Floor,3
SR236,2023,RS,2023-03-30,adopted by voice vote,4
SR237,2023,RS,2023-03-15,introduced in Senate,1
SR237,2023,RS,2023-03-15,to Committee on Committees (S),2
SR237,2023,RS,2023-03-29,to Senate Floor,3
SR237,2023,RS,2023-03-30,adopted by voice vote,4
SR238,2023,RS,2023-03-15,introduced in Senate,1
SR238,2023,RS,2023-03-15,to Committee on Committees (S),2
SR238,2023,RS,2023-03-16,adopted by voice vote,3
SR239,2023,RS,2023-03-15,introduced in Senate,1
SR239,2023,RS,2023-03-15,to Committee on Committees (S),2
SR239,2023,RS,2023-03-29,to Senate Floor,3
SR239,2023,RS,2023-03-29,adopted by voice vote,4
SR240,2023,RS,2023-03-15,introduced in Senate,1
SR240,2023,RS,2023-03-15,to Committee on Committees (S),2
SR242,2023,RS,2023-03-15,introduced in Senate,1
SR242,2023,RS,2023-03-15,to Committee on Committees (S),2
SR242,2023,RS,2023-03-29,to Rules (S),3
SR242,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR242,2023,RS,2023-03-30,adopted 37-0,5
SR231,2023,RS,2023-03-14,introduced in Senate,1
SR231,2023,RS,2023-03-14,to Committee on Committees (S),2
SR231,2023,RS,2023-03-29,to Senate Floor,3
SR231,2023,RS,2023-03-30,adopted by voice vote,4
SR232,2023,RS,2023-03-14,introduced in Senate,1
SR232,2023,RS,2023-03-14,to Committee on Committees (S),2
SR232,2023,RS,2023-03-15,adopted by voice vote,3
SR233,2023,RS,2023-03-14,introduced in Senate,1
SR233,2023,RS,2023-03-14,to Committee on Committees (S),2
SR233,2023,RS,2023-03-16,adopted by voice vote,3
SR234,2023,RS,2023-03-14,introduced in Senate,1
SR234,2023,RS,2023-03-14,to Committee on Committees (S),2
SR234,2023,RS,2023-03-29,to Senate Floor,3
SR234,2023,RS,2023-03-29,adopted by voice vote,4
HR86,2023,RS,2023-03-13,introduced in House,1
HR86,2023,RS,2023-03-13,to Committee on Committees (H),2
HR86,2023,RS,2023-03-15,to House Floor,3
HR86,2023,RS,2023-03-30,adopted by voice vote,4
HR87,2023,RS,2023-03-13,introduced in House,1
HR87,2023,RS,2023-03-13,to Committee on Committees (H),2
HR87,2023,RS,2023-03-15,to House Floor,3
HR87,2023,RS,2023-03-15,adopted by voice vote,4
HR88,2023,RS,2023-03-13,introduced in House,1
HR88,2023,RS,2023-03-13,to Committee on Committees (H),2
HR88,2023,RS,2023-03-15,to House Floor,3
HR88,2023,RS,2023-03-15,adopted by voice vote,4
SR189,2023,RS,2023-03-13,introduced in Senate,1
SR189,2023,RS,2023-03-13,to Committee on Committees (S),2
SR189,2023,RS,2023-03-16,to Licensing & Occupations (S),3
SR189,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR189,2023,RS,2023-03-30,adopted 37-0,5
SR190,2023,RS,2023-03-13,introduced in Senate,1
SR190,2023,RS,2023-03-13,to Committee on Committees (S),2
SR190,2023,RS,2023-03-16,to Licensing & Occupations (S),3
SR190,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR190,2023,RS,2023-03-30,adopted 37-0,5
SR191,2023,RS,2023-03-13,introduced in Senate,1
SR191,2023,RS,2023-03-13,to Committee on Committees (S),2
SR191,2023,RS,2023-03-29,to Senate Floor,3
SR191,2023,RS,2023-03-30,adopted by voice vote,4
SR192,2023,RS,2023-03-13,introduced in Senate,1
SR192,2023,RS,2023-03-13,to Committee on Committees (S),2
SR192,2023,RS,2023-03-16,to Transportation (S),3
SR192,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR192,2023,RS,2023-03-30,adopted 37-0,5
SR193,2023,RS,2023-03-13,introduced in Senate,1
SR193,2023,RS,2023-03-13,to Committee on Committees (S),2
SR193,2023,RS,2023-03-16,to Transportation (S),3
SR193,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR193,2023,RS,2023-03-30,adopted 37-0,5
SR194,2023,RS,2023-03-13,introduced in Senate,1
SR194,2023,RS,2023-03-13,to Committee on Committees (S),2
SR194,2023,RS,2023-03-16,to Senate Floor,3
SR194,2023,RS,2023-03-30,adopted by voice vote,4
SR195,2023,RS,2023-03-13,introduced in Senate,1
SR195,2023,RS,2023-03-13,to Committee on Committees (S),2
SR195,2023,RS,2023-03-14,adopted by voice vote,3
SR196,2023,RS,2023-03-13,introduced in Senate,1
SR196,2023,RS,2023-03-13,to Committee on Committees (S),2
SR196,2023,RS,2023-03-16,to Natural Resources & Energy (S),3
SR196,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR196,2023,RS,2023-03-30,adopted 35-1,5
SR197,2023,RS,2023-03-13,introduced in Senate,1
SR197,2023,RS,2023-03-13,to Committee on Committees (S),2
SR197,2023,RS,2023-03-16,to State & Local Government (S),3
SR198,2023,RS,2023-03-13,introduced in Senate,1
SR198,2023,RS,2023-03-13,to Committee on Committees (S),2
SR198,2023,RS,2023-03-16,to State & Local Government (S),3
SR198,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR198,2023,RS,2023-03-30,adopted 37-0,5
SR199,2023,RS,2023-03-13,introduced in Senate,1
SR199,2023,RS,2023-03-13,to Committee on Committees (S),2
SR199,2023,RS,2023-03-16,to State & Local Government (S),3
SR199,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR199,2023,RS,2023-03-30,adopted 37-0,5
SR200,2023,RS,2023-03-13,introduced in Senate,1
SR200,2023,RS,2023-03-13,to Committee on Committees (S),2
SR200,2023,RS,2023-03-16,to State & Local Government (S),3
SR200,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR200,2023,RS,2023-03-30,adopted 37-0,5
SR201,2023,RS,2023-03-13,introduced in Senate,1
SR201,2023,RS,2023-03-13,to Committee on Committees (S),2
SR201,2023,RS,2023-03-16,to Education (S),3
SR201,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR201,2023,RS,2023-03-30,adopted 37-0,5
SR202,2023,RS,2023-03-13,introduced in Senate,1
SR202,2023,RS,2023-03-13,to Committee on Committees (S),2
SR202,2023,RS,2023-03-15,adopted by voice vote,3
SR203,2023,RS,2023-03-13,introduced in Senate,1
SR203,2023,RS,2023-03-13,to Committee on Committees (S),2
SR203,2023,RS,2023-03-16,to Education (S),3
SR203,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR203,2023,RS,2023-03-30,adopted 37-0,5
SR204,2023,RS,2023-03-13,introduced in Senate,1
SR204,2023,RS,2023-03-13,to Committee on Committees (S),2
SR204,2023,RS,2023-03-16,to Education (S),3
SR204,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR204,2023,RS,2023-03-30,adopted 37-0,5
SR205,2023,RS,2023-03-13,introduced in Senate,1
SR205,2023,RS,2023-03-13,to Committee on Committees (S),2
SR205,2023,RS,2023-03-16,to Education (S),3
SR205,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR205,2023,RS,2023-03-30,adopted 37-0,5
SR206,2023,RS,2023-03-13,introduced in Senate,1
SR206,2023,RS,2023-03-13,to Committee on Committees (S),2
SR206,2023,RS,2023-03-16,to Education (S),3
SR206,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR206,2023,RS,2023-03-30,adopted 37-0,5
SR207,2023,RS,2023-03-13,introduced in Senate,1
SR207,2023,RS,2023-03-13,to Committee on Committees (S),2
SR207,2023,RS,2023-03-16,to Education (S),3
SR207,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR207,2023,RS,2023-03-30,adopted 37-0,5
SR208,2023,RS,2023-03-13,introduced in Senate,1
SR208,2023,RS,2023-03-13,to Committee on Committees (S),2
SR208,2023,RS,2023-03-16,to Education (S),3
SR208,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR208,2023,RS,2023-03-30,adopted 37-0,5
SR209,2023,RS,2023-03-13,introduced in Senate,1
SR209,2023,RS,2023-03-13,to Committee on Committees (S),2
SR209,2023,RS,2023-03-16,to Education (S),3
SR209,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR209,2023,RS,2023-03-30,adopted 37-0,5
SR210,2023,RS,2023-03-13,introduced in Senate,1
SR210,2023,RS,2023-03-13,to Committee on Committees (S),2
SR210,2023,RS,2023-03-16,to Education (S),3
SR210,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR210,2023,RS,2023-03-30,adopted 37-0,5
SR211,2023,RS,2023-03-13,introduced in Senate,1
SR211,2023,RS,2023-03-13,to Committee on Committees (S),2
SR211,2023,RS,2023-03-16,to Education (S),3
SR211,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR211,2023,RS,2023-03-30,adopted 37-0,5
SR212,2023,RS,2023-03-13,introduced in Senate,1
SR212,2023,RS,2023-03-13,to Committee on Committees (S),2
SR212,2023,RS,2023-03-16,to Education (S),3
SR212,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR212,2023,RS,2023-03-30,adopted 37-0,5
SR213,2023,RS,2023-03-13,introduced in Senate,1
SR213,2023,RS,2023-03-13,to Committee on Committees (S),2
SR213,2023,RS,2023-03-16,to Education (S),3
SR213,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR213,2023,RS,2023-03-30,adopted 37-0,5
SR214,2023,RS,2023-03-13,introduced in Senate,1
SR214,2023,RS,2023-03-13,to Committee on Committees (S),2
SR214,2023,RS,2023-03-16,to Education (S),3
SR214,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR214,2023,RS,2023-03-30,adopted 37-0,5
SR215,2023,RS,2023-03-13,introduced in Senate,1
SR215,2023,RS,2023-03-13,to Committee on Committees (S),2
SR215,2023,RS,2023-03-16,to Education (S),3
SR215,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR215,2023,RS,2023-03-30,adopted 37-0,5
SR216,2023,RS,2023-03-13,introduced in Senate,1
SR216,2023,RS,2023-03-13,to Committee on Committees (S),2
SR216,2023,RS,2023-03-16,to Education (S),3
SR216,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR216,2023,RS,2023-03-30,adopted 37-0,5
SR217,2023,RS,2023-03-13,introduced in Senate,1
SR217,2023,RS,2023-03-13,to Committee on Committees (S),2
SR217,2023,RS,2023-03-16,to Education (S),3
SR217,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR217,2023,RS,2023-03-30,adopted 37-0,5
SR218,2023,RS,2023-03-13,introduced in Senate,1
SR218,2023,RS,2023-03-13,to Committee on Committees (S),2
SR218,2023,RS,2023-03-16,to Education (S),3
SR218,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR218,2023,RS,2023-03-30,taken from the Consent Orders of the Day,5
SR219,2023,RS,2023-03-13,introduced in Senate,1
SR219,2023,RS,2023-03-13,to Committee on Committees (S),2
SR219,2023,RS,2023-03-16,to Education (S),3
SR219,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR219,2023,RS,2023-03-30,adopted 37-0,5
SR220,2023,RS,2023-03-13,introduced in Senate,1
SR220,2023,RS,2023-03-13,to Committee on Committees (S),2
SR220,2023,RS,2023-03-16,to Education (S),3
SR220,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR220,2023,RS,2023-03-30,adopted 37-0,5
SR221,2023,RS,2023-03-13,introduced in Senate,1
SR221,2023,RS,2023-03-13,to Committee on Committees (S),2
SR221,2023,RS,2023-03-16,to Education (S),3
SR221,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR221,2023,RS,2023-03-30,adopted 37-0,5
SR222,2023,RS,2023-03-13,introduced in Senate,1
SR222,2023,RS,2023-03-13,to Committee on Committees (S),2
SR222,2023,RS,2023-03-16,to Education (S),3
SR222,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR222,2023,RS,2023-03-30,adopted 37-0,5
SR223,2023,RS,2023-03-13,introduced in Senate,1
SR223,2023,RS,2023-03-13,to Committee on Committees (S),2
SR223,2023,RS,2023-03-16,to Education (S),3
SR223,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR223,2023,RS,2023-03-30,adopted 37-0,5
SR224,2023,RS,2023-03-13,introduced in Senate,1
SR224,2023,RS,2023-03-13,to Committee on Committees (S),2
SR224,2023,RS,2023-03-16,to Education (S),3
SR224,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR224,2023,RS,2023-03-30,adopted 37-0,5
SR225,2023,RS,2023-03-13,introduced in Senate,1
SR225,2023,RS,2023-03-13,to Committee on Committees (S),2
SR225,2023,RS,2023-03-16,to Education (S),3
SR225,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR225,2023,RS,2023-03-30,adopted 37-0,5
SR226,2023,RS,2023-03-13,introduced in Senate,1
SR226,2023,RS,2023-03-13,to Committee on Committees (S),2
SR226,2023,RS,2023-03-16,to Education (S),3
SR226,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR226,2023,RS,2023-03-30,adopted 37-0,5
SR227,2023,RS,2023-03-13,introduced in Senate,1
SR227,2023,RS,2023-03-13,to Committee on Committees (S),2
SR227,2023,RS,2023-03-15,adopted by voice vote,3
SR229,2023,RS,2023-03-13,introduced in Senate,1
SR229,2023,RS,2023-03-13,to Committee on Committees (S),2
SR229,2023,RS,2023-03-16,to Education (S),3
SR229,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR229,2023,RS,2023-03-30,adopted 37-0,5
SR230,2023,RS,2023-03-13,introduced in Senate,1
SR230,2023,RS,2023-03-13,to Committee on Committees (S),2
SR230,2023,RS,2023-03-16,to Senate Floor,3
SR230,2023,RS,2023-03-30,adopted by voice vote,4
SR168,2023,RS,2023-03-10,introduced in Senate,1
SR168,2023,RS,2023-03-10,to Committee on Committees (S),2
SR168,2023,RS,2023-03-13,to Senate Floor,3
SR168,2023,RS,2023-03-30,adopted,4
SR169,2023,RS,2023-03-10,introduced in Senate,1
SR169,2023,RS,2023-03-10,to Committee on Committees (S),2
SR169,2023,RS,2023-03-13,to Senate Floor,3
SR169,2023,RS,2023-03-16,adopted by voice vote,4
SR170,2023,RS,2023-03-10,introduced in Senate,1
SR170,2023,RS,2023-03-10,to Committee on Committees (S),2
SR172,2023,RS,2023-03-10,introduced in Senate,1
SR172,2023,RS,2023-03-10,to Committee on Committees (S),2
SR172,2023,RS,2023-03-14,to Education (S),3
SR172,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR172,2023,RS,2023-03-30,adopted 37-0,5
SR173,2023,RS,2023-03-10,introduced in Senate,1
SR173,2023,RS,2023-03-10,to Committee on Committees (S),2
SR173,2023,RS,2023-03-14,to Education (S),3
SR173,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR173,2023,RS,2023-03-30,adopted 37-0,5
SR174,2023,RS,2023-03-10,introduced in Senate,1
SR174,2023,RS,2023-03-10,to Committee on Committees (S),2
SR174,2023,RS,2023-03-14,to Education (S),3
SR174,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR174,2023,RS,2023-03-30,adopted 37-0,5
SR175,2023,RS,2023-03-10,introduced in Senate,1
SR175,2023,RS,2023-03-10,to Committee on Committees (S),2
SR175,2023,RS,2023-03-13,to Senate Floor,3
SR175,2023,RS,2023-03-30,adopted by voice vote,4
SR176,2023,RS,2023-03-10,introduced in Senate,1
SR176,2023,RS,2023-03-10,to Committee on Committees (S),2
SR176,2023,RS,2023-03-14,to Agriculture (S),3
SR176,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR176,2023,RS,2023-03-30,adopted 37-0,5
SR177,2023,RS,2023-03-10,introduced in Senate,1
SR177,2023,RS,2023-03-10,to Committee on Committees (S),2
SR177,2023,RS,2023-03-14,to Agriculture (S),3
SR177,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR177,2023,RS,2023-03-30,adopted 37-0,5
SR178,2023,RS,2023-03-10,introduced in Senate,1
SR178,2023,RS,2023-03-10,to Committee on Committees (S),2
SR178,2023,RS,2023-03-14,to Agriculture (S),3
SR178,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR178,2023,RS,2023-03-30,adopted 37-0,5
SR179,2023,RS,2023-03-10,introduced in Senate,1
SR179,2023,RS,2023-03-10,to Committee on Committees (S),2
SR179,2023,RS,2023-03-14,to Agriculture (S),3
SR179,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR179,2023,RS,2023-03-30,adopted 37-0,5
SR180,2023,RS,2023-03-10,introduced in Senate,1
SR180,2023,RS,2023-03-10,to Committee on Committees (S),2
SR180,2023,RS,2023-03-14,to Agriculture (S),3
SR180,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",4
SR180,2023,RS,2023-03-30,adopted 37-0,5
SR181,2023,RS,2023-03-10,introduced in Senate,1
SR181,2023,RS,2023-03-10,to Committee on Committees (S),2
SR181,2023,RS,2023-03-10,taken from Committee on Committees (S),3
SR181,2023,RS,2023-03-10,adopted by voice vote,4
SR182,2023,RS,2023-03-10,introduced in Senate,1
SR182,2023,RS,2023-03-10,to Committee on Committees (S),2
SR182,2023,RS,2023-03-14,to Health Services (S),3
SR182,2023,RS,2023-03-29,reported favorably as a consent bill,4
SR182,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",5
SR182,2023,RS,2023-03-30,adopted 37-0,6
SR183,2023,RS,2023-03-10,introduced in Senate,1
SR183,2023,RS,2023-03-10,to Committee on Committees (S),2
SR183,2023,RS,2023-03-14,to Health Services (S),3
SR183,2023,RS,2023-03-29,reported favorably as a consent bill,4
SR183,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",5
SR183,2023,RS,2023-03-30,adopted 37-0,6
SR184,2023,RS,2023-03-10,introduced in Senate,1
SR184,2023,RS,2023-03-10,to Committee on Committees (S),2
SR184,2023,RS,2023-03-14,to Health Services (S),3
SR184,2023,RS,2023-03-29,reported favorably as a consent bill,4
SR184,2023,RS,2023-03-30,"posted for passage in the Consent Orders of the Day for Thursday, March 30, 2023",5
SR184,2023,RS,2023-03-30,adopted 37-0,6
SR185,2023,RS,2023-03-10,introduced in Senate,1
SR185,2023,RS,2023-03-10,to Committee on Committees (S),2
SR185,2023,RS,2023-03-14,to Judiciary (S),3
