bill_id,session,chamber,action_date,action,order,journal_page
SB0008,2023_2024_RS,Senate,2023-01-26,"Hearing: Thursday, January 26, 2023, 9:30 AM Room 548-S",4,
SB0008,2023_2024_RS,Senate,2023-01-10,Referred toCommittee on Assessment and Taxation,3,
SB0008,2023_2024_RS,Senate,2023-01-09,Introduced,2,
SB0008,2023_2024_RS,Senate,2023-01-09,"Prefiled for Introduction on Tuesday, January 3, 2023",1,
SB0009,2023_2024_RS,Senate,2024-04-30,Died in Committee,4,
SB0009,2023_2024_RS,Senate,2023-01-10,Referred toCommittee on Judiciary,3,10
SB0009,2023_2024_RS,Senate,2023-01-09,Introduced,2,3
SB0009,2023_2024_RS,Senate,2023-01-09,"Prefiled for Introduction on Tuesday, January 3, 2023",1,
SB0010,2023_2024_RS,Senate,2024-04-30,Died in Committee,4,
SB0010,2023_2024_RS,Senate,2023-01-10,Referred toCommittee on Ways and Means,3,10
SB0010,2023_2024_RS,Senate,2023-01-09,Introduced,2,3
SB0010,2023_2024_RS,Senate,2023-01-09,"Prefiled for Introduction on Thursday, January 5, 2023",1,
SB0011,2023_2024_RS,Senate,2023-03-13,"Approved by Governor on Monday, March 13, 2023",14,
SB0011,2023_2024_RS,Senate,2023-03-03,"Enrolled and presented to Governor on Friday, March 3, 2023",13,
SB0011,2023_2024_RS,House,2023-02-23,Final Action - Passed; Yea: 122 Nay: 0,12,
SB0011,2023_2024_RS,House,2023-02-20,Committee Report recommending bill be passed and placed on Consent Calendar by,11,
SB0011,2023_2024_RS,House,2023-02-20,"Hearing: Monday, February 20, 2023, 9:00 AM Room 218-N",10,
SB0011,2023_2024_RS,House,2023-02-10,Referred toCommittee on Legislative Modernization,9,
SB0011,2023_2024_RS,House,2023-02-10,Received and Introduced,8,
SB0011,2023_2024_RS,Senate,2023-02-09,Consent Calendar Passed Yea: 39 Nay: 0,7,
SB0011,2023_2024_RS,Senate,2023-01-31,Committee Report recommending bill be passed and placed on Consent Calendar by,6,
SB0011,2023_2024_RS,Senate,2023-01-25,"Hearing: Wednesday, January 25, 2023, 10:30 AM Room 144-S",5,
SB0011,2023_2024_RS,Senate,2023-01-11,Withdrawn from Committee on Ways and Means; Referred toCommittee on Federal and State Affairs,4,
SB0011,2023_2024_RS,Senate,2023-01-10,Referred toCommittee on Ways and Means,3,
SB0011,2023_2024_RS,Senate,2023-01-09,Introduced,2,
SB0011,2023_2024_RS,Senate,2023-01-09,"Prefiled for Introduction on Thursday, January 5, 2023",1,
SB0012,2023_2024_RS,Senate,2024-04-30,Died in Committee,6,
SB0012,2023_2024_RS,Senate,2023-01-11,Referred separately toCommittee on Public Health and Welfare and Committee on Judiciary,5,16
SB0012,2023_2024_RS,Senate,2023-01-11,Withdrawn from Committee on Judiciary,4,16
SB0012,2023_2024_RS,Senate,2023-01-10,Referred toCommittee on Judiciary,3,10
SB0012,2023_2024_RS,Senate,2023-01-09,Introduced,2,3
SB0012,2023_2024_RS,Senate,2023-01-09,"Prefiled for Introduction on Thursday, January 5, 2023",1,
SB0013,2023_2024_RS,House,2023-03-29,Stricken from Calendar by Rule 1507,13,
SB0013,2023_2024_RS,House,2023-03-21,Committee Report recommending bill be passed as amended byCommittee on Education,12,
SB0013,2023_2024_RS,House,2023-03-13,"Hearing: Monday, March 13, 2023, 1:30 PM Room 218-N",11,
SB0013,2023_2024_RS,House,2023-03-01,Referred toCommittee on Education,10,
SB0013,2023_2024_RS,House,2023-03-01,Received and Introduced,9,
SB0013,2023_2024_RS,Senate,2023-02-23,Emergency Final Action - Passed as amended; Yea: 39 Nay: 0,8,
SB0013,2023_2024_RS,Senate,2023-02-23,Committee of the Whole - Be passed as amended,7,
SB0013,2023_2024_RS,Senate,2023-02-23,Committee of the Whole - Committee Report be adopted,6,
SB0013,2023_2024_RS,Senate,2023-02-22,Committee Report recommending bill be passed as amended byCommittee on Education,5,
SB0013,2023_2024_RS,Senate,2023-01-23,"Hearing: Monday, January 23, 2023, 1:30 PM Room 144-S",4,
SB0013,2023_2024_RS,Senate,2023-01-10,Referred toCommittee on Education,3,
SB0013,2023_2024_RS,Senate,2023-01-09,Introduced,2,
SB0013,2023_2024_RS,Senate,2023-01-09,"Prefiled for Introduction on Friday, January 6, 2023",1,
SB0014,2023_2024_RS,Senate,2024-04-30,Died in Conference,26,
SB0014,2023_2024_RS,House,2024-04-05,"Motion to accede adopted; Representative Proctor, Representative Waggoner and Representative Woodard appointed as third conferees",25,
SB0014,2023_2024_RS,Senate,2024-04-04,"Conference Committee Report not adopted; Senator Thompson, Senator Kloos and Senator Faust-Goudeau appointed as third conferees",24,
SB0014,2023_2024_RS,Senate,2024-04-04,Motion to reconsider previous action adopted.,23,
SB0014,2023_2024_RS,Senate,2024-04-04,Conference Committee Report not adopted; Yea: 20 Nay: 19,22,
SB0014,2023_2024_RS,House,2024-04-04,Conference Committee Report was adopted; Yea: 73 Nay: 48,21,
SB0014,2023_2024_RS,House,2024-04-04,Conference committee report now available,20,
SB0014,2023_2024_RS,Senate,2023-04-05,"Conference Committee Report agree to disagree adopted; Senator Thompson, Senator Kloos and Senator Faust-Goudeau appointed as second conferees",19,
SB0014,2023_2024_RS,House,2023-04-05,"Conference Committee Report agree to disagree adopted; Representative Proctor, Representative Waggoner and Representative Woodard appointed as second conferees",18,
SB0014,2023_2024_RS,House,2023-04-05,Conference committee report now available,17,
SB0014,2023_2024_RS,House,2023-04-05,"Representative Proctor, Representative Waggoner, and Representative Woodard are appointed to replace Representative Sutton, Representative Penn, and Representative Neighbor on the Conference Committee",16,
SB0014,2023_2024_RS,Senate,2023-04-05,"Senator Thompson, Senator Kloos, and Senator Faust-Goudeau are appointed to replace Senator Longbine, Senator Fagg, and Senator Holscher on the Conference Committee",15,
SB0014,2023_2024_RS,House,2023-03-21,"Motion to accede adopted; Representative Sutton, Representative Penn and Representative Neighbor appointed as conferees",14,
SB0014,2023_2024_RS,Senate,2023-03-16,"Nonconcurred with amendments; Conference Committee requested; appointedSenator Longbine , Senator Fagg and Senator Holscher as conferees",13,
SB0014,2023_2024_RS,House,2023-03-16,Emergency Final Action - Passed as amended; Yea: 121 Nay: 0,12,
SB0014,2023_2024_RS,House,2023-03-16,Committee of the Whole - Be passed as amended,11,
SB0014,2023_2024_RS,House,2023-03-16,Committee of the Whole - Committee Report be adopted,10,
SB0014,2023_2024_RS,House,2023-03-09,Committee Report recommending bill be passed as amended byCommittee on Insurance,9,
SB0014,2023_2024_RS,House,2023-02-10,Referred toCommittee on Insurance,8,
SB0014,2023_2024_RS,House,2023-02-10,Received and Introduced,7,
SB0014,2023_2024_RS,Senate,2023-02-09,Emergency Final Action - Passed; Yea: 39 Nay: 0,6,
SB0014,2023_2024_RS,Senate,2023-02-09,Committee of the Whole - Be passed,5,
SB0014,2023_2024_RS,Senate,2023-02-02,Committee Report recommending bill be passed byCommittee on Financial Institutions and Insurance,4,
SB0014,2023_2024_RS,Senate,2023-01-24,"Hearing: Tuesday, January 24, 2023, 9:30 AM Room 546-S",3,
SB0014,2023_2024_RS,Senate,2023-01-11,Referred toCommittee on Financial Institutions and Insurance,2,
SB0014,2023_2024_RS,Senate,2023-01-10,Introduced,1,
SB0015,2023_2024_RS,Senate,2024-02-08,"Approved by Governor on Thursday, February 8, 2024",23,
SB0015,2023_2024_RS,Senate,2024-02-02,"Enrolled and presented to Governor on Friday, February 2, 2024",22,
SB0015,2023_2024_RS,Senate,2024-01-31,Conference Committee Report was adopted; Yea: 34 Nay: 0,21,
SB0015,2023_2024_RS,House,2024-01-31,Conference Committee Report was adopted; Yea: 117 Nay: 1,20,
SB0015,2023_2024_RS,House,2024-01-29,Conference committee report now available,19,
SB0015,2023_2024_RS,House,2024-01-18,"Representative Tarwater, Representative Mason, and Representative Probst are appointed to replace Representative Smith, A., Representative Bergkamp, and Representative Sawyer on the Conference Committee",18,
SB0015,2023_2024_RS,Senate,2024-01-17,Senator Corson is appointed to replace Senator Holland on the Conference Committee,17,
SB0015,2023_2024_RS,Senate,2024-01-16,"Senator Tyson, Senator Peck, and Senator Holland are appointed to replace Senator Longbine, Senator Fagg, and Senator Holscher on the Conference Committee",16,
SB0015,2023_2024_RS,House,2024-01-16,"Representative Smith, A., Representative Bergkamp, and Representative Sawyer are appointed to replace Representative Sutton, Representative Penn, and Representative Neighbor on the Conference Committee",15,
SB0015,2023_2024_RS,House,2023-03-27,"Motion to accede adopted; Representative Sutton, Representative Penn and Representative Neighbor appointed as conferees",14,
SB0015,2023_2024_RS,Senate,2023-03-23,"Nonconcurred with amendments; Conference Committee requested; appointedSenator Longbine , Senator Fagg and Senator Holscher as conferees",13,
SB0015,2023_2024_RS,House,2023-03-23,Emergency Final Action - Passed as amended; Yea: 104 Nay: 18,12,
SB0015,2023_2024_RS,House,2023-03-23,Committee of the Whole - Be passed as amended,11,
SB0015,2023_2024_RS,House,2023-03-23,Committee of the Whole - Committee Report be adopted,10,
SB0015,2023_2024_RS,House,2023-03-09,Committee Report recommending bill be passed as amended byCommittee on Insurance,9,
SB0015,2023_2024_RS,House,2023-02-10,Referred toCommittee on Insurance,8,
SB0015,2023_2024_RS,House,2023-02-10,Received and Introduced,7,
SB0015,2023_2024_RS,Senate,2023-02-09,Emergency Final Action - Passed; Yea: 39 Nay: 0,6,
SB0015,2023_2024_RS,Senate,2023-02-09,Committee of the Whole - Be passed,5,
SB0015,2023_2024_RS,Senate,2023-02-02,Committee Report recommending bill be passed byCommittee on Financial Institutions and Insurance,4,
SB0015,2023_2024_RS,Senate,2023-01-26,"Hearing: Thursday, January 26, 2023, 9:30 AM Room 546-S",3,
SB0015,2023_2024_RS,Senate,2023-01-11,Referred toCommittee on Financial Institutions and Insurance,2,
SB0015,2023_2024_RS,Senate,2023-01-10,Introduced,1,
SB0016,2023_2024_RS,Senate,2024-04-30,Died in Committee,3,
SB0016,2023_2024_RS,Senate,2023-01-11,Referred toCommittee on Financial Institutions and Insurance,2,16
SB0016,2023_2024_RS,Senate,2023-01-10,Introduced,1,9
SB0017,2023_2024_RS,Senate,2023-04-24,"Approved by Governor on Thursday, April 20, 2023",20,
SB0017,2023_2024_RS,Senate,2023-04-24,"Enrolled and presented to Governor on Friday, April 14, 2023",19,
SB0017,2023_2024_RS,Senate,2023-04-06,Conference Committee Report was adopted; Yea: 31 Nay: 9,18,
SB0017,2023_2024_RS,House,2023-04-06,Conference Committee Report was adopted; Yea: 63 Nay: 59,17,
SB0017,2023_2024_RS,House,2023-04-06,Conference committee report now available,16,
SB0017,2023_2024_RS,House,2023-04-05,"Representative Hoheisel, Representative Williams, L., and Representative Xu are appointed to replace Representative Sutton, Representative Penn, and Representative Neighbor on the Conference Committee",15,
SB0017,2023_2024_RS,House,2023-03-29,"Motion to accede adopted; Representative Sutton, Representative Penn and Representative Neighbor appointed as conferees",14,
SB0017,2023_2024_RS,Senate,2023-03-28,"Nonconcurred with amendments; Conference Committee requested; appointedSenator Longbine , Senator Fagg and Senator Holscher as conferees",13,
SB0017,2023_2024_RS,House,2023-03-27,Emergency Final Action - Passed as amended; Yea: 117 Nay: 6,12,
SB0017,2023_2024_RS,House,2023-03-27,Committee of the Whole - Be passed as amended,11,
SB0017,2023_2024_RS,House,2023-03-27,Committee of the Whole - Committee Report be adopted,10,
SB0017,2023_2024_RS,House,2023-03-09,Committee Report recommending bill be passed as amended byCommittee on Insurance,9,
SB0017,2023_2024_RS,House,2023-02-10,Referred toCommittee on Insurance,8,
SB0017,2023_2024_RS,House,2023-02-10,Received and Introduced,7,
SB0017,2023_2024_RS,Senate,2023-02-09,Emergency Final Action - Passed; Yea: 39 Nay: 0,6,
SB0017,2023_2024_RS,Senate,2023-02-09,Committee of the Whole - Be passed,5,
SB0017,2023_2024_RS,Senate,2023-02-02,Committee Report recommending bill be passed by,4,?
SB0017,2023_2024_RS,Senate,2023-01-19,"Hearing: Thursday, January 19, 2023, 9:30 AM Room 546-S",3,
SB0017,2023_2024_RS,Senate,2023-01-11,Referred toCommittee on Financial Institutions and Insurance,2,
SB0017,2023_2024_RS,Senate,2023-01-10,Introduced,1,
SB0018,2023_2024_RS,Senate,2024-04-25,"Approved by Governor on Monday, April 22, 2024",21,
SB0018,2023_2024_RS,Senate,2024-04-25,"Enrolled and presented to Governor on Friday, April 12, 2024",20,
SB0018,2023_2024_RS,Senate,2024-04-04,Conference Committee Report was adopted; Yea: 32 Nay: 7,19,
SB0018,2023_2024_RS,House,2024-04-04,Conference Committee Report was adopted; Yea: 86 Nay: 37,18,
SB0018,2023_2024_RS,House,2024-04-04,Conference committee report now available,17,
SB0018,2023_2024_RS,Senate,2024-04-02,"Senator Billinger, Senator Claeys, and Senator Pettey are appointed to replace Senator Longbine, Senator Fagg, and Senator Holscher on the Conference Committee",16,
SB0018,2023_2024_RS,House,2024-04-02,"Representative Waymaster, Representative Hoffman, and Representative Helgerson are appointed to replace Representative Sutton, Representative Penn, and Representative Neighbor on the Conference Committee",15,
SB0018,2023_2024_RS,House,2023-03-27,"Motion to accede adopted; Representative Sutton, Representative Penn and Representative Neighbor appointed as conferees",14,
SB0018,2023_2024_RS,Senate,2023-03-23,"Nonconcurred with amendments; Conference Committee requested; appointedSenator Longbine , Senator Fagg and Senator Holscher as conferees",13,
SB0018,2023_2024_RS,House,2023-03-23,Emergency Final Action - Passed as amended; Yea: 104 Nay: 18,12,
SB0018,2023_2024_RS,House,2023-03-23,Committee of the Whole - Be passed as amended,11,
SB0018,2023_2024_RS,House,2023-03-23,Committee of the Whole - Committee Report be adopted,10,
SB0018,2023_2024_RS,House,2023-03-09,Committee Report recommending bill be passed as amended byCommittee on Insurance,9,
SB0018,2023_2024_RS,House,2023-02-16,Referred toCommittee on Insurance,8,
SB0018,2023_2024_RS,House,2023-02-16,Received and Introduced,7,
SB0018,2023_2024_RS,Senate,2023-02-15,Emergency Final Action - Passed; Yea: 38 Nay: 0,6,
SB0018,2023_2024_RS,Senate,2023-02-15,Committee of the Whole - Be passed,5,
SB0018,2023_2024_RS,Senate,2023-02-14,Committee Report recommending bill be passed byCommittee on Financial Institutions and Insurance,4,
SB0018,2023_2024_RS,Senate,2023-01-24,"Hearing: Tuesday, January 24, 2023, 9:30 AM Room 546-S",3,
SB0018,2023_2024_RS,Senate,2023-01-11,Referred toCommittee on Financial Institutions and Insurance,2,
SB0018,2023_2024_RS,Senate,2023-01-10,Introduced,1,
SB0019,2023_2024_RS,Senate,2024-04-25,"Approved by Governor on Tuesday, April 23, 2024",21,
SB0019,2023_2024_RS,Senate,2024-04-25,"Enrolled and presented to Governor on Monday, April 15, 2024",20,
SB0019,2023_2024_RS,Senate,2024-04-05,Conference Committee Report was adopted; Yea: 26 Nay: 2,19,
SB0019,2023_2024_RS,House,2024-04-05,Conference Committee Report was adopted; Yea: 119 Nay: 3,18,
SB0019,2023_2024_RS,House,2024-04-05,Conference committee report now available,17,
SB0019,2023_2024_RS,Senate,2024-04-04,"Senator Erickson, Senator Dietrich, and Senator Sykes are appointed to replace Senator Longbine, Senator Fagg, and Senator Holscher on the Conference Committee",16,
SB0019,2023_2024_RS,House,2024-04-04,"Representative Thomas, Representative Estes, and Representative Stogsdill are appointed to replace Representative Sutton, Representative Penn, and Representative Neighbor on the Conference Committee",15,
SB0019,2023_2024_RS,House,2023-03-21,"Motion to accede adopted; Representative Sutton, Representative Penn and Representative Neighbor appointed as conferees",14,
SB0019,2023_2024_RS,Senate,2023-03-16,"Nonconcurred with amendments; Conference Committee requested; appointedSenator Longbine , Senator Fagg and Senator Holscher as conferees",13,
SB0019,2023_2024_RS,House,2023-03-16,Emergency Final Action - Passed as amended; Yea: 121 Nay: 0,12,
SB0019,2023_2024_RS,House,2023-03-16,Committee of the Whole - Be passed as amended,11,
SB0019,2023_2024_RS,House,2023-03-16,Committee of the Whole - Committee Report be adopted,10,
SB0019,2023_2024_RS,House,2023-03-09,Committee Report recommending bill be passed as amended byCommittee on Insurance,9,
SB0019,2023_2024_RS,House,2023-02-10,Referred toCommittee on Insurance,8,
SB0019,2023_2024_RS,House,2023-02-10,Received and Introduced,7,
SB0019,2023_2024_RS,Senate,2023-02-09,Emergency Final Action - Passed; Yea: 39 Nay: 0,6,
SB0019,2023_2024_RS,Senate,2023-02-09,Committee of the Whole - Be passed,5,
SB0019,2023_2024_RS,Senate,2023-02-02,Committee Report recommending bill be passed byCommittee on Financial Institutions and Insurance,4,
SB0019,2023_2024_RS,Senate,2023-01-26,"Hearing: Thursday, January 26, 2023, 9:30 AM Room 546-S",3,
SB0019,2023_2024_RS,Senate,2023-01-11,Referred toCommittee on Financial Institutions and Insurance,2,
SB0019,2023_2024_RS,Senate,2023-01-10,Introduced,1,
SB0020,2023_2024_RS,Senate,2024-04-30,Died in Committee,5,
SB0020,2023_2024_RS,Senate,2023-03-01,Withdrawn from Committee on Ways and Means; Rereferred toCommittee on Public Health and Welfare,4,203
SB0020,2023_2024_RS,Senate,2023-02-23,Withdrawn from Committee on Public Health and Welfare; Referred toCommittee on Ways and Means,3,198
SB0020,2023_2024_RS,Senate,2023-01-11,Referred toCommittee on Public Health and Welfare,2,16
SB0020,2023_2024_RS,Senate,2023-01-10,Introduced,1,10
SB0021,2023_2024_RS,Senate,2024-04-30,Died in Committee,4,
SB0021,2023_2024_RS,Senate,2023-01-19,"Hearing: Thursday, January 19, 2023, 9:30 AM Room 548-S",3,
SB0021,2023_2024_RS,Senate,2023-01-11,Referred toCommittee on Assessment and Taxation,2,16
SB0021,2023_2024_RS,Senate,2023-01-10,Introduced,1,10
SB0022,2023_2024_RS,Senate,2024-04-30,Died in Committee,4,
SB0022,2023_2024_RS,Senate,2023-01-25,"Hearing: Wednesday, January 25, 2023, 9:30 AM Room 548-S",3,
SB0022,2023_2024_RS,Senate,2023-01-11,Referred toCommittee on Assessment and Taxation,2,16
SB0022,2023_2024_RS,Senate,2023-01-10,Introduced,1,10
SB0023,2023_2024_RS,House,2024-04-30,Died in House Committee,17,
SB0023,2023_2024_RS,House,2024-02-22,Referred toCommittee on Financial Institutions and Pensions,16,
SB0023,2023_2024_RS,House,2024-02-22,Received and Introduced,15,
SB0023,2023_2024_RS,Senate,2024-02-15,Emergency Final Action - Passed as amended; Yea: 24 Nay: 13,14,
SB0023,2023_2024_RS,Senate,2024-02-15,Committee of the Whole - Be passed as amended,13,
SB0023,2023_2024_RS,Senate,2024-02-15,Committee of the Whole - Amendment by Senator Fagg was adopted,12,
SB0023,2023_2024_RS,Senate,2024-02-15,Committee of the Whole - Motion to Amend - Offered by Senator Fagg,11,
SB0023,2023_2024_RS,Senate,2024-02-15,Committee of the Whole - Amendment by Senator Longbine was adopted,10,
SB0023,2023_2024_RS,Senate,2024-02-15,Committee of the Whole - Motion to Amend - Offered by Senator Longbine,9,
SB0023,2023_2024_RS,Senate,2023-03-29,Committee of the Whole - Passed over and retain a place on the calendar,8,
SB0023,2023_2024_RS,Senate,2023-03-01,Withdrawn from Committee on Ways and Means and re-referred to Committee of the Whole,7,
SB0023,2023_2024_RS,Senate,2023-02-23,Withdrawn from Calendar; Referred toCommittee on Ways and Means,6,
SB0023,2023_2024_RS,Senate,2023-02-15,Committee of the Whole - Passed over and retain a place on the calendar,5,
SB0023,2023_2024_RS,Senate,2023-02-02,Committee Report recommending bill be passed byCommittee on Financial Institutions and Insurance,4,
SB0023,2023_2024_RS,Senate,2023-02-01,"Hearing: Wednesday, February 1, 2023, 9:30 AM Room 546-S",3,
SB0023,2023_2024_RS,Senate,2023-01-12,Referred toCommittee on Financial Institutions and Insurance,2,
SB0023,2023_2024_RS,Senate,2023-01-11,Introduced,1,
SB0024,2023_2024_RS,Senate,2023-04-03,"Approved by Governor on Friday, March 31, 2023",13,
SB0024,2023_2024_RS,Senate,2023-03-24,"Enrolled and presented to Governor on Friday, March 24, 2023",12,
SB0024,2023_2024_RS,House,2023-03-21,Final Action - Passed; Yea: 111 Nay: 7,11,
SB0024,2023_2024_RS,House,2023-03-14,Committee Report recommending bill be passed and placed on Consent Calendar byCommittee on Insurance,10,
SB0024,2023_2024_RS,House,2023-03-08,"Hearing: Wednesday, March 8, 2023, 3:30 PM Room 218-N",9,
