bill_number,session,session_type,chamber,action_date,action,journal_page,order
ab0005,2023,RS,Asm.,2023-02-06,Introduced by Joint Committee for Review of Administrative Rules,26,1
ab0005,2023,RS,Asm.,2023-02-06,Read first time and referred to Committee on Tourism,26,2
ab0005,2023,RS,Asm.,2023-03-08,"Report without recommendation pursuant to s. 227.26(2)(h), Wisconsin Statutes, by Committee on Tourism",59,3
ab0005,2023,RS,Asm.,2023-03-08,Referred to committee on Rules,59,4
ab0005,2023,RS,Asm.,2023-03-08,Placed on calendar 3-14-2023 by Committee on Rules,,5
ab0005,2023,RS,Asm.,2023-03-13,Fiscal estimate received,,6
ab0005,2023,RS,Asm.,2023-03-13,"Joint Committee for Review of Administrative Rules report received pursuant to s. 227.26(2)(g), Wisconsin Statutes",,7
ab0005,2023,RS,Asm.,2023-03-14,Read a second time,66,8
ab0005,2023,RS,Asm.,2023-03-14,Referred to committee on Tourism,66,9
ab0005,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,10
ab0006,2023,RS,Asm.,2023-02-07,"Introduced by Representatives Murphy, Rettinger, Penterman, Brandtjen, Brooks, Maxey, Mursau, Ortiz-Velez, Rodriguez, Tusler, Wichgers, Zimmerman, Bodden and Allen; 
cosponsored by Senators Jacque, Felzkowski, Nass and Wanggaard",29,1
ab0006,2023,RS,Asm.,2023-02-07,Read first time and referred to Committee on State Affairs,29,2
ab0006,2023,RS,Asm.,2023-02-13,Fiscal estimate received,,3
ab0006,2023,RS,Asm.,2023-02-15,Fiscal estimate received,,4
ab0006,2023,RS,Asm.,2023-11-06,Representative Gustafson added as a coauthor,414,5
ab0006,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,6
ab0007,2023,RS,Asm.,2023-02-07,"Introduced by Representatives Murphy, Armstrong, Brandtjen, Donovan, Mursau, Ortiz-Velez, Plumer, Shankland, Sinicki, Tusler and Wichgers; 
cosponsored by Senators Jacque, Ballweg and Carpenter",29,1
ab0007,2023,RS,Asm.,2023-02-07,Read first time and referred to Committee on State Affairs,29,2
ab0007,2023,RS,Asm.,2023-02-13,Fiscal estimate received,,3
ab0007,2023,RS,Asm.,2023-02-16,Representative Jacobson added as a coauthor,41,4
ab0007,2023,RS,Asm.,2023-03-03,Fiscal estimate received,,5
ab0007,2023,RS,Asm.,2023-11-06,Representative Gustafson added as a coauthor,414,6
ab0007,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,7
ab0008,2023,RS,Asm.,2023-02-07,"Introduced by Representatives Murphy, Armstrong, Baldeh, Brandtjen, Cabrera, Donovan, Gustafson, Kitchens, Mursau, Ortiz-Velez, Penterman, Pronschinske, Shankland, Sinicki, Snodgrass, Subeck, Tittl, Tusler and Wichgers; 
cosponsored by Senators Jacque, Wanggaard, Carpenter, Hesselbein, Pfaff and Spreitzer",29,1
ab0008,2023,RS,Asm.,2023-02-07,Read first time and referred to Committee on Veterans and Military Affairs,29,2
ab0008,2023,RS,Asm.,2023-02-16,Representative Jacobson added as a coauthor,41,3
ab0008,2023,RS,Asm.,2023-02-27,Representative Andraca added as a coauthor,49,4
ab0008,2023,RS,Asm.,2023-03-23,Representative Ratcliff added as a coauthor,80,5
ab0008,2023,RS,Asm.,2023-03-23,Public hearing held,,6
ab0008,2023,RS,Asm.,2023-04-19,Executive action taken,,7
ab0008,2023,RS,Asm.,2024-02-14,"Report passage recommended by Committee on Veterans and Military Affairs, Ayes 13, Noes 0",678,8
ab0008,2023,RS,Asm.,2024-02-14,Referred to committee on Rules,678,9
ab0008,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,10
ab0009,2023,RS,Asm.,2023-02-07,"Introduced by Representatives Sortwell, Goeben, Shankland, Brandtjen, Brooks, Cabrera, Knodl, Moses, Murphy, Rozar, Subeck, Tittl, Tusler, Wichgers and Vining; 
cosponsored by Senators Jacque, Ballweg, Cowles, Spreitzer and Wanggaard",29,1
ab0009,2023,RS,Asm.,2023-02-07,"Read first time and referred to Committee on Health, Aging and Long-Term Care",29,2
ab0009,2023,RS,Asm.,2023-02-13,Fiscal estimate received,,3
ab0009,2023,RS,Asm.,2023-02-15,Representative Clancy added as a coauthor,40,4
ab0009,2023,RS,Asm.,2023-02-16,Representative Jacobson added as a coauthor,41,5
ab0009,2023,RS,Asm.,2023-02-16,Fiscal estimate received,,6
ab0009,2023,RS,Asm.,2023-02-28,Assembly Amendment 1 offered by Representative Sortwell,50,7
ab0009,2023,RS,Asm.,2023-03-13,Fiscal estimate received,,8
ab0009,2023,RS,Asm.,2023-04-10,Representative Snodgrass added as a coauthor,101,9
ab0009,2023,RS,Asm.,2023-04-12,Public hearing held,,10
ab0009,2023,RS,Asm.,2023-04-19,Executive action taken,,11
ab0009,2023,RS,Asm.,2023-05-31,"Report Assembly Amendment 1 adoption recommended by Committee on Health, Aging and Long-Term Care, Ayes 16, Noes 0",167,12
ab0009,2023,RS,Asm.,2023-05-31,"Report passage as amended recommended by Committee on Health, Aging and Long-Term Care, Ayes 16, Noes 0",167,13
ab0009,2023,RS,Asm.,2023-05-31,Referred to committee on Rules,167,14
ab0009,2023,RS,Asm.,2023-06-01,Placed on calendar 6-7-2023 by Committee on Rules,,15
ab0009,2023,RS,Asm.,2023-06-07,Representative Madison added as a coauthor,178,16
ab0009,2023,RS,Asm.,2023-06-07,Laid on the table,178,17
ab0009,2023,RS,Asm.,2023-06-07,Representative O'Connor added as a coauthor,178,18
ab0009,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,19
ab0010,2023,RS,Asm.,2023-02-07,"Introduced by Representatives Penterman, O'Connor, Armstrong, Kitchens, Mursau and Spiros; 
cosponsored by Senators Cowles, Ballweg, Marklein, Nass and Smith",29,1
ab0010,2023,RS,Asm.,2023-02-07,Read first time and referred to Committee on Environment,29,2
ab0010,2023,RS,Asm.,2023-02-10,Fiscal estimate received,,3
ab0010,2023,RS,Asm.,2023-02-21,Assembly Amendment 1 offered by Representative Penterman,45,4
ab0010,2023,RS,Asm.,2023-03-16,Public hearing held,,5
ab0010,2023,RS,Asm.,2023-03-30,Executive action taken,,6
ab0010,2023,RS,Asm.,2024-03-13,"Report Assembly Amendment 1 adoption recommended by Committee on Environment, Ayes 8, Noes 0",800,7
ab0010,2023,RS,Asm.,2024-03-13,"Report passage as amended recommended by Committee on Environment, Ayes 8, Noes 0",800,8
ab0010,2023,RS,Asm.,2024-03-13,Referred to committee on Rules,800,9
ab0010,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,10
ab0011,2023,RS,Asm.,2023-02-07,"Introduced by Representatives Kitchens, Bodden, Tusler, Rozar, Mursau, Vining, Joers, Conley, Considine, Cabrera, Subeck, Stubbs, J. Anderson, Ratcliff, Sinicki, Snodgrass, Shankland and Jacobson; 
cosponsored by Senators Cowles, Agard, Cabral-Guevara, Spreitzer, Taylor, Hesselbein and Smith",29,1
ab0011,2023,RS,Asm.,2023-02-07,"Read first time and referred to Committee on Forestry, Parks and Outdoor Recreation",29,2
ab0011,2023,RS,Asm.,2023-02-09,Representative Andraca added as a coauthor,33,3
ab0011,2023,RS,Asm.,2023-02-10,Representative Madison added as a coauthor,33,4
ab0011,2023,RS,Asm.,2023-02-15,Representative Clancy added as a coauthor,40,5
ab0011,2023,RS,Asm.,2023-02-20,Fiscal estimate received,,6
ab0011,2023,RS,Asm.,2023-03-20,Representative Bare added as a coauthor,74,7
ab0011,2023,RS,Asm.,2023-04-27,Representative Palmeri added as a coauthor,134,8
ab0011,2023,RS,Asm.,2023-05-02,Representative Billings added as a coauthor,137,9
ab0011,2023,RS,Asm.,2023-06-08,Representative C. Anderson added as a coauthor,186,10
ab0011,2023,RS,Asm.,2023-05-02,Public hearing held,,11
ab0011,2023,RS,Asm.,2023-06-06,Executive action taken,,12
ab0011,2023,RS,Asm.,2023-09-27,"Report passage recommended by Committee on Forestry, Parks and Outdoor Recreation, Ayes 15, Noes 0",309,13
ab0011,2023,RS,Asm.,2023-09-27,Referred to committee on Rules,309,14
ab0011,2023,RS,Asm.,2024-01-10,Representative Gustafson added as a coauthor,536,15
ab0011,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,16
ab0012,2023,RS,Asm.,2023-02-07,"Introduced by Representatives Kitchens, Kurtz, Steffen, Novak, Myers, Spiros, Armstrong, Ortiz-Velez, Rozar, Macco, Murphy, Green, Mursau, Edming, Duchow and Shankland; 
cosponsored by Senators Wimberger, Ballweg, Cowles and Taylor",29,1
ab0012,2023,RS,Asm.,2023-02-07,Read first time and referred to Committee on Colleges and Universities,29,2
ab0012,2023,RS,Asm.,2023-02-21,Fiscal estimate received,,3
ab0012,2023,RS,Asm.,2023-03-01,Fiscal estimate received,,4
ab0012,2023,RS,Asm.,2023-03-13,Fiscal estimate received,,5
ab0012,2023,RS,Asm.,2023-06-05,Representative Stubbs added as a coauthor,172,6
ab0012,2023,RS,Asm.,2023-06-08,"Representatives J. Anderson, Joers, Nedweski, Goeben and Michalski added as coauthors",186,7
ab0012,2023,RS,Asm.,2023-06-08,Public hearing held,,8
ab0012,2023,RS,Asm.,2023-06-15,Representatives S. Johnson and O'Connor added as coauthors,205,9
ab0012,2023,RS,Asm.,2023-06-22,Representative Ratcliff added as a coauthor,220,10
ab0012,2023,RS,Asm.,2023-09-07,Executive action taken,,11
ab0012,2023,RS,Asm.,2023-11-06,Representative Gustafson added as a coauthor,414,12
ab0012,2023,RS,Asm.,2024-02-14,"Report passage recommended by Committee on Colleges and Universities, Ayes 14, Noes 0",674,13
ab0012,2023,RS,Asm.,2024-02-14,Referred to committee on Rules,674,14
ab0012,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,15
ab0013,2023,RS,Asm.,2023-02-07,"Introduced by Representatives Tittl, Armstrong, Brandtjen, Gundrum, Murphy, Mursau, Tusler and Wichgers; 
cosponsored by Senators Jacque, James, Marklein, Taylor and Tomczyk",29,1
ab0013,2023,RS,Asm.,2023-02-07,Read first time and referred to Committee on Children and Families,29,2
ab0013,2023,RS,Asm.,2023-02-23,Fiscal estimate received,,3
ab0013,2023,RS,Asm.,2023-03-01,Fiscal estimate received,,4
ab0013,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,5
ab0014,2023,RS,Asm.,2023-02-07,"Introduced by Representatives Tittl, Pronschinske, Edming, Murphy, Mursau, Rozar, Tusler and Wichgers; 
cosponsored by Senator Jacque",29,1
ab0014,2023,RS,Asm.,2023-02-07,Read first time and referred to Committee on Consumer Protection,30,2
ab0014,2023,RS,Asm.,2023-05-18,Public hearing held,,3
ab0014,2023,RS,Asm.,2023-05-24,Representative Rettinger added as a coauthor,162,4
ab0014,2023,RS,Asm.,2023-05-26,Assembly Amendment 1 offered by Representative Tittl,164,5
ab0014,2023,RS,Asm.,2023-05-31,Executive action taken,,6
ab0014,2023,RS,Asm.,2023-05-31,"Report Assembly Amendment 1 adoption recommended by Committee on Consumer Protection, Ayes 7, Noes 0",166,7
ab0014,2023,RS,Asm.,2023-05-31,"Report passage as amended recommended by Committee on Consumer Protection, Ayes 8, Noes 0",166,8
ab0014,2023,RS,Asm.,2023-05-31,Referred to committee on Rules,166,9
ab0014,2023,RS,Asm.,2023-06-01,Placed on calendar 6-7-2023 by Committee on Rules,,10
ab0014,2023,RS,Asm.,2023-06-06,Assembly Amendment 1 to Assembly Amendment 1 offered by Representative Tittl,171,11
ab0014,2023,RS,Asm.,2023-06-07,Read a second time,178,12
ab0014,2023,RS,Asm.,2023-06-07,Assembly Amendment 1 to Assembly Amendment 1 adopted,178,13
ab0014,2023,RS,Asm.,2023-06-07,Assembly Amendment 1 adopted,178,14
ab0014,2023,RS,Asm.,2023-06-07,Ordered to a third reading,178,15
ab0014,2023,RS,Asm.,2023-06-07,Rules suspended,179,16
ab0014,2023,RS,Asm.,2023-06-07,Read a third time and passed,179,17
ab0014,2023,RS,Asm.,2023-06-07,Representative O'Connor added as a coauthor,178,18
ab0014,2023,RS,Asm.,2023-06-07,Ordered immediately messaged,179,19
ab0014,2023,RS,Sen.,2023-06-07,Received from Assembly,269,20
ab0014,2023,RS,Sen.,2023-06-08,Read first time and referred to committee on Agriculture and Tourism,281,21
ab0014,2023,RS,Sen.,2023-09-15,Representative Shankland added as a coauthor,447,22
ab0014,2023,RS,Sen.,2024-01-30,Representatives C. Anderson and Gustafson added as coauthors,762,23
ab0014,2023,RS,Sen.,2024-04-15,Failed to concur in pursuant to Senate Joint Resolution 1,970,24
ab0015,2023,RS,Asm.,2023-02-07,"Introduced by Representatives Tittl, Sortwell, Allen, Binsfeld, Goeben, Green, Gundrum, Magnafici, Murphy, Penterman, Schraa, Tusler, Wichgers and Bodden; 
cosponsored by Senators Jacque, Quinn and Tomczyk",30,1
ab0015,2023,RS,Asm.,2023-02-07,Read first time and referred to Committee on Education,30,2
ab0015,2023,RS,Asm.,2023-02-20,Fiscal estimate received,,3
ab0015,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,4
ab0016,2023,RS,Asm.,2023-02-07,"Introduced by Representatives Tittl, Allen, Armstrong, Dittrich, Donovan, Edming, Mursau, Ortiz-Velez, Rozar, Sapik, Spiros, Subeck and Tusler; 
cosponsored by Senators James, Ballweg, Cowles, Marklein, Roys, Spreitzer and Wanggaard",30,1
ab0016,2023,RS,Asm.,2023-02-07,Read first time and referred to Committee on Corrections,30,2
ab0016,2023,RS,Asm.,2023-03-23,Representative Subeck withdrawn as a coauthor,81,3
ab0016,2023,RS,Asm.,2023-03-29,Representative Ortiz-Velez withdrawn as a coauthor,90,4
ab0016,2023,RS,Asm.,2023-05-09,Senator Roys withdrawn as a cosponsor,144,5
ab0016,2023,RS,Asm.,2023-05-11,Senator Spreitzer withdrawn as a cosponsor,146,6
ab0016,2023,RS,Asm.,2023-06-13,Public hearing held,,7
ab0016,2023,RS,Asm.,2023-09-19,Executive action taken,,8
ab0016,2023,RS,Asm.,2023-09-19,Representative O'Connor added as a coauthor,299,9
ab0016,2023,RS,Asm.,2023-09-27,"Report passage recommended by Committee on Corrections, Ayes 8, Noes 5",309,10
ab0016,2023,RS,Asm.,2023-09-27,Referred to committee on Rules,309,11
ab0016,2023,RS,Asm.,2023-11-06,Representative Gustafson added as a coauthor,414,12
ab0016,2023,RS,Asm.,2024-01-11,Placed on calendar 1-16-2024 by Committee on Rules,,13
ab0016,2023,RS,Asm.,2024-01-16,Laid on the table,553,14
ab0016,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,15
ab0017,2023,RS,Asm.,2023-02-07,"Introduced by Representatives Tittl, Goyke, C. Anderson, J. Anderson, Andraca, Baldeh, Bare, Billings, Cabrera, Clancy, Conley, Considine, Doyle, Emerson, Haywood, Hong, Joers, Krug, Madison, Moore Omokunde, Mursau, Novak, Ohnstad, Ortiz-Velez, Riemer, Rozar, Schraa, Shelton, Sinicki, Snodgrass, Snyder, Spiros, Subeck, Vining, Wichgers, Shankland and Jacobson; 
cosponsored by Senators Jacque, Spreitzer, Cabral-Guevara, Carpenter, Felzkowski, Hesselbein, James, Roys, Taylor and Wirch",30,1
ab0017,2023,RS,Asm.,2023-02-07,Read first time and referred to Committee on Judiciary,30,2
ab0017,2023,RS,Asm.,2023-02-22,Senator Larson added as a cosponsor,46,3
ab0017,2023,RS,Asm.,2023-02-28,Fiscal estimate received,,4
ab0017,2023,RS,Asm.,2023-03-03,Fiscal estimate received,,5
ab0017,2023,RS,Asm.,2023-04-04,Fiscal estimate received,,6
ab0017,2023,RS,Asm.,2023-11-06,Representative Gustafson added as a coauthor,414,7
ab0017,2023,RS,Asm.,2024-02-15,Senator Cowles added as a cosponsor,691,8
ab0017,2023,RS,Asm.,2024-03-07,Representative Neubauer added as a coauthor,796,9
ab0017,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,10
ab0018,2023,RS,Asm.,2023-02-07,"Introduced by Representatives Tittl, Penterman, Baldeh, Knodl, Murphy, Mursau, Myers, Rozar, Schraa, Spiros, Tusler, VanderMeer and Wichgers; 
cosponsored by Senators Jacque, Ballweg, Cabral-Guevara, Quinn and Wanggaard",30,1
ab0018,2023,RS,Asm.,2023-02-07,Read first time and referred to Committee on State Affairs,30,2
ab0018,2023,RS,Asm.,2023-02-20,Fiscal estimate received,,3
ab0018,2023,RS,Asm.,2023-10-13,Representative C. Anderson added as a coauthor,346,4
ab0018,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,5
ab0019,2023,RS,Asm.,2023-02-07,"Introduced by Representatives Tittl, Wittke, J. Anderson, Bare, Baldeh, Cabrera, Clancy, Conley, Duchow, Gundrum, Haywood, Madison, Magnafici, Mursau, O'Connor, Ortiz-Velez, Riemer, Rozar, Sinicki, Spiros, Subeck, Summerfield, Tusler and Vining; 
cosponsored by Senators Wanggaard, Carpenter, Cabral-Guevara, Hesselbein, James, Spreitzer, Taylor and Tomczyk",30,1
ab0019,2023,RS,Asm.,2023-02-07,Read first time and referred to Committee on Colleges and Universities,30,2
ab0019,2023,RS,Asm.,2023-02-08,Representative Joers added as a coauthor,32,3
ab0019,2023,RS,Asm.,2023-03-03,Fiscal estimate received,,4
ab0019,2023,RS,Asm.,2023-03-10,Representative Jacobson added as a coauthor,62,5
ab0019,2023,RS,Asm.,2023-03-16,Public hearing held,,6
ab0019,2023,RS,Asm.,2023-03-22,Assembly Amendment 1 offered by Representative Tittl,74,7
ab0019,2023,RS,Asm.,2023-03-29,Representative Emerson added as a coauthor,90,8
ab0019,2023,RS,Asm.,2023-03-29,Representative Stubbs added as a coauthor,90,9
ab0019,2023,RS,Asm.,2023-03-30,Executive action taken,,10
ab0019,2023,RS,Asm.,2023-07-27,Representative Andraca added as a coauthor,247,11
ab0019,2023,RS,Asm.,2023-08-01,Representatives Billings and Hong added as coauthors,248,12
ab0019,2023,RS,Asm.,2023-08-07,Representative Ratcliff added as a coauthor,258,13
ab0019,2023,RS,Asm.,2023-08-08,Representative Steffen added as a coauthor,258,14
ab0019,2023,RS,Asm.,2023-08-10,Representative Drake added as a coauthor,260,15
ab0019,2023,RS,Asm.,2023-08-14,Representative C. Anderson added as a coauthor,262,16
ab0019,2023,RS,Asm.,2023-08-18,Representative Snodgrass added as a coauthor,263,17
ab0019,2023,RS,Asm.,2023-10-05,"Report Assembly Amendment 1 adoption recommended by Committee on Colleges and Universities, Ayes 12, Noes 0",323,18
ab0019,2023,RS,Asm.,2023-10-05,"Report passage as amended recommended by Committee on Colleges and Universities, Ayes 13, Noes 0",323,19
ab0019,2023,RS,Asm.,2023-10-05,Referred to joint committee on Finance,323,20
ab0019,2023,RS,Asm.,2024-02-20,Withdrawn from joint committee on Finance and referred to committee on Rules pursuant to Assembly 42 (3)(c),744,21
ab0019,2023,RS,Asm.,2024-02-20,Made a special order of business at 11:27 AM on 2-22-2024 pursuant to Assembly Resolution 29,744,22
ab0019,2023,RS,Asm.,2024-02-22,Read a second time,780,23
ab0019,2023,RS,Asm.,2024-02-22,Assembly Amendment 1 adopted,780,24
ab0019,2023,RS,Asm.,2024-02-22,Ordered to a third reading,780,25
ab0019,2023,RS,Asm.,2024-02-22,Rules suspended,780,26
ab0019,2023,RS,Asm.,2024-02-22,Read a third time and passed,780,27
ab0019,2023,RS,Asm.,2024-02-22,Ordered immediately messaged,780,28
ab0019,2023,RS,Sen.,2024-02-23,Received from Assembly,860,29
ab0019,2023,RS,Sen.,2024-02-26,Read first time and referred to joint committee on Finance,866,30
ab0019,2023,RS,Sen.,2024-03-07,Representative Shankland added as a coauthor,897,31
ab0019,2023,RS,Sen.,2024-04-15,Failed to concur in pursuant to Senate Joint Resolution 1,970,32
ab0020,2023,RS,Asm.,2023-02-07,"Introduced by Representatives Murphy, Allen, Baldeh, Behnke, Bodden, Brandtjen, Edming, Gustafson, Mursau, Rettinger, Tittl, Tusler and Wichgers; 
cosponsored by Senators Jacque, Ballweg, Carpenter and Nass",30,1
ab0020,2023,RS,Asm.,2023-02-07,Read first time and referred to Committee on Ways and Means,30,2
ab0020,2023,RS,Asm.,2023-02-10,Fiscal estimate received,,3
ab0020,2023,RS,Asm.,2023-05-16,Fiscal estimate received,,4
ab0020,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,5
ab0021,2023,RS,Asm.,2023-02-07,"Introduced by Representatives Bodden, Armstrong, Behnke, Binsfeld, Brandtjen, Brooks, Donovan, Edming, Gundrum, Gustafson, Kitchens, Murphy, Mursau, Penterman, Plumer, Rettinger, Schraa, Schutt, Tittl, Tusler and Wichgers; 
cosponsored by Senators Jacque, Cabral-Guevara, Felzkowski, Feyen, Marklein, Nass, Quinn, Stafsholt and Tomczyk",30,1
ab0021,2023,RS,Asm.,2023-02-07,Read first time and referred to Committee on Campaigns and Elections,30,2
ab0021,2023,RS,Asm.,2023-02-09,Representative Rozar added as a coauthor,32,3
ab0021,2023,RS,Asm.,2023-03-02,Fiscal estimate received,,4
ab0021,2023,RS,Asm.,2023-03-28,Representative Neylon added as a coauthor,87,5
ab0021,2023,RS,Asm.,2023-04-06,Representative Allen added as a coauthor,96,6
ab0021,2023,RS,Asm.,2023-05-10,Representative Kurtz added as a coauthor,145,7
ab0021,2023,RS,Asm.,2023-06-06,Representative Michalski added as a coauthor,173,8
ab0021,2023,RS,Asm.,2023-09-19,Representative O'Connor added as a coauthor,299,9
ab0021,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,10
ab0022,2023,RS,Asm.,2023-02-07,"Introduced by Representatives Rodriguez, VanderMeer, Brooks, Kitchens, Knodl, Moses, Mursau, O'Connor, Penterman, Rettinger, Rozar, Schraa, Tittl and Wittke; 
cosponsored by Senators Stroebel, Cowles, Felzkowski and Marklein",30,1
ab0022,2023,RS,Asm.,2023-02-07,Read first time and referred to Committee on State Affairs,30,2
ab0022,2023,RS,Asm.,2023-03-06,Senator Quinn added as a cosponsor,55,3
ab0022,2023,RS,Asm.,2023-03-07,Representative Armstrong added as a coauthor,59,4
ab0022,2023,RS,Asm.,2023-04-19,Fiscal estimate received,,5
ab0022,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,6
ab0023,2023,RS,Asm.,2023-02-10,"Introduced by Representatives Plumer, Dallman, C. Anderson, Armstrong, Kitchens, Mursau, Myers, Novak, Penterman, Rozar, Schutt and Jacobson; 
cosponsored by Senators Ballweg, Cowles, Marklein, Smith, Spreitzer and Taylor",31,1
ab0023,2023,RS,Asm.,2023-02-10,Read first time and referred to Committee on Tourism,31,2
