bill_id,term,session,title,keywords,summary,commem
HB2009,2023_2024,RS1,ASRS; retirement application; changes,ARIZONA STATE RETIREMENT SYSTEM (ASRS); ASRS (SEE ALSO: ARIZONA STATE RETIREMENT SYSTEM); PUBLIC OFFICERS AND EMPLOYEES - TITLE 38; RETIREMENT APPLICATION,ASRS; retirement application; changes,0
HB2010,2023_2024,RS1,banking; licensing; fees,ANNUAL DENTAL LOSS RATIO REPORT (S); BANKING; BANKS AND FINANCIAL INSTITUTIONS - TITLE 6; DEFINITIONS (S); FEES; INSURANCE (S); INSURANCE - TITLE 20 (S); INSURER REPORTING (S); LICENSING; POSTING (S); PROFESSIONS AND OCCUPATIONS - TITLE 32; REGISTRATION,(NOW: banking; licensing; fees; insurer reporting),0
HB2011,2023_2024,RS1,state board of accountancy; continuation,CONTINUATION; PROFESSIONS AND OCCUPATIONS - TITLE 32; RETROACTIVITY; STATE BOARD OF ACCOUNTANCY; STATE GOVERNMENT - TITLE 41,state board of accountancy; continuation,0
HB2012,2023_2024,RS1,real estate appraisers; licensure classifications,CLASSIFICATION; COMMUNICATION PROFICIENCY (S); LICENSURE CLASSIFICATIONS; MASSAGE THERAPY (S); PROFESSIONS AND OCCUPATIONS - TITLE 32; QUALIFICATIONS FOR LICENSURE (S); REAL ESTATE APPRAISERS; REPEAL (S); STRIKE EVERYTHING AMENDMENT (S),(NOW: repeal; massage therapy; communication proficiency),0
HB2013,2023_2024,RS1,transportation tax; deposit; regional fund,COUNTY TRANSPORTATION EXCISE TAX; DEPOSIT; REGIONAL FUND; TAXATION; TAXATION - TITLE 42; TRANSPORTATION TAX,transportation tax; deposit; regional fund,0
HB2014,2023_2024,RS1,STOs; scholarships; corporate tax credits,CORPORATE TAX CREDITS; SCHOOL TUITION ORGANIZATION (STO); STO (SEE ALSO: SCHOOL TUITION ORGANIZATION); TAX CREDITS; TAXATION; TAXATION OF INCOME - TITLE 43,STOs; scholarships; corporate tax credits,0
HB2015,2023_2024,RS1,retirement plans; plan election; rehire,PLAN ELECTION; PUBLIC OFFICERS AND EMPLOYEES - TITLE 38; REHIRE; RETIREMENT PLANS,retirement plans; plan election; rehire,0
HB2016,2023_2024,RS1,food handler certificates; training; exemption,COUNTIES - TITLE 11; EXEMPTION; FOOD HANDLER CERTIFICATES; TRAINING,food handler certificates; training; exemption,0
HB2017,2023_2024,RS1,public officers; residency requirements,PUBLIC OFFICERS AND EMPLOYEES - TITLE 38; QUALIFICATIONS; RESIDENCY REQUIREMENT,public officers; residency requirements,0
HB2018,2023_2024,RS1,counties; committed youth contributions; repeal,COMMITTED YOUTH CONTRIBUTIONS; COUNTIES; REPEAL; STATE GOVERNMENT - TITLE 41; TRANSFER OF MONIES,counties; committed youth contributions; repeal,0
HB2019,2023_2024,RS1,licensing; permitting; criteria; clarity,ASSEMBLY (S); CITIES AND TOWNS - TITLE 9; CLARITY; CRITERIA; FREE SPEECH (S); LICENSING; PERMITTING,licensing; permitting; criteria; clarity,0
HB2020,2023_2024,RS1,ASRS; contribution prepayment; appropriation,APPROPRIATION; ARIZONA STATE RETIREMENT SYSTEM (ASRS); ASRS (SEE ALSO: ARIZONA STATE RETIREMENT SYSTEM); CONTRIBUTION PREPAYMENT; EMPLOYER CONTRIBUTION PREPAYMENT,ASRS; contribution prepayment; appropriation,0
HB2021,2023_2024,RS1,technical correction; agricultural extension,AGRICULTURAL EXTENSION; AGRICULTURE - TITLE 3; TECHNICAL CORRECTION,technical correction; agricultural extension,0
HB2022,2023_2024,RS1,water resources; annual report,ADWR (SEE ALSO: DEPARTMENT OF WATER RESOURCES); ANNUAL REPORT; DEPARTMENT OF WATER RESOURCES (ADWR); EMERGENCY (S); EMERGENCY CLAUSE (S); EXEMPTION FROM RULEMAKING (S); FEE REDUCTION (S); FEES (S); LEVEE (S); REPORT (S); WATER (S); WATER RESOURCES; WATERS - TITLE 45,(NOW: water; report; fees; levee),0
HB2023,2023_2024,RS1,judges; election; technical correction,COURT OF APPEALS; ELECTION; ELECTIONS AND ELECTORS - TITLE 16; JUDGES; SUPREME COURT; TECHNICAL CORRECTION,judges; election; technical correction,0
HB2024,2023_2024,RS1,technical correction; ballot; presidential candidates,BALLOT; ELECTIONS AND ELECTORS - TITLE 16; PRESIDENTIAL CANDIDATES; TECHNICAL CORRECTION,technical correction; ballot; presidential candidates,0
HB2025,2023_2024,RS1,community colleges; expenditure limitation,COMMUNITY COLLEGES; EXPENDITURE LIMIT; LIMITATIONS; RETROACTIVITY; STATE AID; WITHHOLDING,community colleges; expenditure limitation,0
HB2026,2023_2024,RS1,appropriation; on-farm efficiency fund,APPROPRIATION; ON-FARM EFFICIENCY FUND; ON-FARM IRRIGATION EFFICIENCY,appropriation; on-farm efficiency fund,0
HB2027,2023_2024,RS1,appropriation; unfunded liability; CORP,APPROPRIATION; CORP (SEE ALSO: CORRECTIONS OFFICER RETIREMENT PLAN); CORRECTIONS OFFICER RETIREMENT PLAN (CORP); PUBLIC OFFICERS AND EMPLOYEES - TITLE 38; PUBLIC PENSION LIABILITY; UNFUNDED LIABILITY,appropriation; unfunded liability; CORP,0
HB2028,2023_2024,RS1,PSPRS; contribution rates,CONTRIBUTION RATES; EMERGENCY (S); EMERGENCY CLAUSE (S); PSPRS (SEE ALSO: PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM); PUBLIC OFFICERS AND EMPLOYEES - TITLE 38; PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM (PSPRS); RETROACTIVITY,PSPRS; contribution rates,0
HB2029,2023_2024,RS1,ASRS; supplemental deferral plan; participation,ARIZONA STATE RETIREMENT SYSTEM (ASRS); ASRS (SEE ALSO: ARIZONA STATE RETIREMENT SYSTEM); IMMUNITY; PARTICIPATION; POLITICAL SUBDIVISIONS; PUBLIC OFFICERS AND EMPLOYEES - TITLE 38; SUPPLEMENTAL DEFERRAL PLAN,ASRS; supplemental deferral plan; participation,0
HB2030,2023_2024,RS1,technical correction; DUI; blood test,BLOOD TEST; DRIVING UNDER THE INFLUENCE; DUI; TECHNICAL CORRECTION; TRANSPORTATION - TITLE 28,technical correction; DUI; blood test,0
HB2031,2023_2024,RS1,technical correction; disabled parking; reciprocity,DISABLED PARKING; PERSONS WITH DISABILITIES; RECIPROCITY; TECHNICAL CORRECTION; TRANSPORTATION - TITLE 28,technical correction; disabled parking; reciprocity,0
HB2032,2023_2024,RS1,water resources; technical correction,TECHNICAL CORRECTION; WATER RESOURCES; WATERS - TITLE 45,water resources; technical correction,0
HB2033,2023_2024,RS1,technical correction; assistant funeral directors,ASSISTANT FUNERAL DIRECTORS; PROFESSIONS AND OCCUPATIONS - TITLE 32; TECHNICAL CORRECTION,technical correction; assistant funeral directors,0
HB2034,2023_2024,RS1,technical correction; tax court; decisions,COURTS AND CIVIL PROCEEDINGS - TITLE 12; DECISIONS; TAX COURT; TECHNICAL CORRECTION,technical correction; tax court; decisions,0
HB2035,2023_2024,RS1,dental board; formal hearings,DENTAL BOARD; FORMAL HEARINGS; PROFESSIONS AND OCCUPATIONS - TITLE 32; STATE BOARD OF DENTAL EXAMINERS,dental board; formal hearings,0
HB2036,2023_2024,RS1,dental board; rules; assistance; repeal,ASSISTANCE; DENTAL BOARD; PROFESSIONS AND OCCUPATIONS - TITLE 32; REPEAL; RULES; STATE BOARD OF DENTAL EXAMINERS; UNPROFESSIONAL CONDUCT,dental board; rules; assistance; repeal,0
HB2037,2023_2024,RS1,dentists; registration; civil penalty; repeal,CIVIL PENALTY; DENTISTS; PROFESSIONS AND OCCUPATIONS - TITLE 32; REGISTRATION; REPEAL; STATE BOARD OF DENTAL EXAMINERS,dentists; registration; civil penalty; repeal,0
HB2038,2023_2024,RS1,automated external defibrillators; requirements,AUTOMATED EXTERNAL DEFIBRILLATORS; PROFESSIONS AND OCCUPATIONS - TITLE 32; REQUIREMENTS; STATE BOARD OF DENTAL EXAMINERS,automated external defibrillators; requirements,0
HB2039,2023_2024,RS1,dental board; continuation,CONTINUATION; DENTAL BOARD; RETROACTIVITY; STATE BOARD OF DENTAL EXAMINERS; STATE GOVERNMENT - TITLE 41; TERMINATION,dental board; continuation,0
HB2040,2023_2024,RS1,industrial development bonds; preapproval; repeal,INDUSTRIAL DEVELOPMENT BONDS; PREAPPROVAL; PUBLIC FINANCES - TITLE 35; THRESHOLD,(NOW: industrial development bonds; preapproval; threshold),0
HB2041,2023_2024,RS1,mental health; voluntary evaluations; payment,COURT OPTIONS (S); DEFINITIONS (S); IMMUNITY (S); MENTAL HEALTH; MENTAL HEALTH SERVICES; PAYMENT; PUBLIC HEALTH AND SAFETY - TITLE 36; RULES (S); VOLUNTARY EVALUATIONS,mental health; voluntary evaluations; payment,0
HB2042,2023_2024,RS1,acute care services; pilot program,ACUTE CARE AT HOME PILOT PROGRAM; ACUTE CARE SERVICES; PILOT PROGRAM,acute care services; pilot program,0
HB2043,2023_2024,RS1,physician assistants; supervision; collaboration,ARIZONA REGULATORY BOARD OF PHYSICIAN ASSISTANTS; COLLABORATION; PHYSICIAN ASSISTANTS; PROFESSIONS AND OCCUPATIONS - TITLE 32; SUPERVISION,physician assistants; supervision; collaboration,0
HB2044,2023_2024,RS1,municipal general plan; adoption,ADOPTION; CITIES AND TOWNS - TITLE 9; MUNICIPAL GENERAL PLAN; MUNICIPAL PLANNING,municipal general plan; adoption,0
HB2045,2023_2024,RS1,nursing board; school nurse certification,ARIZONA STATE BOARD OF NURSING; NURSING BOARD; PROFESSIONS AND OCCUPATIONS - TITLE 32; QUALIFICATIONS; SCHOOL NURSE CERTIFICATION,nursing board; school nurse certification,0
HB2046,2023_2024,RS1,board of psychologist examiners,BOARD OF PSYCHOLOGIST EXAMINERS; PROFESSIONS AND OCCUPATIONS - TITLE 32; STATE BOARD OF PSYCHOLOGY EXAMINERS,board of psychologist examiners,0
HB2047,2023_2024,RS1,vacation rentals; short-term rentals; restrictions,CITIES AND TOWNS - TITLE 9; RESTRICTIONS; SHORT-TERM RENTALS; VACATION AND SHORT-TERM RENTALS; VACATION RENTALS,vacation rentals; short-term rentals; restrictions,0
HB2048,2023_2024,RS1,assured water; small residential developments,ASSURED WATER; CERTIFICATES OF ASSURED WATER SUPPLY; SMALL RESIDENTIAL DEVELOPMENTS; WATERS - TITLE 45,assured water; small residential developments,0
HB2049,2023_2024,RS1,bank deposits; technical correction,ACTIVE MILITARY MEMBERS (S); ADVERSE ACTIONS (S); ANNUAL REVIEW (S); ASSESSMENTS (S); AUTHORITY (S); BASE-PERIOD EMPLOYER; COMMISSION MEETINGS (S); COMPACT COMMISSION (S); CONSTRUCTION (S); COSMETOLOGY (S); COSMETOLOGY LICENSURE COMPACT (S); COSMETOLOGY LICENSURE COMPACT COMMISSION (S); DATA SYSTEM (S); DEFENSE (S); DEFINITIONS (S); DUTIES (S); EFFECTIVE DATE (S); EMPLOYERS; EMPLOYMENT SECURITY; EXECUTIVE COMMITTEE (S); FINANCING (S); INDEMNIFICATION (S); LABOR - TITLE 23; LIMITATIONS; MEETINGS (S); MEMBER STATE REQUIREMENTS (S); MEMBERS (S); MULTISTATE LICENSES (S); NOTICE (S); OBJECTIVES (S); POWERS AND DUTIES (S); PROFESSIONS AND OCCUPATIONS - TITLE 32 (S); PURPOSE (S); QUALIFIED IMMUNITY (S); REISSUANCE (S); RULEMAKING (S); SEVERABILITY (S); STRIKE EVERYTHING AMENDMENT (S); UNEMPLOYMENT INSURANCE; WITHDRAWAL (S),(NOW: cosmetology licensure compact),0
HB2050,2023_2024,RS1,technical correction; nuisance; nonconforming eggs,AGRICULTURE - TITLE 3; EGGS AND EGG PRODUCTS; NONCONFORMING EGGS; NUISANCE; TECHNICAL CORRECTION,technical correction; nuisance; nonconforming eggs,0
HB2051,2023_2024,RS1,technical correction; vehicle refueling apparatus,CITIES AND TOWNS - TITLE 9; MUNICIPAL REGULATIONS; TECHNICAL CORRECTION; VEHICLE REFUELING APPARATUS,technical correction; vehicle refueling apparatus,0
HB2052,2023_2024,RS1,counties; advertising contracts; term; notice,ADVERTISING CONTRACTS; COUNTIES; COUNTIES - TITLE 11; COUNTY POWERS AND DUTIES; NOTICE; TERM,counties; advertising contracts; term; notice,0
HB2053,2023_2024,RS1,nurse-home visitation; program; appropriations,APPROPRIATION; NURSE-HOME VISITATION; PROGRAM,nurse-home visitation; program; appropriations,0
HB2054,2023_2024,RS1,dropout recovery programs; report; posting,DROPOUT RECOVERY PROGRAMS; EDUCATION - TITLE 15; POSTING; REPORT,dropout recovery programs; report; posting,0
HB2055,2023_2024,RS1,probation; work time credits; reporting.,CRIMINAL CODE - TITLE 13; PROBATION; REPORTING; WORK TIME CREDITS,probation; work time credits; reporting.,0
HB2056,2023_2024,RS1,dry washes; permit program exemption,DREDGE AND FILL PERMITS; DRY WASHES; PERMIT PROGRAM EXEMPTION; THE ENVIRONMENT - TITLE 49; WATER QUALITY CONTROL,dry washes; permit program exemption,0
HB2057,2023_2024,RS1,classroom-based preparation program; employment,CERTIFICATION AND EMPLOYMENT OF SCHOOL EMPLOYEES; CLASSROOM-BASED PREPARATION PROGRAM; EDUCATION - TITLE 15; EMPLOYMENT,classroom-based preparation program; employment,0
HB2058,2023_2024,RS1,flight from law enforcement; classification,CLASSIFICATION; FLIGHT FROM LAW ENFORCEMENT; TRAFFIC LAWS; TRANSPORTATION - TITLE 28,flight from law enforcement; classification,0
HB2059,2023_2024,RS1,riot; unlawful assembly; classification; liability,CLASSIFICATION; CRIMINAL CODE - TITLE 13; LIABILITY; MOB INTIMIDATION; RIOT; UNLAWFUL ASSEMBLY,riot; unlawful assembly; classification; liability,0
HB2060,2023_2024,RS1,charter schools; financial requirements; revisions,ACADEMIC CREDIT (S); ANNUAL REPORT (S); ANNUAL REPORTS (S); BUDGET FORMAT (S); CERTIFICATE (S); CHARTER SCHOOLS (S); COMMON SCHOOLS (S); DEFINITION (S); DEFINITIONS (S); DELEGATION (S); DYSLEXIA SCREENING PLAN (S); EDUCATION - TITLE 15; EXEMPTIONS (S); FEE (S); FUNDS (S); GENERAL POWERS AND DUTIES (S); HIGH SCHOOL ADMISSIONS (S); IMMUNITY (S); PARENTAL NOTIFICATION (S); PROHIBITED EXPENDITURES (S); PROMOTIONS (S); PUBLIC SCHOOLS; READING PROFICIENCY (S); RENEWAL OF APPLICATION (S); REPRISAL (S); REQUIREMENTS; REVISIONS; SCHOOLS (S); STATUTORY HANDBOOKS OF PARENTAL RIGHTS,(NOW: schools; requirements; revisions),0
HB2061,2023_2024,RS1,food; municipal tax; exemption.,EXEMPTION; FOOD; MUNICIPAL TAX; MUNICIPAL TRANSACTION PRIVILEGE TAX; TAXATION - TITLE 42,food; municipal tax; exemption.,0
HB2062,2023_2024,RS1,Gila River Indian Community plates.,AK CHIN INDIAN COMMUNITY PLATES; ARIZONA PROFESSIONAL SOCCER CLUB SPECIAL PLATE FUND (S); GILA RIVER INDIAN COMMUNITY PLATES; HUMANITARIAN SERVICE ORGANIZATION SPECIAL PLATES; LICENSE PLATES (S); NATIONAL GUARD MEMBER SPECIAL PLATES (S); PASCUA YAQUI TRIBE SPECIAL PLATES (S); SPECIAL PLATES; TRANSPORTATION - TITLE 28,(NOW: license plates; special plates),0
HB2063,2023_2024,RS1,appropriation; State Routes; 238; 347,APPROPRIATION; STATE ROUTES,appropriation; State Routes; 238; 347,0
HB2064,2023_2024,RS1,property tax exemption; disability; qualifications,DISABILITY; PROPERTY TAX EXEMPTION; QUALIFICATIONS; TAXATION - TITLE 42,property tax exemption; disability; qualifications,0
HB2065,2023_2024,RS1,home insurers; discrimination; prohibition,DISCRIMINATION; HOME INSURERS; INSURANCE - TITLE 20; INSURANCE INFORMATION AND PRIVACY PROTECTION; PROHIBITION,home insurers; discrimination; prohibition,0
HB2066,2023_2024,RS1,banks; financial institutions; personal information,BANKS AND FINANCIAL INSTITUTIONS - TITLE 6; FINANCIAL INSTITUTIONS; PERSONAL INFORMATION; RECORDS; RECORDS DESTRUCTION,banks; financial institutions; personal information,0
HB2067,2023_2024,RS1,residential leases; municipal tax exemption,CITIES AND TOWNS - TITLE 9; COUNTIES - TITLE 11; MUNICIPAL TAX; MUNICIPAL TAX EXEMPTION; PROPERTY - TITLE 33; RESIDENTIAL LEASES; TAXATION - TITLE 42,residential leases; municipal tax exemption,0
HB2068,2023_2024,RS1,team designations; biological sex; repeal,ATHLETICS; BIOLOGICAL SEX; EDUCATION - TITLE 15; REPEAL; TEAM DESIGNATIONS,team designations; biological sex; repeal,0
HB2069,2023_2024,RS1,expenditure limitation; school districts; repeal...,COURTS AND CIVIL PROCEEDINGS - TITLE 12; EDUCATION - TITLE 15; EXPENDITURE LIMITATION; EXPENDITURE LIMITATIONS; GAME AND FISH - TITLE 17; JUSTICE AND MUNICIPAL COURTS - TITLE 22; REPEAL; SCHOOL DISTRICTS; STATE GOVERNMENT - TITLE 41; TAXATION - TITLE 42,expenditure limitation; school districts; repeal...,0
HB2070,2023_2024,RS1,emergency response plans; community engagement,COMMUNITY ENGAGEMENT; EDUCATION - TITLE 15; EMERGENCY RESPONSE PLANS; PUBLIC SCHOOLS,emergency response plans; community engagement,0
HB2071,2023_2024,RS1,schools; corporal punishment; prohibition,CORPORAL PUNISHMENT; EDUCATION - TITLE 15; PROHIBITION; SCHOOLS; STUDENT DISCIPLINE,schools; corporal punishment; prohibition,0
HB2072,2023_2024,RS1,voter registration; same day,ELECTIONS AND ELECTORS - TITLE 16; SAME DAY; VOTER REGISTRATION,voter registration; same day,0
HB2073,2023_2024,RS1,automatic voter registration,AUTOMATIC VOTER REGISTRATION; ELECTIONS AND ELECTORS - TITLE 16; REGISTRATION OF ELECTORS,automatic voter registration,0
HB2074,2023_2024,RS1,innovative assessment pilot program; appropriations,APPROPRIATING MONIES; APPROPRIATION; INNOVATIVE ASSESSMENT PILOT PROGRAM,innovative assessment pilot program; appropriations,0
HB2075,2023_2024,RS1,school blueprints; public records; exemption,EXEMPTION; FLOOR PLANS; PUBLIC RECORDS; SCHOOL BLUEPRINTS; SCHOOL FACILITIES; STATE GOVERNMENT - TITLE 41,school blueprints; public records; exemption,0
HB2076,2023_2024,RS1,tribal land acknowledgment,GENERAL PROVISIONS - TITLE 1; GOVERNMENTAL MAINTENANCE OPERATIONS; TRIBAL LAND ACKNOWLEDGMENT,tribal land acknowledgment,0
HB2077,2023_2024,RS1,appropriation; Tohono O'odham community college,APPROPRIATION; TOHONO O'ODHAM COMMUNITY COLLEGE; TRIBAL RELATIONS,appropriation; Tohono O'odham community college,0
HB2078,2023_2024,RS1,counties; elections; state audits,CONDUCT OF ELECTIONS; COUNTIES; ELECTIONS; ELECTIONS AND ELECTORS - TITLE 16; STATE AUDITS,counties; elections; state audits,0
HB2079,2023_2024,RS1,state route 90 extension,APPROPRIATING MONIES; STATE ROUTE 90; STATE ROUTE 90 EXTENSION,state route 90 extension,0
HB2080,2023_2024,RS1,emergency alert technology; vehicles; devices,DEVICES; EMERGENCY ALERT TECHNOLOGY; EMERGENCY TECHNOLOGY; TRADE AND COMMERCE - TITLE 44; VEHICLES,emergency alert technology; vehicles; devices,0
HB2081,2023_2024,RS1,ballot; presidential candidates; technical correction,BALLOT; CONDUCT OF ELECTIONS; ELECTIONS AND ELECTORS - TITLE 16; PRESIDENTIAL CANDIDATES; TECHNICAL CORRECTION,ballot; presidential candidates; technical correction,0
HB2082,2023_2024,RS1,technical correction; mail ballot elections,ELECTIONS AND ELECTORS - TITLE 16; MAIL BALLOT ELECTIONS; SPECIAL DISTRICTS; TECHNICAL CORRECTION,technical correction; mail ballot elections,0
